Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"O'Fallon city, Missouri",1600000US2954074,97868,8078,107214,6388
"St. Louis city, Missouri",1600000US2965000,49965,2575,68460,2732
"Passaic city, New Jersey",1600000US3456550,51806,5803,75679,8166
"Nashua city, New Hampshire",1600000US3350260,85870,7255,107741,7704
"Rochester city, Minnesota",1600000US2754880,75902,4372,112373,9377
"Paterson city, New Jersey",1600000US3457000,46451,6122,63899,5038
"Warren city, Michigan",1600000US2684000,60042,3537,74069,3889
"Lee's Summit city, Missouri",1600000US2941348,100246,9088,118634,8779
"Gastonia city, North Carolina",1600000US3725580,53424,4769,67378,5296
"Minneapolis city, Minnesota",1600000US2743000,69397,2437,100172,4958
"East Orange city, New Jersey",1600000US3419390,51368,10644,65941,8288
"Westland city, Michigan",1600000US2686000,56191,6096,68337,3743
"Elizabeth city, New Jersey",1600000US3421000,51549,9227,71065,5570
"Cary town, North Carolina",1600000US3710740,123857,5547,156753,7789
"Fargo city, North Dakota",1600000US3825700,59089,4616,83696,6152
"St. Cloud city, Minnesota",1600000US2756896,53036,6767,68204,5521
"Las Cruces city, New Mexico",1600000US3539380,42058,4039,64036,4501
"Springfield city, Missouri",1600000US2970000,41808,1923,60529,4065
"Wyoming city, Michigan",1600000US2688940,61583,7240,70396,6762
"St. Paul city, Minnesota",1600000US2758000,66098,2605,90598,4276
"Charlotte city, North Carolina",1600000US3712000,70869,2193,105574,3524
"Buffalo city, New York",1600000US3611000,40669,3007,60652,3660
"Rochester Hills city, Michigan",1600000US2669035,103023,7762,136223,9721
"Woodbury city, Minnesota",1600000US2771428,114592,16324,145522,14994
"Omaha city, Nebraska",1600000US3137000,62948,2250,91342,3767
"Concord city, North Carolina",1600000US3714100,79329,7674,97360,7736
"Bayonne city, New Jersey",1600000US3403580,73110,9658,94297,12458
"Albany city, New York",1600000US3601000,49763,5351,71842,6296
"Bismarck city, North Dakota",1600000US3807200,61861,3866,83281,7287
"Jacksonville city, North Carolina",1600000US3734200,44497,5583,60781,7218
"Albuquerque city, New Mexico",1600000US3502000,58512,2873,81951,2950
"Greensboro city, North Carolina",1600000US3728000,51825,3198,75155,4389
"Greenville city, North Carolina",1600000US3728080,36687,5481,60207,6915
"Independence city, Missouri",1600000US2935000,52919,4441,71485,6886
"Asheville city, North Carolina",1600000US3702140,59758,4032,84277,6685
"Newark city, New Jersey",1600000US3451000,43242,4064,60480,5893
"High Point city, North Carolina",1600000US3731400,57698,4824,70156,4614
"Southfield city, Michigan",1600000US2674900,55463,5737,76185,5870
"Durham city, North Carolina",1600000US3719000,71343,2257,97889,5146
"Kansas City city, Missouri",1600000US2938000,63396,1690,83593,2601
"Cheektowaga CDP, New York",1600000US3615000,64106,4549,74498,4638
"Sterling Heights city, Michigan",1600000US2676460,69104,4370,87682,5815
"Camden city, New Jersey",1600000US3410000,39654,8880,53145,6353
"Akron city, Ohio",1600000US3901000,41628,2025,54788,2362
"Plymouth city, Minnesota",1600000US2751730,106962,10955,150702,13802
"Jersey City city, New Jersey",1600000US3436000,81958,5257,123545,6614
"St. Charles city, Missouri",1600000US2964082,76340,5789,100214,9259
"Clifton city, New Jersey",1600000US3413690,81857,11576,109810,11545
"Troy city, Michigan",1600000US2680700,98170,9146,127521,10223
"Fayetteville city, North Carolina",1600000US3722920,51629,1520,65110,2388
"St. Joseph city, Missouri",1600000US2964550,46089,5999,70629,7658
"Manchester city, New Hampshire",1600000US3345140,73639,4979,84659,4156
"Lakewood CDP, New Jersey",1600000US3438580,40338,11216,76923,16898
"Coral Springs city, Florida",1600000US1214400,81067,4382,103266,7086
"Bridgeport city, Connecticut",1600000US0908000,46445,4633,72284,6960
"Davie town, Florida",1600000US1216475,73332,9310,97959,7374
"Daytona Beach city, Florida",1600000US1216525,43864,3270,63598,9757
