Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Bolingbrook village, Illinois",1600000US1707133,77095,10744,93934,8178
"Joliet city, Illinois",1600000US1738570,63864,4744,75770,3397
"Peoria city, Illinois",1600000US1759000,47369,4375,68248,4014
"Highlands Ranch CDP, Colorado",1600000US0836410,114288,6871,140197,8545
"Decatur city, Illinois",1600000US1718823,38124,4121,55266,3365
"Schaumburg village, Illinois",1600000US1768003,76122,7782,88206,4407
"Springfield city, Illinois",1600000US1772000,48179,3243,69310,4816
"Fort Wayne city, Indiana",1600000US1825000,45232,1611,58545,2371
"Centennial city, Colorado",1600000US0812815,102237,6364,128445,7523
"Pembroke Pines city, Florida",1600000US1255775,62812,2997,83382,4550
"Pompano Beach city, Florida",1600000US1258050,42736,3607,57828,3185
"Gainesville city, Florida",1600000US1225175,32968,2948,51207,7438
"Largo city, Florida",1600000US1239425,39384,3320,51221,3483
"West Palm Beach city, Florida",1600000US1276600,51217,5800,75562,6090
"Lehigh Acres CDP, Florida",1600000US1239925,46904,2961,55090,3819
"Carmel city, Indiana",1600000US1810342,113194,7840,148116,11746
"Hammond city, Indiana",1600000US1831000,46260,4601,55239,4602
"Fort Collins city, Colorado",1600000US0827425,59357,4467,77280,3438
"Loveland city, Colorado",1600000US0846465,67812,4769,78940,6600
"Westminster city, Colorado",1600000US0883835,71313,5188,90594,6612
"Palatine village, Illinois",1600000US1757225,80521,7333,101558,8028
"Bowling Green city, Kentucky",1600000US2108902,37305,3973,55948,8582
"Yuma city, Arizona",1600000US0485540,42731,4067,59044,4204
"Florence-Graham CDP, California",1600000US0624477,35546,3115,47167,4643
"Dothan city, Alabama",1600000US0121184,42336,3329,63435,4217
"Downey city, California",1600000US0619766,65578,5958,84748,6118
"Glendale city, California",1600000US0630000,64611,4418,91302,5218
"Palmdale city, California",1600000US0655156,52423,5046,68707,4234
"Redondo Beach city, California",1600000US0660018,97169,5847,135580,12136
"Torrance city, California",1600000US0680000,85710,5696,113171,6597
"Modesto city, California",1600000US0648354,55013,4305,70883,4567
"Turlock city, California",1600000US0680812,50691,3871,72762,8211
"Kenner city, Louisiana",1600000US2239475,52281,4870,70132,9191
"Sioux City city, Iowa",1600000US1973335,48517,4236,63559,6754
"Apple Valley town, California",1600000US0602364,46682,4711,64579,5665
"San Buenaventura (Ventura) city, California",1600000US0665042,74680,6865,91869,5563
"Santa Clarita city, California",1600000US0669088,94649,5427,113904,5660
"Rancho Cordova city, California",1600000US0659444,56890,6334,74150,5605
"Riverside city, California",1600000US0662000,63548,3865,78229,3493
"Temecula city, California",1600000US0678120,90179,4555,103767,5605
"Salinas city, California",1600000US0664224,58089,3550,69881,3958
"Fairfield city, California",1600000US0623182,69235,8801,95378,14094
"Palo Alto city, California",1600000US0655282,132673,22415,195106,18026
"Carson city, California",1600000US0611530,80616,5237,94391,6207
"Compton city, California",1600000US0615044,49125,4262,61583,4450
"Westminster city, California",1600000US0684550,60426,6644,79429,6771
"South San Francisco city, California",1600000US0673262,90545,5733,113128,9116
"Oxnard city, California",1600000US0654652,64279,3199,82251,4303
"Rialto city, California",1600000US0660466,53582,4319,64725,5322
"Carmichael CDP, California",1600000US0611390,58489,2704,82462,7534
"Columbia CDP, Maryland",1600000US2419125,107164,8843,126495,7692
"Baltimore city, Maryland",1600000US2404000,47350,1793,69831,2194
"Kissimmee city, Florida",1600000US1236950,37232,3606,51050,6118
"Riverview CDP, Florida",1600000US1260950,66545,6940,77780,5071
"Boynton Beach city, Florida",1600000US1207875,53188,5906,71073,11002
"Mission Viejo city, California",1600000US0648256,111503,3997,133262,10227
"Newport Beach city, California",1600000US0651182,113300,14067,196156,20050
"San Clemente city, California",1600000US0665084,80382,10622,125320,15039
"Berkeley city, California",1600000US0606000,78121,9002,123335,8305
"Fremont city, California",1600000US0626000,122419,4140,147658,6037
"Bellflower city, California",1600000US0604982,49750,4994,67779,6729
"Arden-Arcade CDP, California",1600000US0602553,41786,4455,76480,7758
"Citrus Heights city, California",1600000US0613588,59465,4555,69161,3942
"Pleasanton city, California",1600000US0657792,142412,14892,174518,14104
"Oakland city, California",1600000US0653000,68060,3831,97393,3727
"Denver city, Colorado",1600000US0820000,61105,1439,90835,3233
"Boulder city, Colorado",1600000US0807850,70158,6489,103895,7521
"Arvada city, Colorado",1600000US0803455,75082,3422,94556,4427
"Casas Adobes CDP, Arizona",1600000US0410670,63407,5513,81078,6065
"Huntsville city, Alabama",1600000US0137000,51895,3992,79025,4708
"Lake Charles city, Louisiana",1600000US2241155,38600,6652,58960,5877
"Spring Hill CDP, Florida",1600000US1268350,49705,4736,59031,3485
"Miami Gardens city, Florida",1600000US1245060,40031,2913,50778,3558
"Burbank city, California",1600000US0608954,72618,9875,95269,8118
"East Los Angeles CDP, California",1600000US0620802,42352,2929,55519,3484
"Vallejo city, California",1600000US0681666,65241,5818,82143,4977
