Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Escambia County, Florida",0500000US12033,42877,2312,57287,3093
"Hernando County, Florida",0500000US12053,39193,2676,50032,2627
"Hillsborough County, Florida",0500000US12057,49597,1319,69711,1711
"Okaloosa County, Florida",0500000US12091,55139,3186,71037,3969
"Dougherty County, Georgia",0500000US13095,30504,2668,45778,4290
"Henry County, Georgia",0500000US13151,59097,3426,72369,5033
"Houston County, Georgia",0500000US13153,49660,4978,62452,4367
"Walker County, Georgia",0500000US13295,42018,3830,50654,3600
"Gwinnett County, Georgia",0500000US13135,58917,1850,74514,1975
"Bartow County, Georgia",0500000US13015,45191,4164,59236,5422
"Douglas County, Georgia",0500000US13097,50281,5225,63041,4223
"Troup County, Georgia",0500000US13285,43642,4759,67486,10788
"Liberty County, Georgia",0500000US13179,39140,3247,52922,7741
"Rockdale County, Georgia",0500000US13247,49767,3871,61054,4518
"Porter County, Indiana",0500000US18127,63806,3351,79763,6147
"Tippecanoe County, Indiana",0500000US18157,47731,3158,61492,6080
"Hamilton County, Indiana",0500000US18057,81958,3399,107212,5550
"Clark County, Indiana",0500000US18019,50760,2586,60363,3705
"Allen County, Indiana",0500000US18003,45006,2091,61259,2857
"Floyd County, Indiana",0500000US18043,57401,4405,72369,4949
"Johnson County, Indiana",0500000US18081,57245,3884,72957,4192
"Elkhart County, Indiana",0500000US18039,45387,2212,55697,2297
"Bibb County, Georgia",0500000US13021,36327,3148,53346,4366
"Wayne County, Indiana",0500000US18177,34745,3593,47227,3338
"Polk County, Iowa",0500000US19153,59328,2165,78810,3116
"Bulloch County, Georgia",0500000US13031,36153,2799,50557,6588
"Clarke County, Georgia",0500000US13059,31551,2671,47417,3351
"Glynn County, Georgia",0500000US13127,41502,6023,60189,6342
"DeKalb County, Georgia",0500000US13089,49796,2166,72797,2210
"Muscogee County, Georgia",0500000US13215,40499,1870,57273,4016
"Catoosa County, Georgia",0500000US13047,51608,2983,57983,4792
"Columbia County, Georgia",0500000US13073,72167,5368,91369,7445
"Floyd County, Georgia",0500000US13115,37296,4441,49345,3377
"Forsyth County, Georgia",0500000US13117,86052,4032,108283,5043
"Lowndes County, Georgia",0500000US13185,35317,3864,47054,3122
"Carroll County, Georgia",0500000US13045,45682,2693,60360,8623
"Coweta County, Georgia",0500000US13077,61351,6140,76782,5827
"Cobb County, Georgia",0500000US13067,63086,2094,85789,2277
"Newton County, Georgia",0500000US13217,54107,7021,66440,5477
"Clayton County, Georgia",0500000US13063,40754,2159,49118,2013
"Hall County, Georgia",0500000US13139,44998,3722,63948,3990
"Honolulu County, Hawaii",0500000US15003,73388,1774,92931,2279
"Maui County, Hawaii",0500000US15009,65558,4563,83921,5816
"Woodbury County, Iowa",0500000US19193,45594,2088,58739,4833
"Scott County, Iowa",0500000US19163,53884,3759,71542,3590
"Butler County, Kansas",0500000US20015,55647,2781,69979,6448
"Fayette County, Georgia",0500000US13113,81394,6588,95483,4952
"Riley County, Kansas",0500000US20161,43778,5674,66427,9904
"Campbell County, Kentucky",0500000US21037,53323,2571,69749,4346
"DeKalb County, Illinois",0500000US17037,52867,5077,62410,3200
"Will County, Illinois",0500000US17197,74397,2067,89485,1959
"Kane County, Illinois",0500000US17089,72108,2875,92590,4070
"San Diego County, California",0500000US06073,61426,812,85967,1501
"Tulare County, California",0500000US06107,39422,2284,54293,2291
"Yolo County, California",0500000US06113,54898,5475,74221,3455
"Humboldt County, California",0500000US06023,42092,4572,53623,3151
"Nevada County, California",0500000US06057,54851,5124,73621,5659
"Madera County, California",0500000US06039,39758,3435,56655,4219
"Mendocino County, California",0500000US06045,42042,4562,62971,10969
"Santa Cruz County, California",0500000US06087,68438,5190,87206,3832
"Los Angeles County, California",0500000US06037,54529,645,80682,774
"Riverside County, California",0500000US06065,54095,1252,72258,1141
"San Bernardino County, California",0500000US06071,52323,1172,68014,974
"Santa Clara County, California",0500000US06085,92014,1523,124515,2064
"Marin County, California",0500000US06041,96580,5921,149066,11061
"Placer County, California",0500000US06061,73328,2659,94424,4052
"Shasta County, California",0500000US06089,40332,3172,54920,2694
"Solano County, California",0500000US06095,63520,3371,80551,2715
"Butte County, California",0500000US06007,42752,2438,59522,2926
"San Luis Obispo County, California",0500000US06079,58158,2686,76395,3222
"Kern County, California",0500000US06029,46879,2311,63385,1925
"Ventura County, California",0500000US06111,77363,2133,101302,2527
"San Mateo County, California",0500000US06081,91322,1774,130393,3564
"Denver County, Colorado",0500000US08031,51089,1181,76688,2693
"Jefferson County, Colorado",0500000US08059,68201,2063,88761,2382
"Weld County, Colorado",0500000US08123,58611,2251,72246,3510
"Boulder County, Colorado",0500000US08013,71604,2063,94913,3514
"Tazewell County, Illinois",0500000US17179,56656,4463,72279,3617
"Douglas County, Colorado",0500000US08035,102961,3740,125412,4329
"Pueblo County, Colorado",0500000US08101,41218,2572,52754,2245
"Mesa County, Colorado",0500000US08077,46723,4977,64523,5125
"El Paso County, Colorado",0500000US08041,57098,2486,75943,2018
"Arapahoe County, Colorado",0500000US08005,60956,1387,81016,2245
"New Castle County, Delaware",0500000US10003,63109,2250,85668,2547
"Sussex County, Delaware",0500000US10005,50629,2156,63099,2542
"Kent County, Delaware",0500000US10001,54794,2991,66594,3529
"District of Columbia, District of Columbia",0500000US11001,67572,3383,102882,3025
"New Haven County, Connecticut",0500000US09009,58571,2218,81252,2046
"Litchfield County, Connecticut",0500000US09005,70981,3524,90110,4841
"Hartford County, Connecticut",0500000US09003,63603,2317,87838,2141
"New London County, Connecticut",0500000US09011,62883,3149,82557,3180
"Tolland County, Connecticut",0500000US09013,72954,3780,91973,5274
"Fairfield County, Connecticut",0500000US09001,82084,2165,136019,4138
"Duval County, Florida",0500000US12031,47906,1603,66130,2038
"Clay County, Florida",0500000US12019,57757,4052,75090,6754
"Nassau County, Florida",0500000US12089,54330,6004,69523,5084
"Pinellas County, Florida",0500000US12103,43703,1091,62496,1587
"St. Lucie County, Florida",0500000US12111,42504,3692,60235,5041
"Indian River County, Florida",0500000US12061,42401,3147,66564,4984
"Palm Beach County, Florida",0500000US12099,51804,936,80662,2004
"St. Johns County, Florida",0500000US12109,64862,4782,93340,6214
"Miami-Dade County, Florida",0500000US12086,41913,648,64339,1231
"Flagler County, Florida",0500000US12035,46055,4153,59269,4875
"Marion County, Florida",0500000US12083,38695,1652,51039,2220
"Lee County, Florida",0500000US12071,46383,1342,66957,2419
"Collier County, Florida",0500000US12021,54406,4231,89719,6420
"Pasco County, Florida",0500000US12101,45678,1500,58940,1700
"Highlands County, Florida",0500000US12055,33811,1919,48403,4838
