Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Milwaukee city, Wisconsin",1600000US5553000,35186,1191,47964,1372
"Santa Fe city, New Mexico",1600000US3570500,49445,3355,66635,4460
"Albany city, New York",1600000US3601000,37097,3022,53671,3955
"New York city, New York",1600000US3651000,52223,544,84292,1469
"Rochester city, New York",1600000US3663000,30158,1549,42128,1895
"Greenville city, North Carolina",1600000US3728080,35779,2974,57500,5630
"Cincinnati city, Ohio",1600000US3915000,34605,1924,54200,2593
"Longview city, Texas",1600000US4843888,38352,5804,61291,6829
"Beaumont city, Texas",1600000US4807000,40322,3835,57875,5570
"Waco city, Texas",1600000US4876000,32149,2350,52525,7286
"Everett city, Washington",1600000US5322640,50874,4576,60708,4661
"Bellingham city, Washington",1600000US5305280,39301,6061,54860,3833
"Orem city, Utah",1600000US4957300,51944,2358,65936,4651
"Provo city, Utah",1600000US4962470,38877,3697,59521,6610
"St. George city, Utah",1600000US4965330,53524,5789,68910,6130
"Sioux Falls city, South Dakota",1600000US4659020,51158,1802,66265,3595
"Salem city, Oregon",1600000US4164900,43436,2974,56929,3328
"Warwick city, Rhode Island",1600000US4474300,68548,5088,82075,6593
"Providence city, Rhode Island",1600000US4459000,36378,3732,59019,4106
"Pawtucket city, Rhode Island",1600000US4454640,40624,2705,50559,3498
"Knoxville city, Tennessee",1600000US4740000,35254,2636,49696,3145
"Erie city, Pennsylvania",1600000US4224000,32508,3235,42390,2323
"Guaynabo zona urbana, Puerto Rico",1600000US7232522,41661,5764,65832,7600
"Omaha city, Nebraska",1600000US3137000,47512,1438,65874,2194
"Syracuse city, New York",1600000US3673000,31683,1935,47492,3436
"Schenectady city, New York",1600000US3665508,36673,2932,46165,3190
"Raleigh city, North Carolina",1600000US3755000,55170,2609,76359,2922
"Concord city, North Carolina",1600000US3714100,55551,4738,73778,4530
"Cleveland city, Ohio",1600000US3916000,26096,1151,39815,1527
"Youngstown city, Ohio",1600000US3988000,24767,2596,33399,2321
"Abilene city, Texas",1600000US4801000,43059,3162,56084,4177
"Amarillo city, Texas",1600000US4803000,45818,2440,63953,3302
"Mesquite city, Texas",1600000US4847892,46423,2586,61437,4085
"Grand Prairie city, Texas",1600000US4830464,55290,3586,67315,3993
"Lewisville city, Texas",1600000US4842508,57457,2998,70665,3970
"Medford city, Oregon",1600000US4147000,39798,3508,55731,6415
"Franklin city, Tennessee",1600000US4727740,82300,10462,101055,7540
"Mount Pleasant town, South Carolina",1600000US4548535,84057,15206,100322,8655
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,46803,1227,64745,2251
"Lee's Summit city, Missouri",1600000US2941348,77014,5508,87673,5961
"Kansas City city, Missouri",1600000US2938000,45551,1955,60934,1925
"Las Vegas city, Nevada",1600000US3240000,49289,1805,66145,2131
"Sparks city, Nevada",1600000US3268400,52804,5594,66936,4667
"Paradise CDP, Nevada",1600000US3254600,45201,3193,58862,3247
"Sunrise Manor CDP, Nevada",1600000US3271400,40659,2605,51141,2382
"Reno city, Nevada",1600000US3260600,48740,2738,65747,3237
"Albuquerque city, New Mexico",1600000US3502000,48357,2447,63888,2064
"League City city, Texas",1600000US4841980,84497,10549,104565,8531
"Midland city, Texas",1600000US4848072,69530,5694,106758,12339
"Missoula city, Montana",1600000US3050200,44232,7383,57056,5777
"Henderson city, Nevada",1600000US3231900,60819,2399,80042,4667
"Las Cruces city, New Mexico",1600000US3539380,39495,5103,55495,5409
"Rio Rancho city, New Mexico",1600000US3563460,56844,5444,71184,5163
"Buffalo city, New York",1600000US3611000,32392,1617,45710,1702
"New Rochelle city, New York",1600000US3650617,66692,13519,107120,11822
"Canton city, Ohio",1600000US3912000,25817,3246,37416,3119
"Portsmouth city, Virginia",1600000US5164000,43904,3427,54744,3225
"Layton city, Utah",1600000US4943660,65700,5979,77947,7435
"West Jordan city, Utah",1600000US4982950,66264,5056,74961,3934
"Sandy city, Utah",1600000US4967440,77719,3712,100834,9714
