Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Shiawassee County, Michigan",0500000US26155,51959,2785,67420,3777
"Washtenaw County, Michigan",0500000US26161,76918,3268,110643,4071
"Scott County, Minnesota",0500000US27139,106987,8022,134003,6931
"Wright County, Minnesota",0500000US27171,99964,3235,109991,5412
"Harrison County, Mississippi",0500000US28047,55702,5166,71789,6412
"Jackson County, Mississippi",0500000US28059,57383,7947,76020,5903
"Madison County, Mississippi",0500000US28089,75678,8192,107246,8445
"Christian County, Missouri",0500000US29043,71343,9350,96783,12133
"Franklin County, Missouri",0500000US29071,68410,3903,86248,5606
"Greene County, Missouri",0500000US29077,53127,2646,77320,4127
"Jefferson County, Missouri",0500000US29099,67955,4939,84594,4324
"Platte County, Missouri",0500000US29165,85157,5511,112035,10378
"Gallatin County, Montana",0500000US30031,80763,8614,126359,14422
"Missoula County, Montana",0500000US30063,66803,4237,100626,9855
"Grafton County, New Hampshire",0500000US33009,80866,8143,106589,6850
"Merrimack County, New Hampshire",0500000US33013,80918,3325,101612,4978
"Burlington County, New Jersey",0500000US34005,94397,3389,120017,4441
"Cumberland County, New Jersey",0500000US34011,58389,5345,80573,6350
"Hudson County, New Jersey",0500000US34017,80329,3438,117882,4118
"Middlesex County, New Jersey",0500000US34023,99427,2714,122336,2768
"Ocean County, New Jersey",0500000US34029,75719,2252,103672,3863
"Salem County, New Jersey",0500000US34033,69886,6120,85382,5851
"Union County, New Jersey",0500000US34039,86764,4121,127804,4290
"Sandoval County, New Mexico",0500000US35043,72151,4732,93607,6660
"Santa Fe County, New Mexico",0500000US35049,67341,3973,96595,6383
"Valencia County, New Mexico",0500000US35061,48188,4944,62974,7583
"Cattaraugus County, New York",0500000US36009,55153,5032,66515,3088
"Madison County, New York",0500000US36053,67495,6639,88231,7196
"Niagara County, New York",0500000US36063,61340,4328,78786,4248
"Ontario County, New York",0500000US36069,77972,6550,103208,7903
"Oswego County, New York",0500000US36075,59423,3679,73270,5121
"Queens County, New York",0500000US36081,73262,1624,97041,1848
"Richmond County, New York",0500000US36085,86054,5198,109811,4388
"Saratoga County, New York",0500000US36091,86804,5102,111107,5135
"Suffolk County, New York",0500000US36103,113683,3252,148953,3217
"Warren County, New York",0500000US36113,73028,8233,95698,8957
"Westchester County, New York",0500000US36119,110705,4966,170509,4358
"Alamance County, North Carolina",0500000US37001,58400,3594,71972,3570
"Burke County, North Carolina",0500000US37023,55529,8862,72120,6308
"Catawba County, North Carolina",0500000US37035,59603,3512,77189,4641
"Lincoln County, North Carolina",0500000US37109,74201,7710,93082,7381
"McLennan County, Texas",0500000US48309,60437,6023,82220,5228
"Midland County, Texas",0500000US48329,82248,13552,107814,9791
"Nueces County, Texas",0500000US48355,59983,3072,79418,4422
"Orange County, Texas",0500000US48361,71022,7825,97661,8414
"Parker County, Texas",0500000US48367,85641,6355,104791,6565
"Lubbock County, Texas",0500000US48303,57798,3452,79061,4334
"Potter County, Texas",0500000US48375,44721,4874,67039,7880
"Randall County, Texas",0500000US48381,70322,7703,91909,6398
"Smith County, Texas",0500000US48423,63115,3384,86661,5551
"Starr County, Texas",0500000US48427,33367,9209,47153,5946
"Tarrant County, Texas",0500000US48439,71346,1751,99406,2298
"Travis County, Texas",0500000US48453,84531,2588,121005,3587
"Walker County, Texas",0500000US48471,41470,5584,54787,6577
"Nash County, North Carolina",0500000US37127,56560,5907,75812,7871
"Onslow County, North Carolina",0500000US37133,55534,3842,74114,9310
"Randolph County, North Carolina",0500000US37151,57367,4391,70020,4618
"Robeson County, North Carolina",0500000US37155,37008,3476,53798,2717
"Union County, North Carolina",0500000US37179,86606,4821,119252,5879
"Wayne County, North Carolina",0500000US37191,47595,5786,67175,5009
"Ward County, North Dakota",0500000US38101,71061,4234,83726,7905
"Ashtabula County, Ohio",0500000US39007,46771,4132,60901,3882
"Butler County, Ohio",0500000US39017,72820,3057,89811,2586
"Clark County, Ohio",0500000US39023,59431,4199,71707,3231
"Erie County, Ohio",0500000US39043,58403,3900,75733,5895
"Franklin County, Ohio",0500000US39049,65988,1704,90725,2006
"Geauga County, Ohio",0500000US39055,91305,5956,121974,8969
"Portage County, Ohio",0500000US39133,64471,4631,87028,5517
"Summit County, Ohio",0500000US39153,63117,1768,87034,2998
"Warren County, Ohio",0500000US39165,95817,5634,122476,6983
"Wayne County, Ohio",0500000US39169,59666,3201,74600,3771
"Wichita County, Texas",0500000US48485,53465,3698,72820,4973
"Williamson County, Texas",0500000US48491,96073,2875,118061,3131
"Wise County, Texas",0500000US48497,81400,9157,97382,8993
"Cache County, Utah",0500000US49005,69154,4603,93081,6747
"Davis County, Utah",0500000US49011,93182,4223,121103,6092
"Salt Lake County, Utah",0500000US49035,80712,1653,105639,2354
"Tooele County, Utah",0500000US49045,93908,9637,102625,9631
"Utah County, Utah",0500000US49049,86781,3368,114135,3931
"Washington County, Utah",0500000US49053,61186,4390,89046,8242
"Weber County, Utah",0500000US49057,72087,3538,94888,5521
"Chittenden County, Vermont",0500000US50007,85213,4231,111360,6296
"Albemarle County, Virginia",0500000US51003,92568,6774,130370,8617
"Arlington County, Virginia",0500000US51013,125651,5333,171647,7140
"Bedford County, Virginia",0500000US51019,66415,6721,90917,7616
"Chesterfield County, Virginia",0500000US51041,85796,3082,107865,4742
"Comanche County, Oklahoma",0500000US40031,49325,3045,66351,4733
"Creek County, Oklahoma",0500000US40037,52818,2658,69367,3815
"Tulsa County, Oklahoma",0500000US40143,58954,1963,83606,2156
"Clackamas County, Oregon",0500000US41005,91329,2692,116472,4262
"Deschutes County, Oregon",0500000US41017,79796,7449,105547,7851
"Josephine County, Oregon",0500000US41033,48785,4372,69334,7383
"Lane County, Oregon",0500000US41039,61712,2873,85382,3991
"Linn County, Oregon",0500000US41043,65196,4776,77674,4588
"Polk County, Oregon",0500000US41053,71532,7442,100182,9590
"Umatilla County, Oregon",0500000US41059,58329,8392,72356,4687
"Allegheny County, Pennsylvania",0500000US42003,69091,2123,97346,2186
"Cambria County, Pennsylvania",0500000US42021,52995,3388,74734,7176
"Centre County, Pennsylvania",0500000US42027,66789,6984,93060,6892
"Clearfield County, Pennsylvania",0500000US42033,55193,3990,71651,6453
"Dauphin County, Pennsylvania",0500000US42043,66454,4720,86741,3640
"Mercer County, Pennsylvania",0500000US42085,54067,5147,72132,5577
"Monroe County, Pennsylvania",0500000US42089,78575,8027,87797,5504
"Northampton County, Pennsylvania",0500000US42095,79578,4273,99949,3742
"Philadelphia County, Pennsylvania",0500000US42101,52899,1643,77734,1925
"Schuylkill County, Pennsylvania",0500000US42107,58614,3313,77347,4290
"Washington County, Pennsylvania",0500000US42125,68408,3477,92398,4080
"Kent County, Rhode Island",0500000US44003,73159,6268,101968,7420
"Providence County, Rhode Island",0500000US44007,67368,2688,90606,2989
"Aiken County, South Carolina",0500000US45003,55138,4008,78602,5648
"Berkeley County, South Carolina",0500000US45015,75004,4119,93364,4273
"Greenville County, South Carolina",0500000US45045,68540,2493,96435,4095
"Horry County, South Carolina",0500000US45051,55819,2914,72953,2780
"Lancaster County, South Carolina",0500000US45057,69796,9828,96501,9834
"Fairfax County, Virginia",0500000US51059,134115,2486,171340,2965
"Fauquier County, Virginia",0500000US51061,108497,10872,138368,10300
"Frederick County, Virginia",0500000US51069,86044,8891,101766,8745
"Henrico County, Virginia",0500000US51087,78868,3337,111839,5404
"Montgomery County, Virginia",0500000US51121,55210,8687,75465,6048
"Prince William County, Virginia",0500000US51153,118117,5660,135290,3295
"Roanoke County, Virginia",0500000US51161,72231,8159,95236,8377
"Rockingham County, Virginia",0500000US51165,73163,4918,90226,6626
"Spotsylvania County, Virginia",0500000US51177,101289,4990,115709,6084
"Stafford County, Virginia",0500000US51179,117251,6289,138442,10907
"Alexandria city, Virginia",0500000US51510,101162,5048,141427,7976
"Chesapeake city, Virginia",0500000US51550,88815,5808,106207,4159
"Lincoln County, South Dakota",0500000US46083,82898,8395,130441,19961
"Anderson County, Tennessee",0500000US47001,60364,9111,75147,6027
"Hamilton County, Tennessee",0500000US47065,66096,3581,93224,5397
"Knox County, Tennessee",0500000US47093,64894,2367,88924,3298
"Rutherford County, Tennessee",0500000US47149,78201,3562,94724,4941
"Sevier County, Tennessee",0500000US47155,50239,4888,72069,7700
"Sumner County, Tennessee",0500000US47165,70092,4000,91790,5370
