Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Springfield, OH Metro Area",310M300US44220,46665,3411,62706,2882
"State College, PA Metro Area",310M300US44300,55895,3787,75792,4520
"Statesboro, GA Micro Area",310M300US44340,42138,5934,59163,7540
"Staunton-Waynesboro, VA Metro Area",310M300US44420,54249,3909,71344,7609
"Stevens Point, WI Micro Area",310M300US44620,52247,2973,70718,5034
"Stillwater, OK Micro Area",310M300US44660,36914,3253,54261,4028
"Stockton-Lodi, CA Metro Area",310M300US44700,61164,1542,82227,2718
"Sumter, SC Metro Area",310M300US44940,45585,4437,58254,4397
"Syracuse, NY Metro Area",310M300US45060,56780,1778,75799,2086
"Talladega-Sylacauga, AL Micro Area",310M300US45180,40621,4287,54555,4335
"Tallahassee, FL Metro Area",310M300US45220,50825,2042,71247,3100
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M300US45300,52212,599,74499,1140
"Terre Haute, IN Metro Area",310M300US45460,43843,2506,60268,4403
"Texarkana, TX-AR Metro Area",310M300US45500,47722,3467,65937,6714
"The Villages, FL Metro Area",310M300US45540,54057,5564,68865,6091
"Toledo, OH Metro Area",310M300US45780,50389,1629,69121,1888
"Topeka, KS Metro Area",310M300US45820,56834,2653,67963,1925
"Torrington, CT Micro Area",310M300US45860,78436,4388,100709,5105
"Traverse City, MI Micro Area",310M300US45900,57184,3859,72511,3388
"Trenton, NJ Metro Area",310M300US45940,79173,5088,116672,5829
"Truckee-Grass Valley, CA Micro Area",310M300US46020,65385,8820,97007,10353
"Tucson, AZ Metro Area",310M300US46060,51425,1125,71284,1912
"Tullahoma-Manchester, TN Micro Area",310M300US46100,48256,5231,67216,6491
"Tulsa, OK Metro Area",310M300US46140,52275,753,71534,1299
"Tupelo, MS Micro Area",310M300US46180,51342,2980,64858,4391
"Tyler, TX Metro Area",310M300US46340,54339,4442,72587,4891
"Ukiah, CA Micro Area",310M300US46380,53024,7273,74881,7003
"Urban Honolulu, HI Metro Area",310M300US46520,81284,1533,103713,1951
