Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Alabama,0400000US01,41574,477,57372,566
Alaska,0400000US02,67712,1894,84738,1964
Arizona,0400000US04,47826,604,64841,635
Arkansas,0400000US05,40112,497,54116,703
California,0400000US06,58328,354,82159,322
Colorado,0400000US08,56765,594,76489,868
Delaware,0400000US10,58415,1593,74460,1556
District of Columbia,0400000US11,66583,2040,102160,3036
Connecticut,0400000US09,67276,865,94796,1395
Florida,0400000US12,45040,345,64229,450
Georgia,0400000US13,47209,378,65623,516
Idaho,0400000US16,45489,929,58716,1109
Hawaii,0400000US15,66259,1628,81812,1497
Illinois,0400000US17,55137,408,75201,508
Indiana,0400000US18,46974,421,61272,516
Iowa,0400000US19,50957,431,64524,642
Kansas,0400000US20,50241,520,66618,919
Kentucky,0400000US21,41724,419,56738,551
Louisiana,0400000US22,42944,680,60911,735
Maine,0400000US23,46709,898,61137,982
Maryland,0400000US24,71122,579,92805,709
Massachusetts,0400000US25,65339,645,89273,892
Michigan,0400000US26,46859,331,63031,392
Minnesota,0400000US27,58906,668,76261,706
Mississippi,0400000US28,37095,584,52677,872
Missouri,0400000US29,45321,418,61301,558
Montana,0400000US30,45076,1092,59991,1429
Nebraska,0400000US31,50723,577,65121,749
Nevada,0400000US32,49760,826,66044,1058
New Hampshire,0400000US33,63280,1537,80571,1557
New Jersey,0400000US34,69667,716,94083,790
New Mexico,0400000US35,42558,902,59281,972
New York,0400000US36,56448,371,81441,459
North Carolina,0400000US37,45150,391,61807,548
North Dakota,0400000US38,53585,1546,72495,1613
Ohio,0400000US39,46829,293,62775,445
Oklahoma,0400000US40,44312,462,60298,791
Oregon,0400000US41,49161,807,64918,753
Pennsylvania,0400000US42,51230,265,69340,387
Rhode Island,0400000US44,54554,1789,72656,1707
South Carolina,0400000US45,43107,660,59042,687
South Dakota,0400000US46,48362,974,62807,1311
Tennessee,0400000US47,42764,579,59547,661
Texas,0400000US48,50740,267,70730,382
Vermont,0400000US50,52977,1259,68644,1356
Utah,0400000US49,57049,737,71875,921
Virginia,0400000US51,61741,410,84641,521
Washington,0400000US53,57573,595,75819,611
West Virginia,0400000US54,40196,697,53889,913
Wisconsin,0400000US55,51059,321,66021,518
Wyoming,0400000US56,54901,1491,68218,1825
Puerto Rico,0400000US72,19429,325,29540,505
