Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Mississippi,0400000US28,37963,1029,52780,834
Missouri,0400000US29,46931,427,63241,594
Montana,0400000US30,46972,1140,62831,1488
Nebraska,0400000US31,51440,493,67854,959
Nevada,0400000US32,51230,589,67949,1152
New Hampshire,0400000US33,64230,1347,82393,1700
New Jersey,0400000US34,70165,546,96963,834
New Mexico,0400000US35,43872,950,60600,1036
New York,0400000US36,57369,431,84973,702
North Carolina,0400000US37,45906,424,64106,524
North Dakota,0400000US38,55759,1452,73806,1775
Ohio,0400000US39,48081,406,65129,488
Oklahoma,0400000US40,45690,534,62014,738
Oregon,0400000US41,50251,532,67494,817
Pennsylvania,0400000US42,52007,256,71597,433
Rhode Island,0400000US44,55902,1902,76820,2165
South Carolina,0400000US45,44163,659,59927,639
South Dakota,0400000US46,48947,1091,64346,1470
Tennessee,0400000US47,44297,501,62157,647
Texas,0400000US48,51704,238,73422,426
Vermont,0400000US50,52578,1561,69770,2120
Utah,0400000US49,59770,762,75223,825
Virginia,0400000US51,62666,665,86618,666
Washington,0400000US53,58405,671,78093,739
West Virginia,0400000US54,41253,746,55787,1069
Wisconsin,0400000US55,51467,370,67292,568
Wyoming,0400000US56,58752,1796,71780,1777
Puerto Rico,0400000US72,19183,313,30247,654
Alabama,0400000US01,42849,641,59294,702
Alaska,0400000US02,72237,1892,88758,2357
Arizona,0400000US04,48510,587,66389,685
Arkansas,0400000US05,40511,710,55547,819
California,0400000US06,60190,255,85707,378
Colorado,0400000US08,58823,808,79381,754
Delaware,0400000US10,57846,1876,76995,1876
District of Columbia,0400000US11,67572,3383,102882,3025
Connecticut,0400000US09,67098,1058,97801,1502
Florida,0400000US12,46036,310,65728,432
Georgia,0400000US13,47829,628,67134,645
Idaho,0400000US16,46783,930,60665,1365
Hawaii,0400000US15,68020,1523,86783,1817
Illinois,0400000US17,56210,403,78009,561
Indiana,0400000US18,47529,516,63249,646
Iowa,0400000US19,52229,533,68075,829
Kansas,0400000US20,50972,609,68827,1270
Kentucky,0400000US21,43399,650,59323,837
Louisiana,0400000US22,44164,869,63132,788
Maine,0400000US23,46974,797,62579,1107
Maryland,0400000US24,72483,718,96032,845
Massachusetts,0400000US25,66768,715,91842,876
Michigan,0400000US26,48273,378,65134,490
Minnesota,0400000US27,60702,432,78537,697
