Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Odessa city, Texas",1600000US4853388,58919,5585,70075,5876
"Portsmouth city, Virginia",1600000US5164000,50242,3880,58478,3595
"Waukesha city, Wisconsin",1600000US5584250,60923,3357,73558,4668
"Montgomery city, Alabama",1600000US0151000,42419,2801,60139,3216
"Tuscaloosa city, Alabama",1600000US0177256,47243,5538,63133,4682
"Rialto city, California",1600000US0660466,57065,5174,68690,4922
"Carmichael CDP, California",1600000US0611390,69552,8857,94536,9843
"Visalia city, California",1600000US0682954,64482,7140,81974,5412
"Hayward city, California",1600000US0633000,89925,6398,103386,5805
"Livermore city, California",1600000US0641992,118406,9928,149421,10708
"Baldwin Park city, California",1600000US0603666,67472,4525,77617,6553
"Inglewood city, California",1600000US0636546,51456,3805,66812,5353
"Jurupa Valley city, California",1600000US0637692,71996,7229,87181,9034
"Santa Rosa city, California",1600000US0670098,75356,4088,94919,5833
"Irvine city, California",1600000US0636770,104185,8917,126307,6359
"San Jose city, California",1600000US0668000,104675,3722,134413,3177
"San Francisco city, California",1600000US0667000,110816,3045,151667,4192
"Santa Clara city, California",1600000US0669084,115375,8902,136025,7744
"Vista city, California",1600000US0682996,68130,4472,81400,5360
"New Britain city, Connecticut",1600000US0950370,43574,3716,57965,5230
"Hartford city, Connecticut",1600000US0937000,33677,3233,50897,4510
"Weston city, Florida",1600000US1276582,97908,11287,153273,23199
"Port Charlotte CDP, Florida",1600000US1258350,52335,5376,62253,6203
"Lauderhill city, Florida",1600000US1239550,38471,4835,50342,4276
"Miramar city, Florida",1600000US1245975,70381,5710,88361,9533
"Jacksonville city, Florida",1600000US1235000,51497,1378,70658,2175
"Miami Gardens city, Florida",1600000US1245060,46450,4053,56552,4903
"Champaign city, Illinois",1600000US1712385,43785,4064,69721,7440
"Gary city, Indiana",1600000US1827000,26669,1926,42240,3982
"Sioux City city, Iowa",1600000US1973335,53332,5431,64947,4728
"Shawnee city, Kansas",1600000US2064500,89190,13419,105478,6927
"Topeka city, Kansas",1600000US2071000,48847,3699,60548,2590
"Bowling Green city, Kentucky",1600000US2108902,40814,2607,61183,7750
"Lafayette city, Louisiana",1600000US2240735,41964,4193,69515,7001
"New Orleans city, Louisiana",1600000US2255000,36999,1963,64136,2317
"Gaithersburg city, Maryland",1600000US2431175,82077,8999,106088,10050
"Columbia CDP, Maryland",1600000US2419125,100665,4818,119698,6055
"Baltimore city, Maryland",1600000US2404000,47131,1583,69676,2281
"Troy city, Michigan",1600000US2680700,95825,7459,119345,7618
"Wyoming city, Michigan",1600000US2688940,56774,6151,62994,4352
"Warren city, Michigan",1600000US2684000,46347,3187,59316,3097
"Livonia city, Michigan",1600000US2649000,82410,4820,91993,4728
"St. Cloud city, Minnesota",1600000US2756896,46048,7910,62604,7222
"Rochester city, New York",1600000US3663000,33588,2185,53179,5153
"Gastonia city, North Carolina",1600000US3725580,46688,4705,62361,4702
"Asheville city, North Carolina",1600000US3702140,50184,4135,70937,5125
"Salem city, Oregon",1600000US4164900,56186,3559,70161,5263
"Knoxville city, Tennessee",1600000US4740000,38714,2084,61582,5413
"Franklin city, Tennessee",1600000US4727740,96199,10766,118631,9761
"Edinburg city, Texas",1600000US4822660,55392,11673,64280,6640
"San Angelo city, Texas",1600000US4864472,46100,5168,64733,5901
"Arlington city, Texas",1600000US4804000,57083,3246,73804,2895
"McKinney city, Texas",1600000US4845744,93546,4188,117629,7346
"Denton city, Texas",1600000US4819972,51004,3327,71604,4364
"Roanoke city, Virginia",1600000US5168000,43799,3511,58975,6308
"Chesapeake city, Virginia",1600000US5116000,76629,4106,93101,4707
"Birmingham city, Alabama",1600000US0107000,33553,2673,50301,2808
"Hoover city, Alabama",1600000US0135896,84054,12009,109765,10958
"Riverside city, California",1600000US0662000,66928,4939,83928,3596
"Temecula city, California",1600000US0678120,89173,6660,112434,8199
"Mission Viejo city, California",1600000US0648256,102787,10441,124685,7307
"Lodi city, California",1600000US0642202,51902,11033,74729,9407
"Newport Beach city, California",1600000US0651182,127104,16887,219050,24251
"San Clemente city, California",1600000US0665084,101743,9197,137774,13533
"Berkeley city, California",1600000US0606000,86497,10955,124087,8402
"Fremont city, California",1600000US0626000,127235,4969,156457,6930
"Bellflower city, California",1600000US0604982,60233,6359,73276,6273
"Yuba City city, California",1600000US0686972,51497,5154,66529,4437
"Sunnyvale city, California",1600000US0677000,134234,9709,163724,8636
"San Diego city, California",1600000US0666000,76662,1736,105393,2573
"Salinas city, California",1600000US0664224,60370,5921,74277,3860
"Fairfield city, California",1600000US0623182,81231,8133,106535,11971
"Folsom city, California",1600000US0624638,116592,7389,127713,7471
"Sacramento city, California",1600000US0664000,56943,1779,79212,2997
"Lakewood city, California",1600000US0639892,83485,11507,96727,7270
"Elk Grove city, California",1600000US0622020,89404,4224,105294,5768
"Rancho Cordova city, California",1600000US0659444,64088,5627,87883,9636
"Menifee city, California",1600000US0646842,65995,7559,80386,6114
"Norwalk city, Connecticut",1600000US0955990,70236,8437,105144,8751
"Waterbury city, Connecticut",1600000US0980000,42969,4874,56808,5364
"Alafaya CDP, Florida",1600000US1200410,81572,14202,101355,14198
"Urban Honolulu CDP, Hawaii",1600000US1571550,69193,3583,95110,4291
"Bolingbrook village, Illinois",1600000US1707133,92769,10002,111198,12490
"Joliet city, Illinois",1600000US1738570,65725,5885,80179,4212
"Waterloo city, Iowa",1600000US1982425,42346,3456,59666,5233
"Lawrence city, Kansas",1600000US2038900,48827,4503,69274,6710
"Overland Park city, Kansas",1600000US2053775,79070,4121,109438,4377
"Olathe city, Kansas",1600000US2052575,87052,6495,100846,4072
"Bossier City city, Louisiana",1600000US2208920,46911,7935,59468,5832
"Rockville city, Maryland",1600000US2467675,100388,8026,124597,11080
"Dearborn city, Michigan",1600000US2621000,46662,5673,67231,5887
"Detroit city, Michigan",1600000US2622000,30344,1041,42401,1734
"Ann Arbor city, Michigan",1600000US2603000,70499,8944,97099,6041
"Grand Rapids city, Michigan",1600000US2634000,48521,2596,64877,4064
"Sterling Heights city, Michigan",1600000US2676460,64668,5528,78358,4504
"Maple Grove city, Minnesota",1600000US2740166,110288,12751,132234,11596
"Brooklyn Park city, Minnesota",1600000US2707966,71213,4097,89275,7023
"Greenville city, North Carolina",1600000US3728080,39423,3335,59158,5192
"Raleigh city, North Carolina",1600000US3755000,64660,2576,86850,3177
"Youngstown city, Ohio",1600000US3988000,28843,2024,39739,4821
"Medford city, Oregon",1600000US4147000,48825,4295,61617,4078
"Portland city, Oregon",1600000US4159000,66187,2382,88967,2773
"Hillsboro city, Oregon",1600000US4134100,83992,8600,94458,5136
"Gresham city, Oregon",1600000US4131250,51130,4064,64237,3264
"Philadelphia city, Pennsylvania",1600000US4260000,39759,1379,61458,1511
"Flower Mound town, Texas",1600000US4826232,133521,9392,155515,9107
"North Richland Hills city, Texas",1600000US4852356,67307,6876,84176,6074
"Midland city, Texas",1600000US4848072,75886,7469,102104,9365
"Bryan city, Texas",1600000US4810912,43283,5326,53086,3572
"Temple city, Texas",1600000US4872176,52416,7430,66602,6714
"Suffolk city, Virginia",1600000US5176432,70277,4682,87389,7524
"Dothan city, Alabama",1600000US0121184,44280,2058,68293,4402
"Huntsville city, Alabama",1600000US0137000,50704,4050,75731,3813
"San Tan Valley CDP, Arizona",1600000US0464210,61599,7480,69430,5613
"Buckeye city, Arizona",1600000US0407940,74970,8914,80756,7202
"Palo Alto city, California",1600000US0655282,153802,20228,235105,22380
"Florence-Graham CDP, California",1600000US0624477,43730,6379,53459,5290
"Hawthorne city, California",1600000US0632548,50063,4799,67269,6853
"Moreno Valley city, California",1600000US0649270,62198,3400,74461,3082
"Redlands city, California",1600000US0659962,65053,12183,93869,10814
"Santa Clarita city, California",1600000US0669088,90961,4549,110739,4858
"Mountain View city, California",1600000US0649670,135115,10779,177048,13297
"Lake Forest city, California",1600000US0639496,99913,10350,120347,8086
"Santa Ana city, California",1600000US0669000,65655,2829,80918,3097
"Whittier city, California",1600000US0685292,66525,8889,85060,7335
"Wilmington city, Delaware",1600000US1077580,35963,5100,66044,8294
"Washington city, District of Columbia",1600000US1150000,82372,2651,121095,3228
"Clearwater city, Florida",1600000US1212875,44062,2916,66384,6052
"Chicago city, Illinois",1600000US1714000,55295,1185,84552,1720
"Muncie city, Indiana",1600000US1851876,30555,3666,45914,4193
"Wichita city, Kansas",1600000US2079000,50504,1917,67381,2890
"Kansas City city, Kansas",1600000US2036000,45118,2486,56732,2928
"Metairie CDP, Louisiana",1600000US2250115,58947,4586,78899,4750
"Baton Rouge city, Louisiana",1600000US2205000,40796,4010,63851,5430
"Southfield city, Michigan",1600000US2674900,58813,3810,81848,10795
"Flint city, Michigan",1600000US2629000,26901,2193,36979,3283
"Bloomington city, Minnesota",1600000US2706616,69642,6061,91054,6724
"Plymouth city, Minnesota",1600000US2751730,97770,7716,130254,8934
"Albuquerque city, New Mexico",1600000US3502000,50456,1750,69071,2586
"Cheektowaga CDP, New York",1600000US3615000,53502,4135,68068,5997
"Mount Vernon city, New York",1600000US3649121,55564,8699,75414,5938
"Cary town, North Carolina",1600000US3710740,99209,4102,120458,5220
"Longview city, Texas",1600000US4843888,46081,2793,64460,7691
"Orem city, Utah",1600000US4957300,61729,3368,78231,5133
"Richmond city, Virginia",1600000US5167000,46261,2332,70055,3327
"Dale City CDP, Virginia",1600000US5121088,85385,6656,103749,6454
"Yuma city, Arizona",1600000US0485540,50195,7541,63458,4912
"Casas Adobes CDP, Arizona",1600000US0410670,65029,5014,75547,4431
"Camarillo city, California",1600000US0610046,101310,6459,131215,13784
"Simi Valley city, California",1600000US0672016,90200,5597,108620,6898
"Thousand Oaks city, California",1600000US0678582,100338,6780,141235,10337
"Lake Elsinore city, California",1600000US0639486,67988,13907,73565,7638
"Madera city, California",1600000US0645022,42144,5376,54430,6143
"Merced city, California",1600000US0646898,40573,4267,59306,5592
"Tracy city, California",1600000US0680238,89936,8228,104870,8405
"Redwood City city, California",1600000US0660102,116966,9213,151285,11590
"Concord city, California",1600000US0616000,89118,4222,100246,4713
"San Ramon city, California",1600000US0668378,161870,20066,184996,9205
"Redding city, California",1600000US0659920,50320,4795,72878,6789
"Manteca city, California",1600000US0645484,71324,5650,83129,6600
"Union City city, California",1600000US0681204,117526,13972,131445,7726
"Davis city, California",1600000US0618100,72800,9002,121613,18714
"Tamarac city, Florida",1600000US1270675,41737,2260,58748,7846
"Hollywood city, Florida",1600000US1232000,50775,2639,73066,6294
"Plantation city, Florida",1600000US1257425,73817,5279,90373,6917
"Kendall CDP, Florida",1600000US1236100,72167,8216,100509,8847
"Miami Beach city, Florida",1600000US1245025,50152,6923,87855,10628
"Springfield city, Illinois",1600000US1772000,51313,3409,72093,4460
"Naperville city, Illinois",1600000US1751622,126217,4382,147849,7274
"Lafayette city, Indiana",1600000US1840788,45315,5478,56872,5295
"Shreveport city, Louisiana",1600000US2270000,32983,3029,57571,5290
"Lake Charles city, Louisiana",1600000US2241155,43939,3509,64375,5645
"Portland city, Maine",1600000US2360545,56326,7072,71457,5045
"Farmington Hills city, Michigan",1600000US2627440,82592,5030,104657,6913
"St. Paul city, Minnesota",1600000US2758000,54290,2570,77291,3858
"Eagan city, Minnesota",1600000US2717288,86611,7205,112261,9391
"Durham city, North Carolina",1600000US3719000,56375,4188,81221,3183
"Concord city, North Carolina",1600000US3714100,67844,7409,90829,7911
"Greensboro city, North Carolina",1600000US3728000,47043,3027,68850,3585
"Beaverton city, Oregon",1600000US4105350,71979,4262,91005,7067
"Bend city, Oregon",1600000US4105800,66455,7468,84017,6748
"Cranston city, Rhode Island",1600000US4419180,71263,4057,87703,7153
"Warwick city, Rhode Island",1600000US4474300,73966,4628,88302,5899
"Providence city, Rhode Island",1600000US4459000,44517,6892,69509,5582
"Pawtucket city, Rhode Island",1600000US4454640,45380,4723,61568,4280
"Laredo city, Texas",1600000US4841464,44494,3553,58115,4020
"Fort Worth city, Texas",1600000US4827000,60205,2316,77953,2074
"Provo city, Utah",1600000US4962470,43126,4100,63035,5435
"St. George city, Utah",1600000US4965330,54210,4971,72688,6797
"Norfolk city, Virginia",1600000US5157000,49445,2567,69146,4392
"Tacoma city, Washington",1600000US5370000,57164,2589,73925,2672
"Mobile city, Alabama",1600000US0150000,40316,3001,61080,3601
"Scottsdale city, Arizona",1600000US0465000,88407,4673,129671,6743
"Pittsburg city, California",1600000US0657456,65497,8993,91059,9207
"Walnut Creek city, California",1600000US0683346,100180,11505,138521,11556
"Daly City city, California",1600000US0617918,90888,6330,107507,6862
"El Cajon city, California",1600000US0621712,50312,4223,70044,5233
"Victorville city, California",1600000US0682590,50997,9277,65536,6670
"Anaheim city, California",1600000US0602000,70395,4332,88459,4202
"Fullerton city, California",1600000US0628000,77385,8363,100375,6598
"Huntington Beach city, California",1600000US0636000,87120,3182,116066,6909
"Tustin city, California",1600000US0680854,81285,10433,111113,12639
"Richmond city, California",1600000US0660620,67102,7765,83838,7399
"Downey city, California",1600000US0619766,72178,7140,89745,7262
"Glendale city, California",1600000US0630000,58861,4736,88088,6236
"Palmdale city, California",1600000US0655156,60518,3767,75070,4890
"Redondo Beach city, California",1600000US0660018,104715,10629,143258,12295
"Alameda city, California",1600000US0600562,89979,6791,117847,9238
"Lynwood city, California",1600000US0644574,48812,9072,62276,7121
"Los Angeles city, California",1600000US0644000,60197,785,91496,1379
"Costa Mesa city, California",1600000US0616532,78904,6950,99872,5862
"Orange city, California",1600000US0653980,91092,3632,117694,10938
"El Monte city, California",1600000US0622230,51730,5187,62660,4993
"Ontario city, California",1600000US0653896,60086,3112,74674,3455
"Hemet city, California",1600000US0633182,39801,5237,52260,4246
"Perris city, California",1600000US0656700,62340,8807,72568,6470
"Davie town, Florida",1600000US1216475,63243,6452,102530,18608
"Coral Springs city, Florida",1600000US1214400,72557,4195,96141,6391
"Warner Robins city, Georgia",1600000US1380508,51435,2863,63188,6480
"Waukegan city, Illinois",1600000US1779293,48029,3254,62055,4685
"Kenner city, Louisiana",1600000US2239475,57009,4029,74789,6599
"Glen Burnie CDP, Maryland",1600000US2432650,62593,6556,75991,5704
"Minneapolis city, Minnesota",1600000US2743000,60789,2281,87976,3400
"Woodbury city, Minnesota",1600000US2771428,101069,7551,128796,13403
"Cincinnati city, Ohio",1600000US3915000,38938,1743,61545,3174
"Edmond city, Oklahoma",1600000US4023200,69570,2980,106368,12304
"Norman city, Oklahoma",1600000US4052500,54065,5948,75300,5488
"Eugene city, Oregon",1600000US4123850,50592,3747,73167,5949
"Rock Hill city, South Carolina",1600000US4561405,52663,4230,72511,7686
"North Charleston city, South Carolina",1600000US4550875,39265,4367,56637,5072
"Memphis city, Tennessee",1600000US4748000,39333,2011,59458,2391
"Jackson city, Tennessee",1600000US4737640,41956,6537,59107,7092
"Murfreesboro city, Tennessee",1600000US4751560,64953,5277,80093,6696
"Clarksville city, Tennessee",1600000US4715160,55021,3492,69143,4753
"Chattanooga city, Tennessee",1600000US4714000,41859,4284,66709,4355
"Johnson City city, Tennessee",1600000US4738320,35700,3374,62252,7869
"Atascocita CDP, Texas",1600000US4804462,99789,7678,105568,8870
"Austin city, Texas",1600000US4805000,67755,2053,96046,2821
"Amarillo city, Texas",1600000US4803000,51263,2183,69187,4609
"Kennewick city, Washington",1600000US5335275,51061,4524,68642,7975
"Pasco city, Washington",1600000US5353545,59200,10349,74599,6421
"Racine city, Wisconsin",1600000US5566000,43169,3443,56123,4794
"Avondale city, Arizona",1600000US0404720,55468,3675,68422,6269
