Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Beaumont-Port Arthur, TX Metro Area",310M200US13140,49787,2208,66644,2955
"Beaver Dam, WI Micro Area",310M200US13180,55832,3028,65120,2724
"Beckley, WV Metro Area",310M200US13220,37101,2392,48467,2747
"Bellingham, WA Metro Area",310M200US13380,55016,3235,74237,4585
"Bend-Redmond, OR Metro Area",310M200US13460,57373,5618,78510,6935
"Billings, MT Metro Area",310M200US13740,57249,2561,73166,3920
"Binghamton, NY Metro Area",310M200US13780,49386,2998,65121,2480
"Birmingham-Hoover, AL Metro Area",310M200US13820,51459,1064,70090,1820
"Bismarck, ND Metro Area",310M200US13900,65173,3543,87334,7394
"Bloomington, IL Metro Area",310M200US14010,63842,3138,85814,4264
"Bloomington, IN Metro Area",310M200US14020,44376,4283,62122,4575
"Bloomsburg-Berwick, PA Metro Area",310M200US14100,46688,3568,63001,3828
"Bluefield, WV-VA Micro Area",310M200US14140,37965,3728,51508,4415
"Boise City, ID Metro Area",310M200US14260,51925,1841,68779,2984
"Boston-Cambridge-Newton, MA-NH Metro Area",310M200US14460,78800,1642,106840,1210
"Boulder, CO Metro Area",310M200US14500,72009,5099,103222,6179
"Bowling Green, KY Metro Area",310M200US14540,43437,3322,60314,3719
"Bozeman, MT Micro Area",310M200US14580,57535,2338,79205,3776
"Brainerd, MN Micro Area",310M200US14660,50042,2392,66902,4053
"Branson, MO Micro Area",310M200US14700,41714,3417,59276,6636
"Bremerton-Silverdale, WA Metro Area",310M200US14740,66090,3036,81047,2888
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M200US14860,86414,2417,137438,3611
"Brunswick, GA Metro Area",310M200US15260,44347,4071,65613,5428
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",310M200US15380,51772,994,68689,1460
"Burlington, NC Metro Area",310M200US15500,39541,2483,55884,4863
"Burlington-South Burlington, VT Metro Area",310M200US15540,66807,2770,84490,4070
"California-Lexington Park, MD Metro Area",310M200US15680,85163,7529,102544,6257
"Canton-Massillon, OH Metro Area",310M200US15940,49313,1957,65874,2013
"Cape Coral-Fort Myers, FL Metro Area",310M200US15980,50651,1121,70064,2479
"Cape Girardeau, MO-IL Metro Area",310M200US16020,47824,3734,69223,8180
"Carbondale-Marion, IL Metro Area",310M200US16060,42284,2674,60541,4349
"Carson City, NV Metro Area",310M200US16180,42251,5817,67227,8967
"Casper, WY Metro Area",310M200US16220,52886,5090,73985,6933
"Cedar Rapids, IA Metro Area",310M200US16300,58015,3005,75182,2849
"Centralia, WA Micro Area",310M200US16500,48179,4864,57576,3528
"Chambersburg-Waynesboro, PA Metro Area",310M200US16540,57960,5015,70642,2926
"Champaign-Urbana, IL Metro Area",310M200US16580,51600,2504,68883,3887
"Charleston, WV Metro Area",310M200US16620,42526,2209,57505,2502
"Charleston-Mattoon, IL Micro Area",310M200US16660,42623,3748,60058,8423
"Charleston-North Charleston, SC Metro Area",310M200US16700,56430,1594,77932,2594
"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M200US16740,54836,1050,77789,1159
"Charlottesville, VA Metro Area",310M200US16820,63918,4308,88050,4827
"Chattanooga, TN-GA Metro Area",310M200US16860,47809,2027,64851,1965
"Cheyenne, WY Metro Area",310M200US16940,60599,9360,80196,7548
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M200US16980,63153,797,88925,742
"Brownsville-Harlingen, TX Metro Area",310M200US15180,34074,2696,50664,2871
"Chico, CA Metro Area",310M200US17020,45644,1880,61627,2890
"Chillicothe, OH Micro Area",310M200US17060,44907,3656,56828,4094
"Cincinnati, OH-KY-IN Metro Area",310M200US17140,56826,895,76779,1127
"Claremont-Lebanon, NH-VT Micro Area",310M200US17200,55882,2688,75922,3876
"Clarksburg, WV Micro Area",310M200US17220,46903,3420,61458,4492
"Clarksville, TN-KY Metro Area",310M200US17300,46070,1580,57129,1913
"Clearlake, CA Micro Area",310M200US17340,37294,6505,50441,4252
"Cleveland, TN Metro Area",310M200US17420,42380,2716,63662,7889
"Cleveland-Elyria, OH Metro Area",310M200US17460,51049,679,70990,984
"Coeur d'Alene, ID Metro Area",310M200US17660,47860,3182,63639,4101
"College Station-Bryan, TX Metro Area",310M200US17780,46341,2964,65896,3179
"Colorado Springs, CO Metro Area",310M200US17820,60458,1573,78073,2381
"Columbia, MO Metro Area",310M200US17860,50520,3306,66751,4494
"Columbia, SC Metro Area",310M200US17900,51369,1152,67564,1769
"Columbus, GA-AL Metro Area",310M200US17980,41592,1671,58076,3424
"Columbus, IN Metro Area",310M200US18020,54447,3806,70857,5849
"Columbus, OH Metro Area",310M200US18140,58192,1604,78054,1433
"Concord, NH Micro Area",310M200US18180,68566,2343,84829,3892
"Cookeville, TN Micro Area",310M200US18260,37933,4222,52136,3960
"Coos Bay, OR Micro Area",310M200US18300,38351,2997,49817,3428
"Corning, NY Micro Area",310M200US18500,47146,3242,65563,5070
"Corpus Christi, TX Metro Area",310M200US18580,50253,2252,68985,2870
"Corvallis, OR Metro Area",310M200US18700,52852,5818,75743,6232
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M200US18880,53488,2816,73686,4445
"Cullman, AL Micro Area",310M200US18980,37862,2318,49033,3650
"Des Moines-West Des Moines, IA Metro Area",310M200US19780,62024,1587,81722,2639
"Detroit-Warren-Dearborn, MI Metro Area",310M200US19820,53628,774,74403,726
"Cumberland, MD-WV Metro Area",310M200US19060,39408,3639,50152,2920
"Dallas-Fort Worth-Arlington, TX Metro Area",310M200US19100,61644,469,86871,1031
"Dalton, GA Metro Area",310M200US19140,45632,5712,60688,6015
"Danville, IL Metro Area",310M200US19180,45098,3254,59412,4853
"Danville, VA Micro Area",310M200US19260,37623,2674,50459,2817
"Daphne-Fairhope-Foley, AL Metro Area",310M200US19300,52003,2709,73408,4389
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M200US19340,55496,1738,68844,2088
"Dayton, OH Metro Area",310M200US19380,49504,1346,65586,1482
"Decatur, AL Metro Area",310M200US19460,46157,1477,60268,3365
"Decatur, IL Metro Area",310M200US19500,48040,2949,66687,4267
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M200US19660,43284,1680,59514,2799
"Denver-Aurora-Lakewood, CO Metro Area",310M200US19740,70283,800,93705,1190
"Dothan, AL Metro Area",310M200US20020,42492,1802,59338,2759
"Dover, DE Metro Area",310M200US20100,56778,3480,71135,4731
"DuBois, PA Micro Area",310M200US20180,44666,3345,54258,3072
"Dubuque, IA Metro Area",310M200US20220,58487,3255,70651,3574
"Duluth, MN-WI Metro Area",310M200US20260,50566,1603,64985,2175
"Dunn, NC Micro Area",310M200US20380,48960,4107,58631,2788
"Durham-Chapel Hill, NC Metro Area",310M200US20500,54160,2354,80006,2789
"East Stroudsburg, PA Metro Area",310M200US20700,57318,4275,69094,3548
"Eau Claire, WI Metro Area",310M200US20740,52094,2235,66647,3765
"El Centro, CA Metro Area",310M200US20940,40852,4329,55930,3489
"Elmira, NY Metro Area",310M200US21300,53119,3960,65125,5097
"El Paso, TX Metro Area",310M200US21340,43633,2052,56608,1770
"Erie, PA Metro Area",310M200US21500,47386,2957,64276,2637
"Eugene, OR Metro Area",310M200US21660,47318,2893,62572,2342
"Eureka-Arcata-Fortuna, CA Micro Area",310M200US21700,40484,2044,58123,4188
"Evansville, IN-KY Metro Area",310M200US21780,48662,2492,66140,3655
"Fairbanks, AK Metro Area",310M200US21820,72975,6660,88857,6787
"Elizabeth City, NC Micro Area",310M200US21020,44807,4301,59210,5411
"Elizabethtown-Fort Knox, KY Metro Area",310M200US21060,48955,2691,59973,3278
"Elkhart-Goshen, IN Metro Area",310M200US21140,49556,2221,64099,4011
"Fargo, ND-MN Metro Area",310M200US22020,56051,3951,75184,3963
"Faribault-Northfield, MN Micro Area",310M200US22060,57323,6226,75012,6100
"Farmington, MO Micro Area",310M200US22100,42863,5110,53890,4417
"Farmington, NM Metro Area",310M200US22140,49613,3755,63911,5156
"Fayetteville, NC Metro Area",310M200US22180,41921,1304,56366,2087
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",310M200US22220,50788,1205,71402,2359
"Findlay, OH Micro Area",310M200US22300,54709,3752,69099,4090
"Flagstaff, AZ Metro Area",310M200US22380,53152,4204,73662,6707
"Flint, MI Metro Area",310M200US22420,44025,1840,57809,2427
"Florence, SC Metro Area",310M200US22500,38062,2682,56846,3707
"Florence-Muscle Shoals, AL Metro Area",310M200US22520,41547,2014,59042,3936
"Fond du Lac, WI Metro Area",310M200US22540,57620,3994,70979,3885
"Forest City, NC Micro Area",310M200US22580,35594,3954,47342,4800
"Fort Collins, CO Metro Area",310M200US22660,64919,2845,83773,3230
"Fort Smith, AR-OK Metro Area",310M200US22900,41040,1235,55126,2669
"Fort Wayne, IN Metro Area",310M200US23060,50856,1309,69038,2892
"Frankfort, KY Micro Area",310M200US23180,52190,3792,62988,5053
"Fresno, CA Metro Area",310M200US23420,46949,1781,64716,1789
"Gadsden, AL Metro Area",310M200US23460,43346,3060,52933,2894
"Gainesville, FL Metro Area",310M200US23540,46949,2568,67719,3050
"Gainesville, GA Metro Area",310M200US23580,55009,4485,76098,5267
"Gallup, NM Micro Area",310M200US23700,28212,2118,44350,5382
"Gettysburg, PA Metro Area",310M200US23900,61023,2894,72473,3791
"Glenwood Springs, CO Micro Area",310M200US24060,64945,10639,87384,7221
"Goldsboro, NC Metro Area",310M200US24140,40361,3393,54321,3704
"Grand Forks, ND-MN Metro Area",310M200US24220,53443,3572,75004,7206
"Grand Island, NE Metro Area",310M200US24260,51371,3320,63358,3343
"Grand Junction, CO Metro Area",310M200US24300,51465,2717,67247,4610
"Grand Rapids-Wyoming, MI Metro Area",310M200US24340,55459,1156,74005,2065
"Grants Pass, OR Metro Area",310M200US24420,41493,3378,51033,4021
"Great Falls, MT Metro Area",310M200US24500,45606,3301,65494,6701
"Greeley, CO Metro Area",310M200US24540,70256,2550,79555,2786
"Green Bay, WI Metro Area",310M200US24580,54847,2710,68514,2333
"Greeneville, TN Micro Area",310M200US24620,34768,3121,53180,6781
"Greenfield Town, MA Micro Area",310M200US24640,58613,3148,75758,7631
"Greensboro-High Point, NC Metro Area",310M200US24660,45749,1631,64628,2431
"Greenville, NC Metro Area",310M200US24780,41453,2439,61513,4067
"Greenville-Anderson-Mauldin, SC Metro Area",310M200US24860,48180,1493,63602,1592
"Greenwood, SC Micro Area",310M200US24940,39555,3212,52459,4112
"Glens Falls, NY Metro Area",310M200US24020,55186,3977,71721,4676
"Hilo, HI Micro Area",310M200US25900,60033,5620,70160,4088
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",310M200US25940,55923,3380,78273,6177
"Hinesville, GA Metro Area",310M200US25980,37211,3732,46718,2832
"Guayama, PR Metro Area",310M200US25020,16135,1798,23452,2416
"Gulfport-Biloxi-Pascagoula, MS Metro Area",310M200US25060,44328,2597,57861,2210
"Hagerstown-Martinsburg, MD-WV Metro Area",310M200US25180,55142,3308,69301,2789
"Hammond, LA Metro Area",310M200US25220,42962,6740,61415,5428
"Hanford-Corcoran, CA Metro Area",310M200US25260,45746,4090,67033,8047
"Harrisburg-Carlisle, PA Metro Area",310M200US25420,58166,2484,74009,1949
"Harrisonburg, VA Metro Area",310M200US25500,47420,4232,63449,4726
"Hartford-West Hartford-East Hartford, CT Metro Area",310M200US25540,72275,1552,94753,1803
"Hattiesburg, MS Metro Area",310M200US25620,41938,4298,55818,4153
"Helena, MT Micro Area",310M200US25740,60278,6310,70524,4482
"Hermiston-Pendleton, OR Micro Area",310M200US25840,49973,2408,62550,5374
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,40380,1696,55285,2435
"Hobbs, NM Micro Area",310M200US26020,56260,7142,73254,7120
"Holland, MI Micro Area",310M200US26090,55250,2598,66063,3194
"Homosassa Springs, FL Metro Area",310M200US26140,40294,3717,54383,5284
"Hot Springs, AR Metro Area",310M200US26300,37013,1968,58879,9168
"Houma-Thibodaux, LA Metro Area",310M200US26380,48119,3763,64023,3398
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,61465,548,89171,1154
"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,42237,1760,57685,2536
"Huntsville, AL Metro Area",310M200US26620,57792,2804,78342,3209
"Huntsville, TX Micro Area",310M200US26660,39521,4562,51260,4112
"Hutchinson, KS Micro Area",310M200US26740,47376,3788,62530,5360
"Idaho Falls, ID Metro Area",310M200US26820,52689,3356,76167,7394
"Indiana, PA Micro Area",310M200US26860,46990,4818,59939,3963
"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,54322,1277,75178,1236
"Iowa City, IA Metro Area",310M200US26980,55332,4266,76186,6570
"Ithaca, NY Metro Area",310M200US27060,58084,4517,77498,5643
"Jackson, MI Metro Area",310M200US27100,50783,2819,65830,3960
"Jackson, MS Metro Area",310M200US27140,46757,1641,63688,1979
"Jackson, TN Metro Area",310M200US27180,46553,2886,63483,5321
"Jacksonville, FL Metro Area",310M200US27260,53221,1397,74960,2140
"Jacksonville, NC Metro Area",310M200US27340,45832,3161,56869,3527
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,44460,2933,56587,2883
"Janesville-Beloit, WI Metro Area",310M200US27500,53777,3410,65408,2929
"Jefferson City, MO Metro Area",310M200US27620,55069,3601,67077,3633
"Johnson City, TN Metro Area",310M200US27740,40388,2357,56652,3501
"Johnstown, PA Metro Area",310M200US27780,44179,2002,56001,2790
"Jonesboro, AR Metro Area",310M200US27860,37378,4982,54177,3698
"Joplin, MO Metro Area",310M200US27900,45089,2057,60416,3805
"Kahului-Wailuku-Lahaina, HI Metro Area",310M200US27980,70468,3157,86521,4758
"Aberdeen, WA Micro Area",310M200US10140,44122,5518,60494,5353
"Abilene, TX Metro Area",310M200US10180,47420,5071,65183,4380
"Adrian, MI Micro Area",310M200US10300,48279,2553,60687,3735
"Aguadilla-Isabela, PR Metro Area",310M200US10380,14485,810,22249,1251
"Akron, OH Metro Area",310M200US10420,51580,1156,70288,1832
"Alamogordo, NM Micro Area",310M200US10460,36142,4749,47559,4203
"Albany, GA Metro Area",310M200US10500,40143,2937,56072,3569
"Albany, OR Metro Area",310M200US10540,47527,4013,58294,4062
"Albany-Schenectady-Troy, NY Metro Area",310M200US10580,63080,2573,81725,2171
"Albertville, AL Micro Area",310M200US10700,40525,4053,59938,6162
