Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Mississippi,0400000US28,41754,556,58974,1006
Missouri,0400000US29,51746,374,70871,745
Montana,0400000US30,50027,1096,69308,1642
Nebraska,0400000US31,56927,767,74586,1020
Nevada,0400000US32,55180,901,73383,1142
New Hampshire,0400000US33,70936,1422,90910,1748
New Jersey,0400000US34,76126,701,105185,766
New Mexico,0400000US35,46748,826,64515,1368
New York,0400000US36,62909,631,93373,609
North Carolina,0400000US37,50584,292,70544,700
North Dakota,0400000US38,60656,1528,79185,2428
Ohio,0400000US39,52334,275,71456,551
Oklahoma,0400000US40,49176,625,66547,691
Oregon,0400000US41,57532,855,77460,729
Pennsylvania,0400000US42,56907,360,78053,427
Rhode Island,0400000US44,60596,1591,81215,2120
South Carolina,0400000US45,49501,601,67889,886
South Dakota,0400000US46,54467,1289,71385,2147
Tennessee,0400000US47,48547,675,68104,680
Texas,0400000US48,56565,300,80346,412
Vermont,0400000US50,57677,1672,75854,1917
Utah,0400000US49,65977,955,84117,1372
Virginia,0400000US51,68114,748,93939,787
Washington,0400000US53,67106,595,90315,972
West Virginia,0400000US54,43385,1112,60164,1278
Wisconsin,0400000US55,56811,549,75113,661
Wyoming,0400000US56,59882,2214,75574,2305
Puerto Rico,0400000US72,20078,354,31262,694
Alabama,0400000US01,46257,677,64632,778
Alaska,0400000US02,76440,2230,93312,2396
Arizona,0400000US04,53558,634,74053,837
Arkansas,0400000US05,44334,921,61167,929
California,0400000US06,67739,356,96961,419
Colorado,0400000US08,65685,636,88246,926
Delaware,0400000US10,61757,1492,81349,1980
District of Columbia,0400000US11,75506,3416,114432,4518
Connecticut,0400000US09,73433,1059,105255,1275
Florida,0400000US12,50860,241,72784,491
Georgia,0400000US13,53559,710,75363,716
Idaho,0400000US16,51807,963,68006,1745
Hawaii,0400000US15,74511,1776,95904,1626
Illinois,0400000US17,60960,389,84561,636
Indiana,0400000US18,52314,371,69612,638
Iowa,0400000US19,56247,695,73644,944
Kansas,0400000US20,54935,893,73385,893
Kentucky,0400000US21,46659,600,64852,833
Louisiana,0400000US22,45146,776,65696,905
Maine,0400000US23,53079,1379,70392,1306
Maryland,0400000US24,78945,737,102402,899
Massachusetts,0400000US25,75297,771,101911,825
Michigan,0400000US26,52492,402,72581,470
Minnesota,0400000US27,65599,606,86415,772
