Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Iberia Parish, Louisiana",0500000US22045,6011,4925,4059,5258,3665,844,678
"Iberville Parish, Louisiana",0500000US22047,3030,1917,1113,2544,2065,339,340
"Jefferson Parish, Louisiana",0500000US22051,32053,33079,29795,40211,24330,9812,10495
"Jefferson Davis Parish, Louisiana",0500000US22053,2187,3236,1536,1861,1650,1305,32
"Lafayette Parish, Louisiana",0500000US22055,19807,15029,14421,20536,13103,7870,7111
"Lafourche Parish, Louisiana",0500000US22057,9042,5623,4469,9439,5904,1713,1921
"Lincoln Parish, Louisiana",0500000US22061,5243,4784,2371,2077,2160,938,642
"Livingston Parish, Louisiana",0500000US22063,5897,7572,7353,11881,10580,4788,3889
"Morehouse Parish, Louisiana",0500000US22067,2831,2811,1637,1225,678,411,218
"Natchitoches Parish, Louisiana",0500000US22069,3660,3160,2254,2642,2019,478,537
"Orleans Parish, Louisiana",0500000US22071,41569,28552,23229,26950,16547,9190,12790
"Ouachita Parish, Louisiana",0500000US22073,15916,10984,9911,12623,6367,3553,2240
"Plaquemines Parish, Louisiana",0500000US22075,1007,1054,940,2953,1533,939,199
"Pointe Coupee Parish, Louisiana",0500000US22077,1765,832,1647,1417,740,1301,312
"Rapides Parish, Louisiana",0500000US22079,9453,11890,8057,9210,5173,2089,2533
"Richland Parish, Louisiana",0500000US22083,1612,1972,848,1317,678,174,306
"Sabine Parish, Louisiana",0500000US22085,1864,1885,861,1561,793,426,202
"St. Bernard Parish, Louisiana",0500000US22087,3815,2612,2303,3607,1924,1026,512
"St. Charles Parish, Louisiana",0500000US22089,2173,3090,2043,4999,3142,1674,1287
"St. James Parish, Louisiana",0500000US22093,804,1116,1621,1637,1746,470,423
"St. John the Baptist Parish, Louisiana",0500000US22095,2329,2392,2641,4302,1528,1429,577
"St. Landry Parish, Louisiana",0500000US22097,9698,6821,5127,5359,3465,636,1107
"St. Martin Parish, Louisiana",0500000US22099,5196,3351,3220,3735,3257,1238,148
"St. Mary Parish, Louisiana",0500000US22101,3699,4399,3670,2926,2010,387,462
