Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Yavapai County, Arizona",0500000US04025,44255,1978,60018,3924
"Yuma County, Arizona",0500000US04027,40008,2339,54402,2722
"Benton County, Arkansas",0500000US05007,56981,3951,76678,3823
"Craighead County, Arkansas",0500000US05031,42691,3605,60106,5712
"Faulkner County, Arkansas",0500000US05045,51650,4292,65696,5580
"Garland County, Arkansas",0500000US05051,41032,3008,57529,5498
"Jefferson County, Arkansas",0500000US05069,32433,5327,49725,4060
"Lonoke County, Arkansas",0500000US05085,54545,4640,62593,3550
"Pulaski County, Arkansas",0500000US05119,44860,2787,64872,2978
"Saline County, Arkansas",0500000US05125,53926,4798,66706,4019
"Sebastian County, Arkansas",0500000US05131,38418,3082,60830,5493
"Washington County, Arkansas",0500000US05143,45034,2987,69341,6613
"White County, Arkansas",0500000US05145,39340,6333,63667,13509
"Alameda County, California",0500000US06001,77214,1363,102161,1841
"Butte County, California",0500000US06007,42365,2303,64663,4465
"Contra Costa County, California",0500000US06013,80361,1989,112627,2962
"El Dorado County, California",0500000US06017,71113,5901,95678,6210
"Fresno County, California",0500000US06019,43423,2016,62536,1729
"Humboldt County, California",0500000US06023,40598,3137,53979,3300
"Imperial County, California",0500000US06025,39290,5526,58528,4171
"Kern County, California",0500000US06029,47644,2483,65772,1943
"Kings County, California",0500000US06031,42784,4703,60030,5404
"Lake County, California",0500000US06033,34529,4804,46976,4091
"Los Angeles County, California",0500000US06037,55746,585,83104,817
"Madera County, California",0500000US06039,42433,3906,58507,4220
"Marin County, California",0500000US06041,95749,8275,147223,7846
"Mendocino County, California",0500000US06045,42660,3536,62362,6830
"Merced County, California",0500000US06047,44084,3060,59701,3033
"Monterey County, California",0500000US06053,57864,2369,83375,3192
"Napa County, California",0500000US06055,74123,5828,101798,6338
"Nevada County, California",0500000US06057,56917,6308,77644,6340
"Orange County, California",0500000US06059,76306,1371,104121,1617
"Placer County, California",0500000US06061,75390,2716,97051,2904
"Riverside County, California",0500000US06065,57006,949,73444,1268
"Sacramento County, California",0500000US06067,55842,1118,76005,2132
"San Bernardino County, California",0500000US06071,52041,919,68369,1284
"San Diego County, California",0500000US06073,66192,1085,89137,1431
"San Francisco County, California",0500000US06075,85070,3216,119215,3727
"San Joaquin County, California",0500000US06077,51659,1352,70979,2168
"San Luis Obispo County, California",0500000US06079,63474,4084,83940,5112
"San Mateo County, California",0500000US06081,101051,1495,141748,3826
"Santa Barbara County, California",0500000US06083,63833,3988,88181,4184
"Santa Clara County, California",0500000US06085,97532,2089,129828,1921
"Santa Cruz County, California",0500000US06087,65368,5854,93276,4343
"Shasta County, California",0500000US06089,43706,2646,59773,2594
"Solano County, California",0500000US06095,67999,3930,83626,2830
"Sonoma County, California",0500000US06097,67771,3392,91481,4822
"Stanislaus County, California",0500000US06099,51084,1346,65663,2577
"Sutter County, California",0500000US06101,54433,4538,71040,4768
"Tulare County, California",0500000US06107,42611,2208,58417,2382
"Ventura County, California",0500000US06111,75449,2069,98741,2506
"Yolo County, California",0500000US06113,53765,3809,79279,4225
"Yuba County, California",0500000US06115,42143,6512,54686,6254
"Adams County, Colorado",0500000US08001,59659,2189,72936,2371
"Arapahoe County, Colorado",0500000US08005,65327,1919,90457,3147
"Boulder County, Colorado",0500000US08013,71540,3599,95996,3542
"Denver County, Colorado",0500000US08031,54941,1939,81880,3291
"Douglas County, Colorado",0500000US08035,103226,5337,125904,4422
"El Paso County, Colorado",0500000US08041,59446,2297,76805,2171
"Jefferson County, Colorado",0500000US08059,70714,1353,90751,2351
"Larimer County, Colorado",0500000US08069,56575,2946,76841,3582
"Mesa County, Colorado",0500000US08077,50174,4284,63273,5613
"Pueblo County, Colorado",0500000US08101,41047,2628,54852,2648
"Weld County, Colorado",0500000US08123,62083,3119,77486,2686
"Fairfield County, Connecticut",0500000US09001,85925,2989,142190,3764
"Hartford County, Connecticut",0500000US09003,65894,1553,90590,2329
"Litchfield County, Connecticut",0500000US09005,73756,2740,91128,3571
"Middlesex County, Connecticut",0500000US09007,75876,5307,96116,4745
"New Haven County, Connecticut",0500000US09009,60391,1619,82661,2562
"New London County, Connecticut",0500000US09011,66148,2453,84800,3090
"Tolland County, Connecticut",0500000US09013,78786,3407,97243,6141
"Windham County, Connecticut",0500000US09015,59195,5865,68361,3189
"Kent County, Delaware",0500000US10001,55227,3222,68479,3186
"New Castle County, Delaware",0500000US10003,64801,2702,84293,2718
"Sussex County, Delaware",0500000US10005,55011,3560,73144,3536
"District of Columbia, District of Columbia",0500000US11001,71648,1996,103525,2816
"Alachua County, Florida",0500000US12001,45228,3823,64337,3460
"Bay County, Florida",0500000US12005,44775,3732,63580,3878
"Brevard County, Florida",0500000US12009,47907,1770,64550,2443
"Broward County, Florida",0500000US12011,51608,1046,72409,1501
"Charlotte County, Florida",0500000US12015,43039,2406,57316,3182
"Citrus County, Florida",0500000US12017,35671,2376,51701,5965
"Clay County, Florida",0500000US12019,58153,4131,72089,3979
"Collier County, Florida",0500000US12021,58026,2918,95772,5410
"Columbia County, Florida",0500000US12023,38520,3616,54686,7870
"Duval County, Florida",0500000US12031,45779,1395,63979,1884
"Escambia County, Florida",0500000US12033,46655,2021,60665,2856
"Flagler County, Florida",0500000US12035,51622,1681,60634,3693
"Hernando County, Florida",0500000US12053,40255,2661,51576,3358
"Highlands County, Florida",0500000US12055,36120,2619,48774,5040
"Hillsborough County, Florida",0500000US12057,50796,896,71327,1728
"Indian River County, Florida",0500000US12061,46238,4403,73194,6130
