Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"St. Louis County, Missouri",0500000US29189,54830,1914,82082,2574
"St. Louis city, Missouri",0500000US29510,32570,1622,47348,2232
"Cascade County, Montana",0500000US30013,42623,3127,54136,3696
"Flathead County, Montana",0500000US30029,44207,3569,56156,5154
"Gallatin County, Montana",0500000US30031,50302,5187,66891,5362
"Missoula County, Montana",0500000US30063,41931,3525,56803,3438
"Yellowstone County, Montana",0500000US30111,46975,2789,62252,4460
"Douglas County, Nebraska",0500000US31055,51694,1275,72098,3734
"Lancaster County, Nebraska",0500000US31109,48642,1899,65587,2412
"Sarpy County, Nebraska",0500000US31153,64043,4000,76283,3480
"Clark County, Nevada",0500000US32003,48215,1321,65149,1604
"Washoe County, Nevada",0500000US32031,50733,1753,69823,4533
"Cheshire County, New Hampshire",0500000US33005,54049,4115,68888,5266
"Grafton County, New Hampshire",0500000US33009,50811,3908,73886,6763
"Hillsborough County, New Hampshire",0500000US33011,66609,2539,83822,2749
"Merrimack County, New Hampshire",0500000US33013,66221,3793,77334,3391
"Rockingham County, New Hampshire",0500000US33015,75982,3529,94080,3920
"Strafford County, New Hampshire",0500000US33017,55180,4323,76555,9647
"Atlantic County, New Jersey",0500000US34001,50829,3788,66789,2771
"Bergen County, New Jersey",0500000US34003,79272,2483,111602,3734
"Burlington County, New Jersey",0500000US34005,72896,2562,92469,2868
"Camden County, New Jersey",0500000US34007,57784,2701,75027,1979
"Cape May County, New Jersey",0500000US34009,53256,2915,70600,5077
"Cumberland County, New Jersey",0500000US34011,51548,3081,64674,4584
"Essex County, New Jersey",0500000US34013,51009,1421,82798,2975
"Gloucester County, New Jersey",0500000US34015,71850,4748,87579,3625
"Hudson County, New Jersey",0500000US34017,56546,2810,77775,2795
"Hunterdon County, New Jersey",0500000US34019,99099,6125,120755,7604
"Mercer County, New Jersey",0500000US34021,73890,3953,99943,4408
"Middlesex County, New Jersey",0500000US34023,74522,2914,92460,2427
"Monmouth County, New Jersey",0500000US34025,79334,3401,107386,4098
"Morris County, New Jersey",0500000US34027,91332,2020,119846,3700
"Ocean County, New Jersey",0500000US34029,56929,1933,73349,2085
"Passaic County, New Jersey",0500000US34031,52382,2781,72604,3105
"Salem County, New Jersey",0500000US34033,53926,3118,67523,4053
"Somerset County, New Jersey",0500000US34035,96360,3965,127131,4873
"Sussex County, New Jersey",0500000US34037,83839,3984,98380,4656
"Union County, New Jersey",0500000US34039,66398,3593,93038,2919
"Warren County, New Jersey",0500000US34041,66594,5232,82250,3790
"Bernalillo County, New Mexico",0500000US35001,43916,2084,62146,2131
"Chaves County, New Mexico",0500000US35005,36282,2643,51710,6509
"Do?a Ana County, New Mexico",0500000US35013,36101,1738,52595,3274
"Lea County, New Mexico",0500000US35025,50758,7783,60773,5046
"McKinley County, New Mexico",0500000US35031,28983,4203,41186,3320
"Otero County, New Mexico",0500000US35035,35308,2196,49484,5074
"Sandoval County, New Mexico",0500000US35043,53214,4925,68082,3778
"San Juan County, New Mexico",0500000US35045,51728,6832,63534,4512
"Santa Fe County, New Mexico",0500000US35049,49959,4121,74334,4826
"Valencia County, New Mexico",0500000US35061,42802,3946,52781,3461
"Albany County, New York",0500000US36001,57062,2365,72305,2275
"Bronx County, New York",0500000US36005,32058,966,46516,1025
"Broome County, New York",0500000US36007,44158,2471,57247,2441
"Cattaraugus County, New York",0500000US36009,38932,2454,51218,2743
"Cayuga County, New York",0500000US36011,49256,3239,60414,3215
"Chautauqua County, New York",0500000US36013,40927,1303,49277,1938
"Chemung County, New York",0500000US36015,50120,3455,66096,6265
"Clinton County, New York",0500000US36019,50872,3799,60093,3916
"Dutchess County, New York",0500000US36027,67727,3480,84881,3673
"Erie County, New York",0500000US36029,47533,997,63174,1743
"Jefferson County, New York",0500000US36045,45500,2884,53469,3000
"Kings County, New York",0500000US36047,42752,1170,63031,1143
"Livingston County, New York",0500000US36051,50513,3224,57190,2689
"Madison County, New York",0500000US36053,50173,3749,63408,3770
"Monroe County, New York",0500000US36055,50204,1477,66982,2171
"Nassau County, New York",0500000US36059,91414,1425,119725,2697
"New York County, New York",0500000US36061,66299,1783,125021,3812
"Niagara County, New York",0500000US36063,45398,2137,58402,3016
"Oneida County, New York",0500000US36065,46736,2558,61259,2610
"Onondaga County, New York",0500000US36067,53946,2134,67651,1667
"Ontario County, New York",0500000US36069,52162,2268,69535,3448
"Orange County, New York",0500000US36071,66224,2455,84167,3796
"Oswego County, New York",0500000US36075,43372,3503,55604,3059
"Putnam County, New York",0500000US36079,90735,11715,110995,6766
"Queens County, New York",0500000US36081,53572,1229,69941,1168
"Rensselaer County, New York",0500000US36083,58943,3870,70415,3231
"Richmond County, New York",0500000US36085,70578,2788,86181,3139
"Rockland County, New York",0500000US36087,82217,3449,104111,3979
"St. Lawrence County, New York",0500000US36089,43578,2803,54121,3078
"Saratoga County, New York",0500000US36091,64250,2816,81006,3618
"Schenectady County, New York",0500000US36093,52505,3131,66635,3143
"Steuben County, New York",0500000US36101,43457,2879,55239,2644
"Suffolk County, New York",0500000US36103,84106,2071,102914,1982
"Sullivan County, New York",0500000US36105,47978,4998,63142,6685
"Tompkins County, New York",0500000US36109,51586,5073,70121,8096
"Ulster County, New York",0500000US36111,55006,3376,71743,3187
"Warren County, New York",0500000US36113,53110,4495,65126,4908
"Wayne County, New York",0500000US36117,52597,3896,65186,7840
"Westchester County, New York",0500000US36119,77006,2592,124123,4002
"Alamance County, North Carolina",0500000US37001,40699,2603,53909,3601
"Brunswick County, North Carolina",0500000US37019,38584,4811,55601,7194
"Buncombe County, North Carolina",0500000US37021,41422,1907,57199,3198
"Burke County, North Carolina",0500000US37023,36706,3510,45458,2792
"Cabarrus County, North Carolina",0500000US37025,48668,3416,58552,3441
"Caldwell County, North Carolina",0500000US37027,33198,2592,44216,4629
"Carteret County, North Carolina",0500000US37031,44429,5166,62115,6012
"Catawba County, North Carolina",0500000US37035,44369,2362,61123,3785
"Cleveland County, North Carolina",0500000US37045,35753,4003,48579,4124
"Craven County, North Carolina",0500000US37049,51298,5765,60336,3964
"Cumberland County, North Carolina",0500000US37051,43577,2568,55522,2123
"Davidson County, North Carolina",0500000US37057,40281,3667,54735,4138
"Durham County, North Carolina",0500000US37063,46231,2611,64500,3370
"Forsyth County, North Carolina",0500000US37067,42911,2361,62204,2051
"Gaston County, North Carolina",0500000US37071,40674,1318,55211,2895
"Guilford County, North Carolina",0500000US37081,43419,2588,61352,2646
"Harnett County, North Carolina",0500000US37085,39513,2902,51969,3385
"Henderson County, North Carolina",0500000US37089,46789,3243,66422,6639
"Iredell County, North Carolina",0500000US37097,50241,3057,72925,8646
"Johnston County, North Carolina",0500000US37101,46915,3826,61066,5357
"Lincoln County, North Carolina",0500000US37109,52147,6753,71538,8187
"Mecklenburg County, North Carolina",0500000US37119,51935,1164,78699,2741
"Moore County, North Carolina",0500000US37125,45158,5887,66453,12819
"Nash County, North Carolina",0500000US37127,44261,4658,53624,2597
"New Hanover County, North Carolina",0500000US37129,45719,3479,68696,5749
"Onslow County, North Carolina",0500000US37133,45573,4277,51630,3236
"Orange County, North Carolina",0500000US37135,56482,5581,86528,6427
"Pitt County, North Carolina",0500000US37147,39047,4145,57595,5754
"Randolph County, North Carolina",0500000US37151,40301,3218,51252,2496
"Robeson County, North Carolina",0500000US37155,30806,2755,42906,2497
"Rockingham County, North Carolina",0500000US37157,35816,2430,46217,2926
"Rowan County, North Carolina",0500000US37159,40008,2181,51571,3094
"Rutherford County, North Carolina",0500000US37161,35786,5406,47250,3731
"Surry County, North Carolina",0500000US37171,32310,4113,42913,3931
"Union County, North Carolina",0500000US37179,61048,3015,75546,4738
"Wilson County, North Carolina",0500000US37195,36508,2476,49065,4058
"Wake County, North Carolina",0500000US37183,62141,1887,81830,2059
"Wayne County, North Carolina",0500000US37191,39085,4038,48766,2928
