Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Hickory-Lenoir-Morganton, NC Metro Area",310M200US25860,41106,2284,53719,2390
"Hobbs, NM Micro Area",310M200US26020,61351,3591,72347,6156
"Holland, MI Micro Area",310M200US26090,53796,4285,65808,4206
"Homosassa Springs, FL Metro Area",310M200US26140,35671,2376,51701,5965
"Hot Springs, AR Metro Area",310M200US26300,41032,3008,57529,5498
"Houma-Thibodaux, LA Metro Area",310M200US26380,45104,4292,61796,3024
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M200US26420,60072,664,86296,1112
"Huntington-Ashland, WV-KY-OH Metro Area",310M200US26580,40830,1394,53940,1758
"Huntsville, AL Metro Area",310M200US26620,56453,2767,77477,3372
"Huntsville, TX Micro Area",310M200US26660,38688,3542,50850,3818
"Hutchinson, KS Micro Area",310M200US26740,47359,4269,58843,5325
"Idaho Falls, ID Metro Area",310M200US26820,50208,3085,70371,6740
"Indiana, PA Micro Area",310M200US26860,42431,3282,56705,4313
"Indianapolis-Carmel-Anderson, IN Metro Area",310M200US26900,52268,731,71103,1152
"Iowa City, IA Metro Area",310M200US26980,59791,4469,85522,7398
"Ithaca, NY Metro Area",310M200US27060,52885,6027,74339,5920
"Jackson, MI Metro Area",310M200US27100,45371,4125,59811,3315
"Jackson, MS Metro Area",310M200US27140,46967,1897,67303,2527
"Jackson, TN Metro Area",310M200US27180,40338,3587,53911,3284
"Jacksonville, FL Metro Area",310M200US27260,51117,1129,70042,1362
"Jacksonville, NC Metro Area",310M200US27340,47581,3471,59652,6387
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M200US27460,41808,1825,53100,2364
"Janesville-Beloit, WI Metro Area",310M200US27500,50610,3132,65389,4890
"Jefferson City, MO Metro Area",310M200US27620,51329,2324,63109,5112
"Johnson City, TN Metro Area",310M200US27740,38813,3177,54505,4029
"Johnstown, PA Metro Area",310M200US27780,43224,2148,58493,2925
"Jonesboro, AR Metro Area",310M200US27860,40751,2661,56550,4683
"Joplin, MO Metro Area",310M200US27900,42705,3299,57331,3066
"Kahului-Wailuku-Lahaina, HI Metro Area",310M200US27980,66987,3620,85391,4896
"Aberdeen, WA Micro Area",310M200US10140,43356,2589,55748,4341
"Abilene, TX Metro Area",310M200US10180,44303,2767,61532,3219
"Adrian, MI Micro Area",310M200US10300,46739,3911,60711,3830
"Aguadilla-Isabela, PR Metro Area",310M200US10380,15886,939,23613,1475
"Akron, OH Metro Area",310M200US10420,50538,1279,67821,1778
"Alamogordo, NM Micro Area",310M200US10460,42603,2671,49371,3713
"Albany, GA Metro Area",310M200US10500,39071,2542,51306,2710
"Albany, OR Metro Area",310M200US10540,43428,4024,55665,3260
"Albany-Schenectady-Troy, NY Metro Area",310M200US10580,62265,1494,79446,1978
"Albertville, AL Micro Area",310M200US10700,33446,3712,51343,3984
"Albuquerque, NM Metro Area",310M200US10740,47581,1279,65138,1673
"Alexandria, LA Metro Area",310M200US10780,40209,3073,55290,4160
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M200US10900,60320,968,77183,1967
"Altoona, PA Metro Area",310M200US11020,44019,4070,57033,3702
"Amarillo, TX Metro Area",310M200US11100,51280,2184,70037,3671
"Ames, IA Metro Area",310M200US11180,46091,5589,64148,3589
"Anchorage, AK Metro Area",310M200US11260,75682,2922,94657,3412
"Ann Arbor, MI Metro Area",310M200US11460,62845,2167,87399,3113
"Anniston-Oxford-Jacksonville, AL Metro Area",310M200US11500,41428,2300,52858,2993
"Appleton, WI Metro Area",310M200US11540,60106,2400,73343,2606
"Arecibo, PR Metro Area",310M200US11640,16244,1012,23261,1808
"Asheville, NC Metro Area",310M200US11700,46917,1688,61044,1781
"Ashtabula, OH Micro Area",310M200US11780,39079,2530,50012,2459
"Athens, TX Micro Area",310M200US11980,41112,2211,56246,4523
"Athens-Clarke County, GA Metro Area",310M200US12020,41761,2538,57531,3048
"Atlanta-Sandy Springs-Roswell, GA Metro Area",310M200US12060,56166,741,79085,912
"Atlantic City-Hammonton, NJ Metro Area",310M200US12100,55313,3112,72116,2820
"Auburn, NY Micro Area",310M200US12180,53780,2675,63102,3218
"Auburn-Opelika, AL Metro Area",310M200US12220,39932,3096,63553,5715
"Augusta-Richmond County, GA-SC Metro Area",310M200US12260,46689,1962,61743,1842
"Augusta-Waterville, ME Micro Area",310M200US12300,44633,4575,58166,3253
"Austin-Round Rock, TX Metro Area",310M200US12420,63603,1891,85806,1559
"Bakersfield, CA Metro Area",310M200US12540,47644,2483,65772,1943
"Baltimore-Columbia-Towson, MD Metro Area",310M200US12580,71501,1015,92935,1220
"Bangor, ME Metro Area",310M200US12620,42242,2830,55570,2768
"Barnstable Town, MA Metro Area",310M200US12700,65384,3611,88287,4840
"Baton Rouge, LA Metro Area",310M200US12940,52091,1775,69747,1914
"Battle Creek, MI Metro Area",310M200US12980,46088,2381,57708,2595
"Blacksburg-Christiansburg-Radford, VA Metro Area",310M200US13980,43709,3109,57499,3725
"Bay City, MI Metro Area",310M200US13020,46844,3219,63340,4359
"Beaumont-Port Arthur, TX Metro Area",310M200US13140,42494,1882,60289,2904
"Beaver Dam, WI Micro Area",310M200US13180,53139,3928,64228,3435
"Beckley, WV Metro Area",310M200US13220,39498,2409,54495,4354
"Bellingham, WA Metro Area",310M200US13380,53665,2845,66744,3783
"Bend-Redmond, OR Metro Area",310M200US13460,52006,3650,71797,5033
"Billings, MT Metro Area",310M200US13740,51111,2276,72605,3993
"Binghamton, NY Metro Area",310M200US13780,48188,2923,62800,2845
"Birmingham-Hoover, AL Metro Area",310M200US13820,47046,1153,65478,1679
"Bismarck, ND Metro Area",310M200US13900,63356,3881,83092,5979
"Bloomington, IL Metro Area",310M200US14010,57592,3905,74022,2647
