Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Alabama,0400000US01,53913,781,75923,916
Puerto Rico,0400000US72,22237,478,35452,848
Arizona,0400000US04,69056,686,93177,977
Arkansas,0400000US05,52528,1002,73126,1100
California,0400000US06,84907,542,120953,696
Colorado,0400000US08,82254,791,110650,1205
Connecticut,0400000US09,83771,1112,120009,1706
Delaware,0400000US10,71091,1795,95633,2883
District of Columbia,0400000US11,90088,3477,138856,4601
Florida,0400000US12,63062,425,89573,740
Georgia,0400000US13,66559,712,92425,1146
Hawaii,0400000US15,84857,2106,111751,2434
Idaho,0400000US16,66474,1752,89955,2524
Illinois,0400000US17,72205,574,99874,931
Indiana,0400000US18,62743,716,82643,945
Iowa,0400000US19,65600,777,86499,1319
Kansas,0400000US20,64124,951,86580,1303
Kentucky,0400000US21,55573,701,76234,1000
Louisiana,0400000US22,52087,750,75590,1223
Maine,0400000US23,64767,1258,87756,2023
Maryland,0400000US24,90203,1065,119958,1381
Massachusetts,0400000US25,89645,1287,124789,1274
Michigan,0400000US26,63498,526,86093,622
Minnesota,0400000US27,77720,915,103305,866
Mississippi,0400000US28,48716,1242,68048,1312
Missouri,0400000US29,61847,669,84920,870
Montana,0400000US30,63249,1423,87083,2831
Nebraska,0400000US31,66817,1060,89209,1586
Nevada,0400000US32,66274,1011,89961,1685
New Hampshire,0400000US33,88465,2144,111908,2347
New Jersey,0400000US34,89296,1088,124951,1091
New Mexico,0400000US35,53992,1483,76989,1799
New York,0400000US36,74314,613,109732,901
North Carolina,0400000US37,61972,541,86804,791
North Dakota,0400000US38,66519,1823,86666,2661
Ohio,0400000US39,62262,456,84572,628
Oklahoma,0400000US40,55826,624,75430,847
Oregon,0400000US41,71562,1058,95662,1348
Pennsylvania,0400000US42,68957,505,93835,525
Rhode Island,0400000US44,74008,2381,99144,2781
South Carolina,0400000US45,59318,852,81580,1150
South Dakota,0400000US46,66143,2258,86194,2766
Tennessee,0400000US47,59695,788,83777,1150
Texas,0400000US48,66963,513,93668,579
Utah,0400000US49,79449,1246,105076,1688
Vermont,0400000US50,72431,2216,94496,2629
Virginia,0400000US51,80963,731,111287,810
Washington,0400000US53,84247,844,116349,1220
West Virginia,0400000US54,51248,1085,72294,1613
Wisconsin,0400000US55,67125,605,88304,834
Wyoming,0400000US56,65204,2744,86911,4017
Alaska,0400000US02,77845,2148,100519,2550
