Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"St. Charles city, Missouri",1600000US2964082,57809,5933,74064,4671
"East Orange city, New Jersey",1600000US3419390,36523,2562,49449,4667
"Kent city, Washington",1600000US5335415,62302,4395,75550,4924
"Auburn city, Washington",1600000US5303180,61579,8933,72851,4764
"Marysville city, Washington",1600000US5343955,60629,5845,70313,4224
"Atascocita CDP, Texas",1600000US4804462,87449,9496,107819,10402
"Lubbock city, Texas",1600000US4845000,44167,2319,61606,3227
"Allen city, Texas",1600000US4801924,102466,7559,129820,12084
"Sugar Land city, Texas",1600000US4870808,115069,21126,146251,13015
"Bellingham city, Washington",1600000US5305280,41879,6128,61397,5937
"Vancouver city, Washington",1600000US5374060,51478,2034,66443,2603
"Beaverton city, Oregon",1600000US4105350,58546,5305,70512,3613
"Bethlehem city, Pennsylvania",1600000US4206088,50091,5168,62757,3936
"Yakima city, Washington",1600000US5380010,42091,2884,57083,7209
"Dale City CDP, Virginia",1600000US5121088,74219,6315,93178,6943
"Norfolk city, Virginia",1600000US5157000,43186,2340,58893,2334
"Hampton city, Virginia",1600000US5135000,47312,3293,59319,2844
"Arlington CDP, Virginia",1600000US5103000,109266,4862,134194,5901
"Kirkland city, Washington",1600000US5335940,94332,9081,116606,7687
"Waukesha city, Wisconsin",1600000US5584250,57179,5496,69554,5128
"Appleton city, Wisconsin",1600000US5502375,54044,5803,69677,5295
"Pittsburgh city, Pennsylvania",1600000US4261000,41074,1987,60722,2491
"Las Vegas city, Nevada",1600000US3240000,50291,1679,66008,1926
"Sparks city, Nevada",1600000US3268400,55607,4684,67573,4922
"Paradise CDP, Nevada",1600000US3254600,44740,3350,57375,2448
"Sunrise Manor CDP, Nevada",1600000US3271400,36920,2053,48447,2466
"Reno city, Nevada",1600000US3260600,45663,2589,61382,2544
"Albuquerque city, New Mexico",1600000US3502000,46433,1508,64718,2070
"Conroe city, Texas",1600000US4816432,47309,5914,69684,7062
"Tacoma city, Washington",1600000US5370000,51953,2197,66916,3434
"Kennewick city, Washington",1600000US5335275,50065,7940,65127,6178
"Centreville CDP, Virginia",1600000US5114440,102331,9293,124323,6866
"Alexandria city, Virginia",1600000US5101000,86809,5554,114098,4213
"Garland city, Texas",1600000US4829000,53675,2885,63559,2764
"Richardson city, Texas",1600000US4861796,71999,5331,95921,6225
"Harlingen city, Texas",1600000US4832372,33584,8167,48391,4283
"Bryan city, Texas",1600000US4810912,43181,6324,59766,9073
"Temple city, Texas",1600000US4872176,45691,4675,66313,7310
"Reading city, Pennsylvania",1600000US4263624,27646,2331,37164,2620
"Philadelphia city, Pennsylvania",1600000US4260000,39043,1237,57306,1466
"North Las Vegas city, Nevada",1600000US3251800,51992,2447,62626,3231
"Enterprise CDP, Nevada",1600000US3223770,64134,4861,82540,5691
"Canton city, Ohio",1600000US3912000,29497,2364,38995,3220
"Baytown city, Texas",1600000US4806128,48742,5962,63900,6637
"Pasadena city, Texas",1600000US4856000,48894,5018,65924,5165
"Pearland city, Texas",1600000US4856348,101211,7347,120512,11770
"Salt Lake City city, Utah",1600000US4967000,46711,2014,72147,3616
"Millcreek CDP, Utah",1600000US4950150,55147,4276,74912,6704
"Odessa city, Texas",1600000US4853388,63424,8970,84975,8455
"Arlington city, Texas",1600000US4804000,52141,1693,68367,2475
"Portsmouth city, Virginia",1600000US5164000,44905,6208,55673,3766
"Edmond city, Oklahoma",1600000US4023200,71982,8748,110087,8898
"Bend city, Oregon",1600000US4105800,56419,7937,80194,9198
"Cranston city, Rhode Island",1600000US4419180,51520,3301,72085,6239
"Warwick city, Rhode Island",1600000US4474300,64455,5780,79672,4817
"Knoxville city, Tennessee",1600000US4740000,31048,2185,50758,3822
"Murfreesboro city, Tennessee",1600000US4751560,49455,4158,66260,4869
"Clarksville city, Tennessee",1600000US4715160,48347,4336,57672,5310
"Chattanooga city, Tennessee",1600000US4714000,41456,1902,58860,4003
"Columbia city, Missouri",1600000US2915670,46624,4623,62157,5742
"St. Louis city, Missouri",1600000US2965000,35959,1796,49518,1616
"Toms River CDP, New Jersey",1600000US3473110,72236,3335,91306,7598
"High Point city, North Carolina",1600000US3731400,41524,2740,61321,5022
"Newport News city, Virginia",1600000US5156000,49602,3648,60807,2200
"McKinney city, Texas",1600000US4845744,79346,4606,99715,5745
"Edinburg city, Texas",1600000US4822660,42015,8767,59739,8565
"San Angelo city, Texas",1600000US4864472,41495,3937,72468,18110
"Lawton city, Oklahoma",1600000US4041850,41648,5024,56357,4781
"Portland city, Oregon",1600000US4159000,54624,2018,77277,2174
"Franklin city, Tennessee",1600000US4727740,80536,6917,110930,16457
"Springfield city, Missouri",1600000US2970000,32030,1473,44734,2005
"Santa Fe city, New Mexico",1600000US3570500,49380,4188,70642,5257
"Albany city, New York",1600000US3601000,44268,3319,61159,4951
"New York city, New York",1600000US3651000,52996,856,85356,1037
"Greenville city, North Carolina",1600000US3728080,35396,5462,53695,7133
"Cincinnati city, Ohio",1600000US3915000,32688,1684,53354,2842
"Corpus Christi city, Texas",1600000US4817000,52066,2110,70315,3704
"Lynchburg city, Virginia",1600000US5147672,40594,3382,53639,4571
"New Braunfels city, Texas",1600000US4850820,62628,7649,76963,5001
"Rock Hill city, South Carolina",1600000US4561405,38746,4287,54609,5314
"North Charleston city, South Carolina",1600000US4550875,38472,2810,50684,4119
"Lee's Summit city, Missouri",1600000US2941348,78187,5140,89405,4872
"Lincoln city, Nebraska",1600000US3128000,50241,1719,66150,2281
"Omaha city, Nebraska",1600000US3137000,48410,2034,65198,1893
"Rochester city, New York",1600000US3663000,29527,2044,44303,3231
"Syracuse city, New York",1600000US3673000,31270,2751,45341,2262
"Schenectady city, New York",1600000US3665508,42555,4856,51745,3854
"Raleigh city, North Carolina",1600000US3755000,53475,2686,79401,4296
"Concord city, North Carolina",1600000US3714100,51916,2700,71505,5288
"Cleveland city, Ohio",1600000US3916000,24701,1055,38405,1538
"Victoria city, Texas",1600000US4875428,44367,4651,67632,7730
"Pasco city, Washington",1600000US5353545,54273,8356,67005,6303
"Renton city, Washington",1600000US5357745,67626,7897,86133,8912
