Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Redding, CA Metro Area",310M200US39820,40332,3172,54920,2694
"Reading, PA Metro Area",310M200US39740,56043,2243,71525,1965
"Reno, NV Metro Area",310M200US39900,53948,3054,72995,2659
"Richmond, IN Micro Area",310M200US39980,34745,3593,47227,3338
"Richmond, VA Metro Area",310M200US40060,57286,1294,75966,1551
"Richmond-Berea, KY Micro Area",310M200US40080,42366,3804,56272,3016
"Riverside-San Bernardino-Ontario, CA Metro Area",310M200US40140,53220,897,70282,730
"Roanoke, VA Metro Area",310M200US40220,47890,2240,64933,3184
"Roanoke Rapids, NC Micro Area",310M200US40260,31053,3714,40966,3191
"Rochester, MN Metro Area",310M200US40340,62645,2008,83308,2542
"Rochester, NY Metro Area",310M200US40380,51857,929,68486,1497
"Rockford, IL Metro Area",310M200US40420,48027,1946,63922,2942
"Rocky Mount, NC Metro Area",310M200US40580,36949,3402,51804,3574
"Rome, GA Metro Area",310M200US40660,37296,4441,49345,3377
"Roseburg, OR Micro Area",310M200US40700,40605,2587,53808,4961
"Roswell, NM Micro Area",310M200US40740,45753,4308,60102,5993
"Russellville, AR Micro Area",310M200US40780,37037,2436,48050,3315
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",310M200US40900,57027,974,76775,1255
"Saginaw, MI Metro Area",310M200US40980,41548,1906,56990,3269
"St. Cloud, MN Metro Area",310M200US41060,55513,2855,69156,2843
"St. George, UT Metro Area",310M200US41100,51063,3570,66145,4618
"St. Joseph, MO-KS Metro Area",310M200US41140,45024,2496,55805,2505
"St. Louis, MO-IL Metro Area",310M200US41180,54449,766,73426,1216
"Salem, OH Micro Area",310M200US41400,42100,3513,53026,3718
"Salem, OR Metro Area",310M200US41420,47232,2451,58848,2026
"Salinas, CA Metro Area",310M200US41500,57052,3890,78296,3534
"Salisbury, MD-DE Metro Area",310M200US41540,50009,2266,65421,2697
"Salt Lake City, UT Metro Area",310M200US41620,61520,855,80117,1544
"San Angelo, TX Metro Area",310M200US41660,46010,2628,62893,5403
"San Antonio-New Braunfels, TX Metro Area",310M200US41700,51716,830,68688,1042
"San Diego-Carlsbad, CA Metro Area",310M200US41740,61426,812,85967,1501
"San Francisco-Oakland-Hayward, CA Metro Area",310M200US41860,79624,1280,112911,1493
"Sandusky, OH Micro Area",310M200US41780,46073,2283,57501,3621
"San Germán, PR Metro Area",310M200US41900,17645,2038,25972,2218
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",310M200US41940,91533,1388,123386,1984
"San Juan-Carolina-Caguas, PR Metro Area",310M200US41980,21574,471,34056,987
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",310M200US42020,58158,2686,76395,3222
"Santa Cruz-Watsonville, CA Metro Area",310M200US42100,68438,5190,87206,3832
"Santa Fe, NM Metro Area",310M200US42140,51833,2619,71652,3495
"Santa Maria-Santa Barbara, CA Metro Area",310M200US42200,62421,3413,92050,4618
"Santa Rosa, CA Metro Area",310M200US42220,61029,1565,84692,3352
"Savannah, GA Metro Area",310M200US42340,48958,3093,66772,2764
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",310M200US42540,45333,1402,59403,1821
"Searcy, AR Micro Area",310M200US42620,43643,2988,56991,5397
"Seattle-Tacoma-Bellevue, WA Metro Area",310M200US42660,67479,899,89940,1182
"Sebastian-Vero Beach, FL Metro Area",310M200US42680,42401,3147,66564,4984
"Sebring, FL Metro Area",310M200US42700,33811,1919,48403,4838
"Seneca, SC Micro Area",310M200US42860,40565,2912,53457,3955
"Sevierville, TN Micro Area",310M200US42940,40715,3332,52307,3607
"Sioux City, IA-NE-SD Metro Area",310M200US43580,47270,3073,60445,3176
"Sioux Falls, SD Metro Area",310M200US43620,55952,2453,71949,3102
"Somerset, PA Micro Area",310M200US43740,43429,2945,55886,3498
"South Bend-Mishawaka, IN-MI Metro Area",310M200US43780,40784,993,56673,2512
"Spartanburg, SC Metro Area",310M200US43900,41062,1646,54484,2022
"Shawnee, OK Micro Area",310M200US43060,45012,2721,55012,3602
"Sheboygan, WI Metro Area",310M200US43100,50678,2740,61297,2814
"Shelby, NC Micro Area",310M200US43140,40581,2344,52771,4652
"Sherman-Denison, TX Metro Area",310M200US43300,44378,2905,60658,4253
"Show Low, AZ Micro Area",310M200US43320,38400,3836,48863,3499
"Shreveport-Bossier City, LA Metro Area",310M200US43340,41583,1358,60661,2248
"Sierra Vista-Douglas, AZ Metro Area",310M200US43420,46647,3806,62559,4024
"Spokane-Spokane Valley, WA Metro Area",310M200US44060,47485,1751,60832,1706
"Springfield, IL Metro Area",310M200US44100,55366,2419,72481,3447
"Springfield, MA Metro Area",310M200US44140,52397,1757,70360,2392
"Springfield, MO Metro Area",310M200US44180,41034,915,56737,1943
"Springfield, OH Metro Area",310M200US44220,43742,2930,59914,3503
"State College, PA Metro Area",310M200US44300,53207,4446,69025,3715
"Statesboro, GA Micro Area",310M200US44340,36153,2799,50557,6588
"Staunton-Waynesboro, VA Metro Area",310M200US44420,49767,3642,73025,8865
"Stevens Point, WI Micro Area",310M200US44620,49872,4552,60387,3667
"Stillwater, OK Micro Area",310M200US44660,36087,4324,54054,3826
"Stockton-Lodi, CA Metro Area",310M200US44700,51432,1301,66389,1891
"Sumter, SC Metro Area",310M200US44940,39780,2773,52558,3855
"Sunbury, PA Micro Area",310M200US44980,41011,2281,52241,2773
"Syracuse, NY Metro Area",310M200US45060,51496,1318,68595,1865
"Talladega-Sylacauga, AL Micro Area",310M200US45180,37810,4043,51856,4667
"Tallahassee, FL Metro Area",310M200US45220,44420,2371,61497,2175
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M200US45300,45880,669,64234,901
"Terre Haute, IN Metro Area",310M200US45460,40629,3247,51455,2457
"Texarkana, TX-AR Metro Area",310M200US45500,40382,2504,59202,5359
"The Villages, FL Metro Area",310M200US45540,52891,3106,65569,6699
"Toledo, OH Metro Area",310M200US45780,42792,1837,59370,2065
"Topeka, KS Metro Area",310M200US45820,50369,1832,61897,2050
