Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Aberdeen, WA Micro Area",310M100US10140,40993,2618,49780,2534
"Abilene, TX Metro Area",310M100US10180,40659,3606,52221,3445
"Adrian, MI Micro Area",310M100US10300,44509,3216,53015,2239
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",310M100US10380,14951,814,21473,1180
"Akron, OH Metro Area",310M100US10420,47032,1203,62438,2040
"Alamogordo, NM Micro Area",310M100US10460,35308,2196,49484,5074
"Albany, GA Metro Area",310M100US10500,32775,2415,45215,2332
"Albany-Lebanon, OR Micro Area",310M100US10540,42565,3711,50011,2950
"Albany-Schenectady-Troy, NY Metro Area",310M100US10580,58617,1976,73004,1345
"Albertville, AL Micro Area",310M100US10700,39245,2844,56890,5795
"Albuquerque, NM Metro Area",310M100US10740,45027,1443,61912,1738
"Alexandria, LA Metro Area",310M100US10780,35692,2368,48177,3062
"Allegan, MI Micro Area",310M100US10880,50508,2500,61852,3608
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M100US10900,54169,1544,70738,1667
"Altoona, PA Metro Area",310M100US11020,43136,2173,53895,2739
"Amarillo, TX Metro Area",310M100US11100,47350,2373,62562,2647
"Ames, IA Metro Area",310M100US11180,45866,3438,59867,3577
"Anchorage, AK Metro Area",310M100US11260,71700,3089,89074,3241
"Anderson, IN Metro Area",310M100US11300,42129,3316,51405,2887
"Anderson, SC Metro Area",310M100US11340,40943,2376,53843,3113
"Ann Arbor, MI Metro Area",310M100US11460,56612,2100,79240,2792
"Anniston-Oxford, AL Metro Area",310M100US11500,39037,2926,49969,3519
"Appleton, WI Metro Area",310M100US11540,58172,2586,68492,3132
"Asheville, NC Metro Area",310M100US11700,41969,1339,58518,2321
"Ashtabula, OH Micro Area",310M100US11780,38204,3208,48287,2471
"Athens, TX Micro Area",310M100US11980,38278,3736,50294,4288
"Athens-Clarke County, GA Metro Area",310M100US12020,38663,2471,56237,3452
"Atlanta-Sandy Springs-Marietta, GA Metro Area",310M100US12060,52639,798,73024,1262
"Atlantic City-Hammonton, NJ Metro Area",310M100US12100,50829,3788,66789,2771
"Auburn, NY Micro Area",310M100US12180,49256,3239,60414,3215
"Auburn-Opelika, AL Metro Area",310M100US12220,42965,2428,55007,4143
"Augusta-Richmond County, GA-SC Metro Area",310M100US12260,45368,2197,58186,1904
"Augusta-Waterville, ME Micro Area",310M100US12300,44259,4584,56347,2956
"Austin-Round Rock-San Marcos, TX Metro Area",310M100US12420,56783,1758,78506,1689
"Bakersfield-Delano, CA Metro Area",310M100US12540,45224,1820,60436,1752
"Baltimore-Towson, MD Metro Area",310M100US12580,65463,1219,85822,1252
"Bangor, ME Metro Area",310M100US12620,40669,3093,52617,2355
"Barnstable Town, MA Metro Area",310M100US12700,56699,4023,73766,3665
"Baton Rouge, LA Metro Area",310M100US12940,48441,2393,63595,1807
"Battle Creek, MI Metro Area",310M100US12980,38666,2458,57167,5740
"Bay City, MI Metro Area",310M100US13020,43361,3425,54852,3175
"Beaumont-Port Arthur, TX Metro Area",310M100US13140,43176,1817,59084,2668
"Beaver Dam, WI Micro Area",310M100US13180,51948,2049,64121,3329
"Beckley, WV Micro Area",310M100US13220,38304,3791,54380,5464
"Bellingham, WA Metro Area",310M100US13380,51500,3130,63366,3055
"Bend, OR Metro Area",310M100US13460,46984,3985,63064,4577
"Billings, MT Metro Area",310M100US13740,46586,2670,61658,4169
"Binghamton, NY Metro Area",310M100US13780,46323,2247,58837,2225
"Birmingham-Hoover, AL Metro Area",310M100US13820,45635,1377,64308,1645
"Bismarck, ND Metro Area",310M100US13900,58781,3728,70973,4776
"Blacksburg-Christiansburg-Radford, VA Metro Area",310M100US13980,40947,3593,57150,3624
"Bloomington, IN Metro Area",310M100US14020,39330,3409,53488,3020
"Bloomington-Normal, IL Metro Area",310M100US14060,57799,3724,76178,4144
"Bloomsburg-Berwick, PA Micro Area",310M100US14100,40628,3054,55609,2879
"Bluefield, WV-VA Micro Area",310M100US14140,34032,2057,45095,3331
"Boise City-Nampa, ID Metro Area",310M100US14260,45065,2534,58074,2450
"Boston-Cambridge-Quincy, MA-NH Metro Area",310M100US14460,69455,1136,93612,1216
"Boulder, CO Metro Area",310M100US14500,68637,3798,91099,4037
"Bowling Green, KY Metro Area",310M100US14540,38783,3534,60750,8699
"Bozeman, MT Micro Area",310M100US14580,50302,5187,66891,5362
"Brainerd, MN Micro Area",310M100US14660,45199,2727,62129,4063
"Branson, MO Micro Area",310M100US14700,37299,2733,46860,4591
"Bremerton-Silverdale, WA Metro Area",310M100US14740,60314,1956,75463,3620
"Bridgeport-Stamford-Norwalk, CT Metro Area",310M100US14860,77289,2310,123679,3039
"Brownsville-Harlingen, TX Metro Area",310M100US15180,32070,1582,46339,2006
"Brunswick, GA Metro Area",310M100US15260,42753,4788,59489,5504
"Buffalo-Niagara Falls, NY Metro Area",310M100US15380,47081,970,62277,1615
"Burlington, NC Metro Area",310M100US15500,40699,2603,53909,3601
"Burlington-South Burlington, VT Metro Area",310M100US15540,60771,3056,78099,3766
"Canton-Massillon, OH Metro Area",310M100US15940,41770,1613,55297,1799
"Cape Coral-Fort Myers, FL Metro Area",310M100US15980,45266,1691,63697,2346
"Cape Girardeau-Jackson, MO-IL Metro Area",310M100US16020,39409,2412,52447,3322
"Carson City, NV Metro Area",310M100US16180,53707,5275,64761,6220
"Casper, WY Metro Area",310M100US16220,52603,6743,68470,4461
"Cedar Rapids, IA Metro Area",310M100US16300,54731,2216,69457,3037
"Centralia, WA Micro Area",310M100US16500,41931,2774,53816,3506
"Chambersburg, PA Micro Area",310M100US16540,49068,3446,59681,3267
