Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"St. Louis city, Missouri",1600000US2965000,31997,1137,49814,2168
"Toms River CDP, New Jersey",1600000US3473110,61929,3164,84261,4843
"High Point city, North Carolina",1600000US3731400,43535,3636,56348,2956
"Midland city, Texas",1600000US4848072,61602,5023,85990,7206
"Pharr city, Texas",1600000US4857200,29900,5671,40262,5794
"McAllen city, Texas",1600000US4845384,46072,3919,69050,8240
"Sugar Land city, Texas",1600000US4870808,113465,10678,140899,11418
"Tulsa city, Oklahoma",1600000US4075000,40440,993,62099,2224
"Philadelphia city, Pennsylvania",1600000US4260000,35386,951,53088,1048
"Cranston city, Rhode Island",1600000US4419180,58992,6612,77404,5675
"Edmond city, Oklahoma",1600000US4023200,70199,4573,102652,9028
"Santa Fe city, New Mexico",1600000US3570500,47348,6299,69314,5523
"Albany city, New York",1600000US3601000,42830,3609,54029,3475
"New York city, New York",1600000US3651000,50895,372,79037,902
"Cincinnati city, Ohio",1600000US3915000,30188,1947,49825,2476
"Laredo city, Texas",1600000US4841464,36970,2881,49753,2241
"Fort Worth city, Texas",1600000US4827000,50750,1365,65836,2061
"Renton city, Washington",1600000US5357745,56978,5433,72421,4444
"Federal Way city, Washington",1600000US5323515,49976,5312,70077,6837
"Bellevue city, Washington",1600000US5305210,91449,3885,119245,7982
"Killeen city, Texas",1600000US4839148,43074,3580,54588,3207
"San Antonio city, Texas",1600000US4865000,45524,1078,60818,1512
"Ogden city, Utah",1600000US4955980,39412,4215,49321,3407
"Salem city, Oregon",1600000US4164900,46479,2604,57773,3192
"Warwick city, Rhode Island",1600000US4474300,61453,3412,72271,4651
"Providence city, Rhode Island",1600000US4459000,33989,3295,53789,3699
"Pawtucket city, Rhode Island",1600000US4454640,43504,4839,56185,5210
"Knoxville city, Tennessee",1600000US4740000,32191,1070,47303,2433
"Franklin city, Tennessee",1600000US4727740,83365,8469,103404,9104
"Erie city, Pennsylvania",1600000US4224000,33271,3560,44136,2778
"Eau Claire city, Wisconsin",1600000US5522300,39376,5402,53510,3678
"Kansas City city, Missouri",1600000US2938000,41877,1114,60521,2268
"Missoula city, Montana",1600000US3050200,42134,3589,57219,5039
"Henderson city, Nevada",1600000US3231900,61404,2397,83282,4387
"Rochester city, New York",1600000US3663000,30769,1725,42521,2011
"Buffalo city, New York",1600000US3611000,30422,1992,45325,2274
"Greenville city, North Carolina",1600000US3728080,30566,3424,43715,2943
"Raleigh city, North Carolina",1600000US3755000,53653,2426,74113,2702
"North Richland Hills city, Texas",1600000US4852356,62139,7561,75134,4445
"Atascocita CDP, Texas",1600000US4804462,73668,10236,100479,16963
"Lubbock city, Texas",1600000US4845000,39911,2112,55560,2746
"Allen city, Texas",1600000US4801924,107064,11878,124703,10281
"Portsmouth city, Virginia",1600000US5164000,42487,4341,54717,3774
"West Valley City city, Utah",1600000US4983470,48518,3970,56246,3211
"Salt Lake City city, Utah",1600000US4967000,42827,3091,66665,4802
"Millcreek CDP, Utah",1600000US4950150,56345,7225,82150,6247
"Medford city, Oregon",1600000US4147000,43898,4145,58133,7555
"Mount Pleasant town, South Carolina",1600000US4548535,68356,8242,93984,7570
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,43399,2173,60811,2063
"Manchester city, New Hampshire",1600000US3345140,54644,4970,64231,3850
"Nashua city, New Hampshire",1600000US3350260,64359,6813,78217,4620
"Las Cruces city, New Mexico",1600000US3539380,40768,4077,51813,3694
"Rio Rancho city, New Mexico",1600000US3563460,60512,3364,71851,5287
"New Rochelle city, New York",1600000US3650617,66656,5776,95814,7474
"Cheektowaga CDP, New York",1600000US3615000,46222,2326,54860,2512
"Mount Vernon city, New York",1600000US3649121,45434,7106,60088,4546
"Greensboro city, North Carolina",1600000US3728000,39336,2138,57047,2807
"Odessa city, Texas",1600000US4853388,51948,5012,66836,3690
"Dale City CDP, Virginia",1600000US5121088,85492,9001,104227,7264
"Norfolk city, Virginia",1600000US5157000,42644,1964,60955,3287
"Hampton city, Virginia",1600000US5135000,47472,3984,62339,4287
"Arlington CDP, Virginia",1600000US5103000,100474,3694,127539,4772
"Arlington city, Texas",1600000US4804000,51285,1879,68303,3237
"McKinney city, Texas",1600000US4845744,79171,7845,95457,6182
"Vancouver city, Washington",1600000US5374060,45718,2711,60893,3237
