Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Comal County, Texas",0500000US48091,67363,6448,89050,5159
"Bastrop County, Texas",0500000US48021,63129,9381,89241,20916
"Arecibo Municipio, Puerto Rico",0500000US72013,16033,1379,22231,2070
"Somerset County, Pennsylvania",0500000US42111,43660,2945,56112,3536
"Greene County, Missouri",0500000US29077,43675,2262,57895,2454
"Jefferson County, Missouri",0500000US29099,58704,2940,69138,2405
"Sarpy County, Nebraska",0500000US31153,73518,3216,86242,2822
"Escambia County, Florida",0500000US12033,46001,1907,60272,2493
"Hernando County, Florida",0500000US12053,43590,2292,55491,3049
"Hillsborough County, Florida",0500000US12057,51725,917,71783,1522
"Okaloosa County, Florida",0500000US12091,55659,2040,70955,3507
"Dougherty County, Georgia",0500000US13095,35645,4204,49449,3797
"Henry County, Georgia",0500000US13151,65342,3581,74330,3206
"Houston County, Georgia",0500000US13153,55044,5517,69201,6045
"Walker County, Georgia",0500000US13295,44358,4759,56926,5617
"Gwinnett County, Georgia",0500000US13135,61732,1089,77921,1895
"Bartow County, Georgia",0500000US13015,50572,3941,64420,6676
"Douglas County, Georgia",0500000US13097,59329,3442,66795,3627
"Troup County, Georgia",0500000US13285,39067,6672,50654,4963
"Bibb County, Georgia",0500000US13021,38605,3220,56526,3986
"Liberty County, Georgia",0500000US13179,36573,3641,46715,3213
"Rockdale County, Georgia",0500000US13247,50761,3150,63396,4564
"Allegany County, Maryland",0500000US24001,38281,4078,49892,3236
"Anne Arundel County, Maryland",0500000US24003,91230,2067,112129,3256
"Calvert County, Maryland",0500000US24009,106247,10881,118981,5961
"Montgomery County, Maryland",0500000US24031,98917,2749,134527,2796
"St. Mary's County, Maryland",0500000US24037,85163,7529,102544,6257
"Cecil County, Maryland",0500000US24015,70676,4327,81598,4815
"Barnstable County, Massachusetts",0500000US25001,66102,1965,87839,4088
"Berkshire County, Massachusetts",0500000US25003,50765,4206,69880,4272
