Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Nashua city, New Hampshire",1600000US3350260,75838,5253,96005,7962
"Clifton city, New Jersey",1600000US3413690,77397,6499,99641,8627
"Union City city, New Jersey",1600000US3474630,51319,3162,76379,8556
"Paterson city, New Jersey",1600000US3457000,49367,3211,65111,5043
"Elizabeth city, New Jersey",1600000US3421000,49411,4398,64233,3626
"Camden city, New Jersey",1600000US3410000,25928,4092,40822,5209
"Trenton city, New Jersey",1600000US3474000,35745,4360,52288,7685
"Spring Valley CDP, Nevada",1600000US3268585,57398,2629,72075,3185
"East Orange city, New Jersey",1600000US3419390,47512,4223,64720,7684
"Billings city, Montana",1600000US3006550,57692,5707,73888,5978
"Passaic city, New Jersey",1600000US3456550,52156,9015,69476,6185
"Newark city, New Jersey",1600000US3451000,37642,3434,53587,3036
"Bayonne city, New Jersey",1600000US3403580,65951,11394,82579,7407
"Jersey City city, New Jersey",1600000US3436000,72561,5643,109103,5387
"Henderson city, Nevada",1600000US3231900,72884,4181,96946,4564
"Toms River CDP, New Jersey",1600000US3473110,78700,5659,103370,9884
"Philadelphia city, Pennsylvania",1600000US4260000,46116,1224,69025,1755
"Cranston city, Rhode Island",1600000US4419180,64680,8683,82237,6337
"Memphis city, Tennessee",1600000US4748000,37199,1451,58145,2299
"Jackson city, Tennessee",1600000US4737640,38973,4972,63045,8465
"Knoxville city, Tennessee",1600000US4740000,40459,1841,57485,3175
"Albuquerque city, New Mexico",1600000US3502000,51099,1724,71289,2802
"Rio Rancho city, New Mexico",1600000US3563460,58257,6017,72616,4361
"Lincoln city, Nebraska",1600000US3128000,55388,2234,72809,2093
"Mount Vernon city, New York",1600000US3649121,65244,11119,79173,7461
"O'Fallon city, Missouri",1600000US2954074,90542,8675,106322,7336
"Yonkers city, New York",1600000US3684000,60436,4933,88348,5922
"Raleigh city, North Carolina",1600000US3755000,65695,4174,93712,3708
"Concord city, North Carolina",1600000US3714100,69929,8585,83968,5516
"Gastonia city, North Carolina",1600000US3725580,48383,4916,66537,6490
"Asheville city, North Carolina",1600000US3702140,51040,4331,73841,6668
"Durham city, North Carolina",1600000US3719000,54840,3020,79811,2981
"Kansas City city, Missouri",1600000US2938000,54372,2269,74575,2611
"Bismarck city, North Dakota",1600000US3807200,65567,5786,83022,5869
"Cleveland city, Ohio",1600000US3916000,29953,1341,47788,2067
"Youngstown city, Ohio",1600000US3988000,30019,4089,42926,5068
"Missoula city, Montana",1600000US3050200,53375,6354,70306,7147
"Cincinnati city, Ohio",1600000US3915000,43585,2954,67799,3979
"Oklahoma City city, Oklahoma",1600000US4055000,53973,2131,76561,2341
"Broken Arrow city, Oklahoma",1600000US4009050,70476,2229,89764,5342
"Dale City CDP, Virginia",1600000US5121088,99554,7031,117803,12004
"South Jordan city, Utah",1600000US4970850,101374,4892,129929,12020
"Kirkland city, Washington",1600000US5335940,119844,10721,157711,10633
"Tacoma city, Washington",1600000US5370000,63035,3104,86731,4445
"Brownsville city, Texas",1600000US4810768,36976,3906,50590,3871
"Flower Mound town, Texas",1600000US4826232,137302,11325,166978,11705
"North Richland Hills city, Texas",1600000US4852356,69937,5996,94968,10067
"Norfolk city, Virginia",1600000US5157000,49587,2812,72418,6356
"Hampton city, Virginia",1600000US5135000,55466,2859,70520,4000
"Arlington CDP, Virginia",1600000US5103000,122394,4383,154670,6048
"Newport News city, Virginia",1600000US5156000,50180,3050,65415,3956
"Lynchburg city, Virginia",1600000US5147672,42389,4427,59524,4814
"Renton city, Washington",1600000US5357745,78023,5072,97651,6911
"Federal Way city, Washington",1600000US5323515,66653,5764,82383,5814
"Georgetown city, Texas",1600000US4829336,71113,9711,95714,8705
"Odessa city, Texas",1600000US4853388,66003,7245,89310,7448
"Bellevue city, Washington",1600000US5305210,113698,8838,155067,11040
"Lee's Summit city, Missouri",1600000US2941348,85183,7006,110446,7138
"St. Charles city, Missouri",1600000US2964082,63634,5656,82890,6121
"North Las Vegas city, Nevada",1600000US3251800,55470,4334,71234,4050
"Enterprise CDP, Nevada",1600000US3223770,81778,4738,99423,5278
"Kennewick city, Washington",1600000US5335275,55135,8400,71475,7384
"Redmond city, Washington",1600000US5357535,134844,11004,165245,14108
"Pasco city, Washington",1600000US5353545,56836,4649,71269,5906
"Atascocita CDP, Texas",1600000US4804462,102594,8286,122098,15748
"Richmond city, Virginia",1600000US5167000,48987,2137,75435,3598
"Spokane city, Washington",1600000US5367000,54085,4390,72043,4539
"Spokane Valley city, Washington",1600000US5367167,55445,7149,66499,4086
"Longview city, Texas",1600000US4843888,50938,4449,72977,7850
"Beaumont city, Texas",1600000US4807000,42249,6714,68536,7327
