Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M400US26420,65394,823,94227,1128
"Huntington-Ashland, WV-KY-OH Metro Area",310M400US26580,45535,2486,62737,3160
"Huntsville, AL Metro Area",310M400US26620,63765,3019,84048,2766
"Huntsville, TX Micro Area",310M400US26660,40500,4738,56835,5699
"Hutchinson, KS Micro Area",310M400US26740,48837,3422,62685,5462
"Idaho Falls, ID Metro Area",310M400US26820,58880,4773,78865,5224
"Indiana, PA Micro Area",310M400US26860,49448,5506,63257,3940
"Indianapolis-Carmel-Anderson, IN Metro Area",310M400US26900,61022,929,83206,1702
"Jonesboro, AR Metro Area",310M400US27860,43927,1817,60090,4157
"Joplin, MO Metro Area",310M400US27900,47012,2476,67753,6271
"Kahului-Wailuku-Lahaina, HI Metro Area",310M400US27980,82917,5453,105483,7296
"Ithaca, NY Metro Area",310M400US27060,57276,5532,80857,6655
"Jackson, MI Metro Area",310M400US27100,51031,3187,66668,4814
"Jackson, MS Metro Area",310M400US27140,55700,2558,73824,2820
"Jackson, TN Metro Area",310M400US27180,45610,3127,65400,5075
"Jacksonville, FL Metro Area",310M400US27260,60238,1266,84667,2173
"Jacksonville, NC Metro Area",310M400US27340,50639,2358,61979,4241
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M400US27460,45479,2258,60922,3405
"Janesville-Beloit, WI Metro Area",310M400US27500,57037,2952,71523,3942
"Jefferson, GA Micro Area",310M400US27600,73150,6737,85599,5749
"Jefferson City, MO Metro Area",310M400US27620,60281,3499,73380,4358
"Johnson City, TN Metro Area",310M400US27740,45839,3974,64339,3960
"Johnstown, PA Metro Area",310M400US27780,45084,3675,58267,2246
"Aberdeen, WA Micro Area",310M400US10140,48255,6637,61780,6366
"Abilene, TX Metro Area",310M400US10180,48021,3020,66725,3576
"Adrian, MI Micro Area",310M400US10300,55378,2931,70326,4455
"Aguadilla-Isabela, PR Metro Area",310M400US10380,17064,850,27278,2133
"Akron, OH Metro Area",310M400US10420,60019,1949,79792,2215
"Alamogordo, NM Micro Area",310M400US10460,42591,6318,53601,6698
"Albany, GA Metro Area",310M400US10500,44896,3485,59445,4201
"Albany, OR Metro Area",310M400US10540,54113,4736,68989,4904
"Albany-Schenectady-Troy, NY Metro Area",310M400US10580,71301,1384,89946,1954
"Albertville, AL Micro Area",310M400US10700,47528,5990,63466,5556
"Albuquerque, NM Metro Area",310M400US10740,51134,1263,71429,2017
"Alexandria, LA Metro Area",310M400US10780,47391,2779,64261,3972
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M400US10900,65929,1838,86386,2019
"Altoona, PA Metro Area",310M400US11020,49942,5629,66095,5417
"Amarillo, TX Metro Area",310M400US11100,53087,2207,73272,3269
"Ames, IA Metro Area",310M400US11180,54586,4578,69065,4524
"Anchorage, AK Metro Area",310M400US11260,81037,4654,103029,3854
"Ann Arbor, MI Metro Area",310M400US11460,71860,3365,101689,3778
"Anniston-Oxford-Jacksonville, AL Metro Area",310M400US11500,45818,5781,61117,5308
"Appleton, WI Metro Area",310M400US11540,65826,2825,82092,3128
"Arecibo, PR Metro Area",310M400US11640,17347,1053,26701,1866
"Asheville, NC Metro Area",310M400US11700,52410,1943,75206,3218
"Ashtabula, OH Micro Area",310M400US11780,46349,4931,60364,6085
"Athens, OH Micro Area",310M400US11900,36944,5460,52960,4647
"Athens, TX Micro Area",310M400US11980,42020,3855,64819,6449
"Athens-Clarke County, GA Metro Area",310M400US12020,51503,3199,73112,4214
"Atlanta-Sandy Springs-Roswell, GA Metro Area",310M400US12060,69464,1074,95476,1125
"Atlantic City-Hammonton, NJ Metro Area",310M400US12100,61212,1916,84780,4314
"Auburn, NY Micro Area",310M400US12180,52376,4473,72026,5329
"Auburn-Opelika, AL Metro Area",310M400US12220,46456,5092,73270,5858
"Augusta-Richmond County, GA-SC Metro Area",310M400US12260,52696,2770,72026,2614
"Augusta-Waterville, ME Micro Area",310M400US12300,51653,4570,68071,4985
"Austin-Round Rock, TX Metro Area",310M400US12420,76925,1423,105512,2089
"Bakersfield, CA Metro Area",310M400US12540,51579,1968,71441,2352
"Baltimore-Columbia-Towson, MD Metro Area",310M400US12580,80469,1032,105647,1512
