Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Alabama,0400000US01,42830,598,59464,699
Alaska,0400000US02,71583,1784,89094,2252
Arizona,0400000US04,50068,483,68103,648
Arkansas,0400000US05,41262,653,57693,1098
California,0400000US06,61933,238,88595,345
Colorado,0400000US08,61303,487,82295,867
Delaware,0400000US10,59716,1674,78773,2040
District of Columbia,0400000US11,71648,1996,103525,2816
Connecticut,0400000US09,70048,828,100948,1353
Florida,0400000US12,47463,329,67510,426
Georgia,0400000US13,49321,543,68820,591
Idaho,0400000US16,47861,1275,64115,1639
Hawaii,0400000US15,69592,1456,86866,1800
Illinois,0400000US17,57444,429,79379,528
Indiana,0400000US18,49446,487,64422,550
Iowa,0400000US19,53712,761,69618,893
Kansas,0400000US20,52504,706,71045,898
Kentucky,0400000US21,42958,697,59057,709
Louisiana,0400000US22,44555,738,63728,771
Maine,0400000US23,49462,1112,65842,1560
Maryland,0400000US24,73971,867,97016,829
Massachusetts,0400000US25,69160,957,95404,834
Michigan,0400000US26,49847,385,66794,414
Minnesota,0400000US27,61481,471,81824,772
Mississippi,0400000US28,39680,773,54887,832
Missouri,0400000US29,48363,567,65169,652
Montana,0400000US30,46328,1217,62309,1191
Nebraska,0400000US31,52686,688,68359,929
Nevada,0400000US32,51450,683,67029,874
New Hampshire,0400000US33,66532,1297,86622,1517
New Jersey,0400000US34,71919,438,99055,855
New Mexico,0400000US35,44803,849,61470,1199
New York,0400000US36,58878,393,86563,620
North Carolina,0400000US37,46556,381,65099,505
North Dakota,0400000US38,59029,1681,79136,1975
Ohio,0400000US39,49308,363,66252,461
Oklahoma,0400000US40,47529,454,64584,589
Oregon,0400000US41,51075,490,69210,641
Pennsylvania,0400000US42,53234,420,73112,461
Rhode Island,0400000US44,54891,1488,77146,1802
South Carolina,0400000US45,45238,507,61903,762
South Dakota,0400000US46,50979,1027,66580,1771
Tennessee,0400000US47,44361,561,62734,731
Texas,0400000US48,53035,377,75557,409
Vermont,0400000US50,54166,1724,69973,1861
Utah,0400000US49,60922,658,77413,993
Virginia,0400000US51,64902,624,88457,572
Washington,0400000US53,61366,485,81218,684
West Virginia,0400000US54,41059,651,54877,916
Wisconsin,0400000US55,52622,433,68953,615
Wyoming,0400000US56,57055,1983,72305,2193
Puerto Rico,0400000US72,18928,367,29976,555
