Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Washington County, Tennessee",0500000US47179,40697,3322,64451,4787
"Maury County, Tennessee",0500000US47119,57258,5141,73586,8797
"Tom Green County, Texas",0500000US48451,51114,6278,71627,5927
"Victoria County, Texas",0500000US48469,51892,4818,70061,5093
"Wichita County, Texas",0500000US48485,43295,3540,55748,3485
"Midland County, Texas",0500000US48329,75590,7336,101087,8489
"Grayson County, Texas",0500000US48181,56718,5443,71992,4266
"Brazos County, Texas",0500000US48041,45155,3309,65357,3951
"Gregg County, Texas",0500000US48183,47095,2117,67863,9359
"Lubbock County, Texas",0500000US48303,47317,3580,68587,3525
"Kaufman County, Texas",0500000US48257,65841,5643,83828,5827
"Bexar County, Texas",0500000US48029,54175,1295,74106,1587
"Bell County, Texas",0500000US48027,52479,3660,66217,3105
"Cameron County, Texas",0500000US48061,36975,2807,52297,2738
"Denton County, Texas",0500000US48121,86291,2400,107926,2589
"Galveston County, Texas",0500000US48167,70494,3067,94513,4475
"El Paso County, Texas",0500000US48141,44489,1991,61652,2130
"Bowie County, Texas",0500000US48037,50573,3994,69253,9232
"Hidalgo County, Texas",0500000US48215,37106,1502,55786,2073
"Smith County, Texas",0500000US48423,54339,4442,72587,4891
"Lee County, Alabama",0500000US01081,52943,5656,69475,5154
"Jefferson County, Alabama",0500000US01073,50709,1231,74553,2680
"Lauderdale County, Alabama",0500000US01077,45352,7058,61141,5622
"Limestone County, Alabama",0500000US01083,55817,6134,75077,6428
"Shelby County, Alabama",0500000US01117,73031,3067,92753,3774
"St. Clair County, Alabama",0500000US01115,50934,4026,59360,4868
"Baldwin County, Alabama",0500000US01003,55342,5225,74963,3936
"Cullman County, Alabama",0500000US01043,45044,5645,55370,3494
"Elmore County, Alabama",0500000US01051,60558,6672,75822,5263
"Houston County, Alabama",0500000US01069,44529,1889,65653,3405
"Talladega County, Alabama",0500000US01121,39731,4916,53709,4632
"Tuscaloosa County, Alabama",0500000US01125,52313,2796,68087,3989
"Morgan County, Alabama",0500000US01103,48563,5114,63696,3762
"Sherburne County, Minnesota",0500000US27141,87756,5552,102799,7582
"Carver County, Minnesota",0500000US27019,101271,6215,127074,7560
"Ramsey County, Minnesota",0500000US27123,61962,1457,85297,2445
"Scott County, Minnesota",0500000US27139,98538,7733,115133,6115
"Wright County, Minnesota",0500000US27171,79931,5711,96541,7953
"Blue Earth County, Minnesota",0500000US27013,56716,5416,75534,4626
"St. Louis County, Minnesota",0500000US27137,52890,3050,68629,3979
"Anoka County, Minnesota",0500000US27003,79169,2396,94425,3017
"Stearns County, Minnesota",0500000US27145,63271,2303,79662,4143
"Dakota County, Minnesota",0500000US27037,80832,1758,102714,3110
"Washington County, Minnesota",0500000US27163,91866,3947,119339,4914
"Hunt County, Texas",0500000US48231,55786,5329,72438,5642
"Guadalupe County, Texas",0500000US48187,66486,3988,78905,3428
"Nacogdoches County, Texas",0500000US48347,47589,9506,68847,9373
"Parker County, Texas",0500000US48367,75823,6938,98330,6517
"Ector County, Texas",0500000US48135,55380,4862,68570,5073
"Travis County, Texas",0500000US48453,72884,2003,103873,2910
"Collin County, Texas",0500000US48085,94933,2291,120386,2990
"Angelina County, Texas",0500000US48005,45326,5733,60010,4450
"Hays County, Texas",0500000US48209,65667,4375,82830,4726
"Brazoria County, Texas",0500000US48039,82229,4477,98762,4367
"Henderson County, Texas",0500000US48213,44971,6416,61762,5179
"Harrison County, Texas",0500000US48203,53394,6354,67220,6399
"Williamson County, Texas",0500000US48491,81719,2121,102327,2932
"Orange County, Texas",0500000US48361,58863,5629,79003,7636
"Harris County, Texas",0500000US48201,58645,1340,86830,1296
"Dallas County, Texas",0500000US48113,56718,1077,83415,1397
"Johnson County, Texas",0500000US48251,62482,5160,75089,3307
"McLennan County, Texas",0500000US48309,47267,2992,67876,3214
"Montgomery County, Texas",0500000US48339,76811,2526,110803,6083
"Webb County, Texas",0500000US48479,43408,3320,57088,3850
