Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"San Francisco-Oakland-Fremont, CA Metro Area",310M100US41860,74922,1040,105907,1357
"San Germán-Cabo Rojo, PR Metro Area",310M100US41900,15350,1204,22707,1569
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",310M100US41940,90737,1334,118103,2510
"San Juan-Caguas-Guaynabo, PR Metro Area",310M100US41980,21299,407,32650,639
"Searcy, AR Micro Area",310M100US42620,38853,5452,52930,4062
"Seattle-Tacoma-Bellevue, WA Metro Area",310M100US42660,65677,759,86400,933
"Sebastian-Vero Beach, FL Metro Area",310M100US42680,40413,2951,70373,7091
"Sebring, FL Micro Area",310M100US42700,34733,1992,45257,2899
"Seneca, SC Micro Area",310M100US42860,37383,6112,60250,10809
"Sevierville, TN Micro Area",310M100US42940,43292,2022,52766,3903
"San Luis Obispo-Paso Robles, CA Metro Area",310M100US42020,60264,3482,78744,3537
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",310M100US42060,61890,2475,83192,2949
"Santa Cruz-Watsonville, CA Metro Area",310M100US42100,67769,3229,91901,3838
"Santa Fe, NM Metro Area",310M100US42140,50720,2046,71027,4027
"Santa Rosa-Petaluma, CA Metro Area",310M100US42220,59941,2090,81555,2969
"Savannah, GA Metro Area",310M100US42340,47059,1804,62878,2332
"Scranton--Wilkes-Barre, PA Metro Area",310M100US42540,42883,1410,57335,1429
"Seaford, DE Micro Area",310M100US42580,49471,3163,64093,2217
"Shawnee, OK Micro Area",310M100US43060,42440,2104,53615,2808
"Sheboygan, WI Metro Area",310M100US43100,51899,2455,62852,2687
"Shelby, NC Micro Area",310M100US43140,35547,4847,45353,2692
"Sherman-Denison, TX Metro Area",310M100US43300,47475,3983,60727,3310
"Show Low, AZ Micro Area",310M100US43320,34298,2567,44761,3356
"Shreveport-Bossier City, LA Metro Area",310M100US43340,44118,2384,62853,2857
