Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"East Stroudsburg, PA Metro Area",310M600US20700,78575,8027,87797,5504
"Eau Claire, WI Metro Area",310M600US20740,61684,1663,80502,4808
"El Centro, CA Metro Area",310M600US20940,51809,3553,70008,5908
"Elizabethtown-Fort Knox, KY Metro Area",310M600US21060,60025,3408,74788,3429
"Elkhart-Goshen, IN Metro Area",310M600US21140,60143,5112,77971,4962
"Elmira, NY Metro Area",310M600US21300,60219,5093,75822,6620
"El Paso, TX Metro Area",310M600US21340,51002,1518,68404,2265
"Enid, OK Metro Area",310M600US21420,60721,3591,72073,5465
"Erie, PA Metro Area",310M600US21500,56851,3589,73659,3523
"Eugene-Springfield, OR Metro Area",310M600US21660,61712,2873,85382,3991
"Eureka-Arcata, CA Micro Area",310M600US21700,54752,5322,75418,5563
"Evansville, IN-KY Metro Area",310M600US21780,59153,3535,79071,3450
"Fairbanks, AK Metro Area",310M600US21820,72149,10632,92218,7645
"Fargo, ND-MN Metro Area",310M600US22020,66216,1883,90055,4732
"Faribault-Northfield, MN Micro Area",310M600US22060,67267,7398,95458,7217
"Farmington, MO Micro Area",310M600US22100,47682,11171,65237,6855
"Farmington, NM Metro Area",310M600US22140,47819,5967,66912,6191
"Fayetteville, NC Metro Area",310M600US22180,55027,1991,69535,1846
"Fayetteville-Springdale-Rogers, AR Metro Area",310M600US22220,71767,2791,95036,3325
"Findlay, OH Micro Area",310M600US22300,64024,5848,87544,8126
"Flagstaff, AZ Metro Area",310M600US22380,64533,5859,89169,6231
"Flint, MI Metro Area",310M600US22420,52025,1222,71368,2905
"Florence, SC Metro Area",310M600US22500,49724,4244,70946,6024
"Florence-Muscle Shoals, AL Metro Area",310M600US22520,51639,5430,66977,4324
"Fond du Lac, WI Metro Area",310M600US22540,69068,3673,84609,4970
"Fort Collins, CO Metro Area",310M600US22660,78109,4002,105640,5008
"Fort Payne, AL Micro Area",310M600US22840,41800,6689,69253,13987
"Fort Smith, AR-OK Metro Area",310M600US22900,49065,3358,67006,4403
"Fort Wayne, IN Metro Area",310M600US23060,62155,2284,79481,2858
"Frankfort, KY Micro Area",310M600US23180,62122,7155,85747,9358
"Fresno, CA Metro Area",310M600US23420,63656,2110,87234,2748
"Gadsden, AL Metro Area",310M600US23460,45298,4507,58655,4580
"Gainesville, FL Metro Area",310M600US23540,53728,4750,81916,5405
"Gainesville, GA Metro Area",310M600US23580,66719,6149,87370,4907
"Gallup, NM Micro Area",310M600US23700,41643,4272,54563,6053
"Gettysburg, PA Metro Area",310M600US23900,72985,4141,91397,5489
