Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Cincinnati city, Ohio",1600000US3915000,46260,3328,74226,2757
"Ogden city, Utah",1600000US4955980,60054,5448,71321,4720
"West Valley City city, Utah",1600000US4983470,73917,6132,82669,4516
"Denton city, Texas",1600000US4819972,66644,4294,81850,6141
"Midland city, Texas",1600000US4848072,84955,13319,111171,8889
"Spokane city, Washington",1600000US5367000,52447,3320,74570,4639
"Spokane Valley city, Washington",1600000US5367167,57513,3856,68702,5025
"Youngstown city, Ohio",1600000US3988000,29143,4149,38715,3438
"Bellingham city, Washington",1600000US5305280,58492,4425,75667,6363
"South Hill CDP, Washington",1600000US5365922,92979,8187,106680,8205
"Sammamish city, Washington",1600000US5361115,188120,20254,230046,18880
"Frisco city, Texas",1600000US4827684,116884,7083,146649,6922
"Wichita Falls city, Texas",1600000US4879000,48861,4031,63182,4765
"Longview city, Texas",1600000US4843888,53987,5479,78940,10550
"Vancouver city, Washington",1600000US5374060,66679,4144,83250,4007
"Waukesha city, Wisconsin",1600000US5584250,72411,3645,86896,6859
"South Jordan city, Utah",1600000US4970850,108626,13768,143461,18232
"Canton city, Ohio",1600000US3912000,32125,4384,41840,3180
"Appleton city, Wisconsin",1600000US5502375,60129,3974,74818,4707
"San Antonio city, Texas",1600000US4865000,53751,1273,72587,1896
"Garland city, Texas",1600000US4829000,62556,3585,78858,4202
"Richardson city, Texas",1600000US4861796,91118,5534,110577,8018
"Harlingen city, Texas",1600000US4832372,36868,10733,53770,5902
"Dale City CDP, Virginia",1600000US5121088,95602,10160,120229,13481
"Norfolk city, Virginia",1600000US5157000,53093,2206,70842,3905
"Leander city, Texas",1600000US4842016,117892,13416,130454,12481
"Bryan city, Texas",1600000US4810912,49769,6414,63579,6109
"Temple city, Texas",1600000US4872176,55792,7252,74124,7451
"Salt Lake City city, Utah",1600000US4967000,63971,3135,93907,5914
"Seattle city, Washington",1600000US5363000,102486,3231,140354,4581
"Pharr city, Texas",1600000US4857200,36342,6935,44240,5832
