Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Alabama,0400000US01,41415,550,57208,733
Alaska,0400000US02,67825,1948,82665,2364
Arizona,0400000US04,46709,554,62927,690
Arkansas,0400000US05,38758,761,53204,914
California,0400000US06,57287,279,80848,376
Colorado,0400000US08,55387,605,74852,787
Connecticut,0400000US09,65753,854,92248,1009
Delaware,0400000US10,58814,1586,76400,1722
District of Columbia,0400000US11,63124,2407,98177,3254
Florida,0400000US12,44299,406,63006,529
Georgia,0400000US13,46007,454,63554,765
Hawaii,0400000US15,61821,1035,78802,1522
Idaho,0400000US16,43341,1320,56222,1238
Illinois,0400000US17,53234,511,73068,572
Indiana,0400000US18,46438,455,60278,594
Iowa,0400000US19,49427,693,62876,715
Kansas,0400000US20,48964,756,64545,788
Kentucky,0400000US21,41141,464,56104,704
Louisiana,0400000US22,41734,528,58822,724
Maine,0400000US23,46033,802,60800,1223
Maryland,0400000US24,70004,804,90925,842
Massachusetts,0400000US25,62859,902,86009,974
Michigan,0400000US26,45981,330,61926,403
Minnesota,0400000US27,56954,488,73578,579
Mississippi,0400000US28,36919,583,51355,835
Missouri,0400000US29,45247,529,61431,657
Montana,0400000US30,44222,1078,56992,1265
Nebraska,0400000US31,50296,687,65532,1222
Nevada,0400000US32,48927,1020,65720,1520
New Hampshire,0400000US33,62647,1415,79706,1813
New Jersey,0400000US34,67458,721,91868,830
New Mexico,0400000US35,41963,803,59314,1393
New York,0400000US36,55246,398,80244,557
North Carolina,0400000US37,43916,519,60939,608
North Dakota,0400000US38,51704,1260,66005,1615
Ohio,0400000US39,45749,319,61204,416
Oklahoma,0400000US40,43225,607,58515,614
Oregon,0400000US41,46816,711,62778,771
Pennsylvania,0400000US42,50228,292,67298,396
Rhode Island,0400000US44,53636,1699,72229,1971
South Carolina,0400000US45,42367,559,57552,776
South Dakota,0400000US46,48321,1598,61224,1344
Tennessee,0400000US47,41693,423,58400,677
Texas,0400000US48,49392,391,68936,452
Utah,0400000US49,55869,805,69550,963
Vermont,0400000US50,52776,1420,67201,1403
Virginia,0400000US51,61882,507,84041,691
Washington,0400000US53,56835,569,74186,627
West Virginia,0400000US54,38482,875,53269,1259
Wisconsin,0400000US55,50395,428,64439,566
Wyoming,0400000US56,56322,1890,68886,1986
Puerto Rico,0400000US72,18660,358,28865,552
