Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
Mississippi,0400000US28,45792,1184,65081,1411
Missouri,0400000US29,57409,642,77885,843
Montana,0400000US30,57153,1205,77320,2198
Nebraska,0400000US31,63229,936,82539,1174
Nevada,0400000US32,63276,1021,86946,1483
New Hampshire,0400000US33,77933,1994,100882,2187
New Jersey,0400000US34,85751,760,119301,942
New Mexico,0400000US35,51945,969,71591,1489
New York,0400000US36,72108,452,107355,743
North Carolina,0400000US37,57341,611,80037,673
North Dakota,0400000US38,64577,3011,85551,2922
Ohio,0400000US39,58642,563,79505,638
Oklahoma,0400000US40,54449,599,75537,959
Oregon,0400000US41,67058,873,88449,1153
Pennsylvania,0400000US42,63463,429,87789,596
Rhode Island,0400000US44,71169,1559,92553,2256
South Carolina,0400000US45,56227,835,78188,1092
South Dakota,0400000US46,59533,1949,77650,1944
Tennessee,0400000US47,56071,658,78035,785
Texas,0400000US48,64034,500,89681,598
Vermont,0400000US50,63001,1755,83015,2347
Utah,0400000US49,75780,1093,96415,1545
Virginia,0400000US51,76456,842,105091,1038
Washington,0400000US53,78687,923,105775,937
West Virginia,0400000US54,48850,1131,65842,1379
Wisconsin,0400000US55,64168,600,82899,763
Wyoming,0400000US56,65003,2118,83155,2932
Puerto Rico,0400000US72,20474,382,33055,713
Georgia,0400000US13,61980,437,86468,919
Idaho,0400000US16,60999,1070,78975,1489
Hawaii,0400000US15,83102,2138,106247,2179
Illinois,0400000US17,69187,585,95725,675
Indiana,0400000US18,57603,680,78064,856
Iowa,0400000US19,61691,750,80267,1139
Kansas,0400000US20,62087,692,82270,1287
Kentucky,0400000US21,52295,625,72215,944
Louisiana,0400000US22,51073,586,72658,989
Maine,0400000US23,58924,1758,78303,1702
Maryland,0400000US24,86738,934,114089,1192
Massachusetts,0400000US25,85843,991,117482,1179
Michigan,0400000US26,59584,572,80681,630
Minnesota,0400000US27,74593,826,96995,927
Connecticut,0400000US09,78833,1358,114630,1647
Florida,0400000US12,59227,443,83883,463
Alabama,0400000US01,51734,600,71478,864
Alaska,0400000US02,75463,2694,98504,3214
Arizona,0400000US04,62055,446,84438,783
Arkansas,0400000US05,48952,863,68219,1193
California,0400000US06,80440,313,113563,505
Colorado,0400000US08,77127,791,103518,921
Delaware,0400000US10,70176,1623,92445,2533
District of Columbia,0400000US11,92266,2497,135369,3627
