Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Clay County, Missouri",0500000US29047,65430,4249,80536,3480
"St. Louis County, Missouri",0500000US29189,62572,1793,93352,2489
"Boone County, Missouri",0500000US29019,52752,4636,70450,4894
"Cole County, Missouri",0500000US29051,55303,3448,69868,4786
"Franklin County, Missouri",0500000US29071,55359,3803,74134,6782
"Jackson County, Missouri",0500000US29095,50815,1099,70180,2139
"Buchanan County, Missouri",0500000US29021,48550,4632,63459,5420
"Cass County, Missouri",0500000US29037,63420,4182,77446,4557
"St. Charles County, Missouri",0500000US29183,80644,2701,96421,2967
"Cape Girardeau County, Missouri",0500000US29031,50223,2712,68935,6881
"Platte County, Missouri",0500000US29165,77581,3760,96923,11244
"St. Francois County, Missouri",0500000US29187,45431,6245,54546,5002
"St. Louis city, Missouri",0500000US29510,40346,1544,61944,3175
"Virginia Beach city, Virginia",0500000US51810,71117,2228,90576,3130
"Newport News city, Virginia",0500000US51700,50524,2354,64926,3193
"Frederick County, Virginia",0500000US51069,69827,6120,89243,7042
"Lynchburg city, Virginia",0500000US51680,41264,4948,60508,7079
"York County, Virginia",0500000US51199,89418,6349,105338,6691
"Roanoke city, Virginia",0500000US51770,37044,3006,49385,3610
"Suffolk city, Virginia",0500000US51800,66669,5806,85140,6532
"Norfolk city, Virginia",0500000US51710,46467,1944,64343,4081
"Chesterfield County, Virginia",0500000US51041,76059,3368,92479,3539
"Fairfax County, Virginia",0500000US51059,115717,2312,147335,2918
"Benton County, Washington",0500000US53005,62508,4039,80160,3545
"Clark County, Washington",0500000US53011,69062,2069,89125,2886
"Skagit County, Washington",0500000US53057,60983,3697,77921,4739
"Spokane County, Washington",0500000US53063,53043,1910,71032,2293
"Chelan County, Washington",0500000US53007,52080,8980,70387,6091
"Kitsap County, Washington",0500000US53035,69171,3935,85625,3901
"King County, Washington",0500000US53033,86095,1584,116385,2205
"Yakima County, Washington",0500000US53077,48965,3169,65675,5573
"Clallam County, Washington",0500000US53009,48587,5198,60096,4117
"Cowlitz County, Washington",0500000US53015,50637,4377,65490,4583
"Lewis County, Washington",0500000US53041,45523,5044,58780,3813
"Island County, Washington",0500000US53029,64813,3464,81722,7411
"Glynn County, Georgia",0500000US13127,48926,5963,68614,10315
"DeKalb County, Georgia",0500000US13089,56109,2380,82314,2387
"Muscogee County, Georgia",0500000US13215,40060,3076,58832,3438
"Catoosa County, Georgia",0500000US13047,55717,6820,72197,7768
"Columbia County, Georgia",0500000US13073,72737,6630,90016,6755
"Floyd County, Georgia",0500000US13115,49865,6375,66817,7800
"Forsyth County, Georgia",0500000US13117,100909,3710,117651,4543
"Lowndes County, Georgia",0500000US13185,41449,3572,60300,7217
"Carroll County, Georgia",0500000US13045,51228,4497,60771,4537
"Coweta County, Georgia",0500000US13077,71220,3653,92716,11022
"Cobb County, Georgia",0500000US13067,70947,2173,94624,2955
"Fayette County, Georgia",0500000US13113,80626,4995,112239,8547
"Newton County, Georgia",0500000US13217,48628,5577,64719,6419
"Clayton County, Georgia",0500000US13063,45252,2895,55380,2507
"Hall County, Georgia",0500000US13139,54917,3829,70477,4325
"Honolulu County, Hawaii",0500000US15003,80513,1671,101034,1991
"Maui County, Hawaii",0500000US15009,72257,4699,98524,7183
"Christian County, Missouri",0500000US29043,53172,4634,67120,5181
"Jasper County, Missouri",0500000US29097,45786,3874,60014,5072
"Lewis and Clark County, Montana",0500000US30049,63475,6463,81497,15038
