Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Peoria city, Illinois",1600000US1759000,41541,2447,60532,4457
"Rockford city, Illinois",1600000US1765000,34024,2998,49821,3367
"Schaumburg village, Illinois",1600000US1768003,66553,4888,77618,5667
"Skokie village, Illinois",1600000US1770122,61357,6844,76681,7229
"Springfield city, Illinois",1600000US1772000,44384,4166,59471,2703
"Waukegan city, Illinois",1600000US1779293,42681,6817,61237,7015
"Bloomington city, Indiana",1600000US1805860,24126,5097,44646,5747
"Carmel city, Indiana",1600000US1810342,116874,13383,155179,17608
"Evansville city, Indiana",1600000US1822000,35939,2077,47985,3383
"Fishers town, Indiana",1600000US1823278,90330,14873,106774,11762
"Fort Wayne city, Indiana",1600000US1825000,42277,1584,54964,2595
"Gary city, Indiana",1600000US1827000,24956,3540,41730,7752
"Hammond city, Indiana",1600000US1831000,35452,2669,44837,3223
"Indianapolis city (balance), Indiana",1600000US1836003,39015,1347,54453,1697
"Lafayette city, Indiana",1600000US1840788,38927,2706,47335,3481
"Muncie city, Indiana",1600000US1851876,26913,3035,39601,5965
"South Bend city, Indiana",1600000US1871000,31927,2364,46096,3669
"Cedar Rapids city, Iowa",1600000US1912000,50528,3056,66908,5263
"Davenport city, Iowa",1600000US1919000,41672,2473,51629,3559
"Des Moines city, Iowa",1600000US1921000,41813,1485,54367,2121
"Iowa City city, Iowa",1600000US1938595,41084,6095,61339,6151
"Sioux City city, Iowa",1600000US1973335,37846,3500,54211,5640
"Waterloo city, Iowa",1600000US1982425,36127,3711,46377,3237
"Kansas City city, Kansas",1600000US2036000,37036,2090,45234,1846
"Lawrence city, Kansas",1600000US2038900,43210,3574,57378,4294
"Olathe city, Kansas",1600000US2052575,72449,5951,86045,4325
"Overland Park city, Kansas",1600000US2053775,66544,3702,87203,3965
"Topeka city, Kansas",1600000US2071000,36666,2542,53628,3814
"Wichita city, Kansas",1600000US2079000,44184,2645,58220,1849
"Lexington-Fayette urban county, Kentucky",1600000US2146027,47207,1882,69703,5394
"Louisville/Jefferson County metro government (balance), Kentucky",1600000US2148006,42019,1449,61188,2266
"Baton Rouge city, Louisiana",1600000US2205000,36894,2147,51910,2647
"Kenner city, Louisiana",1600000US2239475,41128,4105,59812,7882
"Lafayette city, Louisiana",1600000US2240735,41546,4074,61661,6022
"Lake Charles city, Louisiana",1600000US2241155,32194,4534,51547,5468
"Metairie CDP, Louisiana",1600000US2250115,49051,3545,66046,3492
"New Orleans city, Louisiana",1600000US2255000,35041,1271,58208,3265
"Shreveport city, Louisiana",1600000US2270000,36593,2851,56985,3830
"Portland city, Maine",1600000US2360545,43788,5225,63090,5380
"Baltimore city, Maryland",1600000US2404000,38721,1673,54290,1839
"Columbia CDP, Maryland",1600000US2419125,94647,4482,109492,5785
"Ellicott City CDP, Maryland",1600000US2426000,102589,14056,125846,9707
"Frederick city, Maryland",1600000US2430325,61384,8518,76362,6493
"Germantown CDP, Maryland",1600000US2432025,74918,8987,91384,7280
"Glen Burnie CDP, Maryland",1600000US2432650,61386,5068,72563,6040
"Silver Spring CDP, Maryland",1600000US2472450,70797,7161,91601,5665
"Waldorf CDP, Maryland",1600000US2481175,85027,5864,92226,6544
"Boston city, Massachusetts",1600000US2507000,49081,2681,75394,2943
"Brockton city, Massachusetts",1600000US2509000,44786,4936,54649,3857
"Cambridge city, Massachusetts",1600000US2511000,67886,5694,94493,6181
"Fall River city, Massachusetts",1600000US2523000,34105,2845,50732,5986
"Framingham CDP, Massachusetts",1600000US2524960,65144,8729,79652,5918
"Lawrence city, Massachusetts",1600000US2534550,30705,2562,46219,4304
"Lowell city, Massachusetts",1600000US2537000,51236,3133,60661,3699
"Lynn city, Massachusetts",1600000US2537490,44296,4202,57765,3802
"New Bedford city, Massachusetts",1600000US2545000,37737,2964,50986,3217
"Newton city, Massachusetts",1600000US2545560,107577,8073,156564,10472
"Quincy city, Massachusetts",1600000US2555745,61391,5229,72857,4880
"Somerville city, Massachusetts",1600000US2562535,61241,5502,75149,5327
"Springfield city, Massachusetts",1600000US2567000,32124,2608,46045,3388
"Worcester city, Massachusetts",1600000US2582000,42718,3083,58659,2913
"Ann Arbor city, Michigan",1600000US2603000,49219,3601,74480,5361
