Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Beaumont city, Texas",1600000US4807000,47570,3199,65590,4857
"Waco city, Texas",1600000US4876000,36792,3651,54760,4701
"Johnson City city, Tennessee",1600000US4738320,40481,3755,68549,9298
"Warwick city, Rhode Island",1600000US4474300,74570,4845,85791,5324
"Providence city, Rhode Island",1600000US4459000,39015,3770,61979,5075
"Pawtucket city, Rhode Island",1600000US4454640,43886,4105,56110,3686
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,51393,1404,71138,2297
"Mount Pleasant town, South Carolina",1600000US4548535,82826,12328,116608,12889
"Columbia city, South Carolina",1600000US4516000,41435,2364,64415,3938
"Clifton city, New Jersey",1600000US3413690,64700,7671,77788,5470
"Passaic city, New Jersey",1600000US3456550,26922,3865,39811,3823
"Pharr city, Texas",1600000US4857200,33269,5484,44370,4833
"McAllen city, Texas",1600000US4845384,45186,7028,66643,6414
"Laredo city, Texas",1600000US4841464,40660,2532,58545,5076
"Fort Worth city, Texas",1600000US4827000,55888,1536,74068,2207
"Murfreesboro city, Tennessee",1600000US4751560,52266,4031,71878,5470
"Clarksville city, Tennessee",1600000US4715160,46113,1866,55830,2473
"Chattanooga city, Tennessee",1600000US4714000,40004,2287,57871,3475
"Rock Hill city, South Carolina",1600000US4561405,40885,4789,55423,4879
"North Charleston city, South Carolina",1600000US4550875,40365,3761,54617,3647
"St. Joseph city, Missouri",1600000US2964550,46398,3939,56072,3765
"Trenton city, New Jersey",1600000US3474000,35041,3678,48724,4678
"Eau Claire city, Wisconsin",1600000US5522300,48631,3302,62490,6315
"Rapid City city, South Dakota",1600000US4652980,49702,3174,69691,6541
"Sioux Falls city, South Dakota",1600000US4659020,53802,3124,71853,4347
"Montgomery city, Alabama",1600000US0151000,41836,2185,60788,3628
"Rialto city, California",1600000US0660466,52080,4151,61452,4024
"Carmichael CDP, California",1600000US0611390,51844,5124,79006,9336
"Greeley city, Colorado",1600000US0832155,54307,5333,64848,4708
"Thornton city, Colorado",1600000US0877290,72697,4229,86868,6186
"Little Rock city, Arkansas",1600000US0541000,44251,2989,73823,5913
"Baldwin Park city, California",1600000US0603666,47502,4970,64068,7032
"Inglewood city, California",1600000US0636546,42122,3950,57045,3982
"Los Angeles city, California",1600000US0644000,52024,609,83329,1254
"Schaumburg village, Illinois",1600000US1768003,73537,4506,88260,6036
"Deltona city, Florida",1600000US1217200,43661,3792,53543,4702
"Hialeah city, Florida",1600000US1230000,29095,2496,41746,2196
"Homestead city, Florida",1600000US1232275,41260,2630,56301,7333
"Miami city, Florida",1600000US1245000,29989,1444,54477,2784
"Springfield city, Illinois",1600000US1772000,52102,4426,74136,6543
"Arlington Heights village, Illinois",1600000US1702154,86298,5462,114450,13690
"Warner Robins city, Georgia",1600000US1380508,45270,7115,59619,8897
"Ann Arbor city, Michigan",1600000US2603000,55669,3158,78563,4382
"Grand Rapids city, Michigan",1600000US2634000,41857,1580,56140,3196
"Sterling Heights city, Michigan",1600000US2676460,61809,3481,72921,3521
"Lakewood city, Colorado",1600000US0843000,60984,1634,78551,4152
"Lakewood city, California",1600000US0639892,82027,3775,92193,5000
"Hesperia city, California",1600000US0633434,46169,7104,54316,3979
"Folsom city, California",1600000US0624638,105278,12122,119986,9054
"Sacramento city, California",1600000US0664000,52151,1526,69733,2150
"Oakland city, California",1600000US0653000,58807,3337,87107,2957
"Burbank city, California",1600000US0608954,70816,5942,92799,5814
"East Los Angeles CDP, California",1600000US0620802,41220,3242,54667,4694
"Shawnee city, Kansas",1600000US2064500,88636,9353,101530,10282
"Des Moines city, Iowa",1600000US1921000,49072,2583,64066,4175
"Gaithersburg city, Maryland",1600000US2431175,85854,7581,107371,8055
"Atlanta city, Georgia",1600000US1304000,50210,2242,86350,3769
"Fort Wayne city, Indiana",1600000US1825000,44977,2232,60114,3318
"The Villages CDP, Florida",1600000US1271625,57379,4900,75232,6397
"Elgin city, Illinois",1600000US1723074,57097,5848,81335,7807
"Westminster city, Colorado",1600000US0883835,70212,6722,88604,4299
"Chicago city, Illinois",1600000US1714000,50702,606,78414,1294
"Brooklyn Park city, Minnesota",1600000US2707966,62164,5919,80896,8680
"St. Paul city, Minnesota",1600000US2758000,50267,1891,69456,2632
"Brockton city, Massachusetts",1600000US2509000,43206,5274,57809,3670
"Framingham CDP, Massachusetts",1600000US2524960,70355,11088,95710,7840
"Warren city, Michigan",1600000US2684000,43379,2845,55700,3475
"Florence-Graham CDP, California",1600000US0624477,40310,3051,50174,4420
"Hawthorne city, California",1600000US0632548,41933,5832,59453,4447
"San Mateo city, California",1600000US0668252,100238,7293,131224,8061
