Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Maricopa County, Arizona",0500000US04013,65252,806,89077,1234
"Mohave County, Arizona",0500000US04015,46060,3310,57206,2947
"Coconino County, Arizona",0500000US04005,61843,3885,78885,4618
"Yavapai County, Arizona",0500000US04025,48148,2862,65373,3713
"Pinal County, Arizona",0500000US04021,59058,2065,69864,2175
"Saline County, Arkansas",0500000US05125,63084,5834,76913,5132
"Jefferson County, Arkansas",0500000US05069,35652,4936,53235,5827
"Sebastian County, Arkansas",0500000US05131,46826,2495,65730,5288
"Jefferson County, Missouri",0500000US29099,65246,2857,81128,5812
"Shelby County, Tennessee",0500000US47157,47500,2160,70862,2348
"Davidson County, Tennessee",0500000US47037,60856,1690,87535,2868
"Montgomery County, Tennessee",0500000US47125,56019,4027,71266,4823
"Hamilton County, Tennessee",0500000US47065,57280,2712,79174,3097
"Sullivan County, Tennessee",0500000US47163,44652,4723,65798,4669
"Rensselaer County, New York",0500000US36083,71648,2014,84541,4532
"Queens County, New York",0500000US36081,69320,1781,89633,1572
"New York County, New York",0500000US36061,85066,3480,156633,4044
"Cayuga County, New York",0500000US36011,52376,4473,72026,5329
"Rockland County, New York",0500000US36087,89812,4056,118960,5679
"Niagara County, New York",0500000US36063,55306,3093,74744,4828
"Nassau County, New York",0500000US36059,116304,2934,149295,2984
"Jefferson County, New York",0500000US36045,53146,2976,64940,3482
"Suffolk County, New York",0500000US36103,100468,1777,126020,2519
"Oswego County, New York",0500000US36075,54264,3739,72834,4920
"Wayne County, New York",0500000US36117,61515,3238,79920,7400
"Broome County, New York",0500000US36007,51125,2910,68268,4670
"Erie County, New York",0500000US36029,56369,1036,76265,1876
"Sullivan County, New York",0500000US36105,52274,6570,72044,6467
"White County, Arkansas",0500000US05145,42270,4648,62733,6549
"Lake County, California",0500000US06033,48554,7587,71170,7571
"Clay County, Missouri",0500000US29047,68269,3849,86398,3029
"St. Louis County, Missouri",0500000US29189,66778,1956,98565,2450
"Boone County, Missouri",0500000US29019,54356,3368,74844,4179
"Cole County, Missouri",0500000US29051,63568,4309,80749,7060
"Franklin County, Missouri",0500000US29071,58209,4916,77029,6873
"Jackson County, Missouri",0500000US29095,55929,1493,74371,2002
"Buchanan County, Missouri",0500000US29021,55020,5055,65793,4388
"Cass County, Missouri",0500000US29037,71114,6282,83313,4234
"St. Charles County, Missouri",0500000US29183,81663,2744,99389,3031
"Cape Girardeau County, Missouri",0500000US29031,49844,5372,62336,5055
"Platte County, Missouri",0500000US29165,80468,8809,104088,9525
"St. Francois County, Missouri",0500000US29187,46796,4688,61053,8049
"St. Louis city, Missouri",0500000US29510,43889,2305,63791,2564
"Harrison County, Texas",0500000US48203,50561,7915,68916,8272
"Williamson County, Texas",0500000US48491,87454,2839,104029,3018
"Orange County, Texas",0500000US48361,56420,5374,75115,7134
"Harris County, Texas",0500000US48201,60232,813,88212,1245
"Dallas County, Texas",0500000US48113,59839,1022,88220,1467
"Johnson County, Texas",0500000US48251,62390,4913,80258,4515
"McLennan County, Texas",0500000US48309,48713,3338,64493,2647
"Montgomery County, Texas",0500000US48339,76929,3106,111239,4879
"Webb County, Texas",0500000US48479,46862,3473,62301,4579
"Jefferson County, Texas",0500000US48245,47177,3730,69578,3957
"Tarrant County, Texas",0500000US48439,66063,1349,91655,2058
"Ellis County, Texas",0500000US48139,77794,3774,99650,13956
"Sarpy County, Nebraska",0500000US31153,77941,5007,97450,5171
"Christian County, Missouri",0500000US29043,56717,4486,70756,5252
"Jasper County, Missouri",0500000US29097,46617,2662,60908,3825
"Lewis and Clark County, Montana",0500000US30049,65241,5668,77682,5010
"Yellowstone County, Montana",0500000US30111,60079,4216,75619,5071
"Missoula County, Montana",0500000US30063,56598,2374,74932,5653
"Cascade County, Montana",0500000US30013,49948,3119,67884,5843
"Gallatin County, Montana",0500000US30031,68266,4170,87759,6359
"San Patricio County, Texas",0500000US48409,55018,6763,69669,5507
"Randall County, Texas",0500000US48381,70108,4333,87215,4215
"Wise County, Texas",0500000US48497,69040,9883,86065,8343
"Rockwall County, Texas",0500000US48397,100595,9005,112543,7210
"Taylor County, Texas",0500000US48441,47508,2986,66633,3875
"Walker County, Texas",0500000US48471,40100,7234,57559,6437
"Coryell County, Texas",0500000US48099,46131,7895,57297,4010
