Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Lake County, Illinois",0500000US17097,92511,3088,129550,3301
"Rockingham County, New Hampshire",0500000US33015,91249,3217,122403,5441
"Hillsborough County, New Hampshire",0500000US33011,83626,4891,104958,3468
"Mercer County, New Jersey",0500000US34021,79492,5633,115317,4883
"Cumberland County, New Jersey",0500000US34011,54587,5572,82821,14520
"Somerset County, New Jersey",0500000US34035,111587,6959,152445,5666
"Ocean County, New Jersey",0500000US34029,76093,2971,97772,4167
"Atlantic County, New Jersey",0500000US34001,63389,3294,93192,5704
"Middlesex County, New Jersey",0500000US34023,93418,3720,117164,2784
"Salem County, New Jersey",0500000US34033,68531,3073,90349,8292
"Cape May County, New Jersey",0500000US34009,69980,7037,98993,6803
"Camden County, New Jersey",0500000US34007,73672,2694,100804,3424
"Union County, New Jersey",0500000US34039,80339,3814,116947,3902
"Hudson County, New Jersey",0500000US34017,78808,3056,110580,3849
"Hunterdon County, New Jersey",0500000US34019,116155,9654,154256,9765
"Morris County, New Jersey",0500000US34027,116283,4894,154989,5372
"McKinley County, New Mexico",0500000US35031,37153,4875,49716,4754
"Sandoval County, New Mexico",0500000US35043,71997,4398,89341,4497
"San Juan County, New Mexico",0500000US35045,44321,3487,60348,5568
"Jones County, Mississippi",0500000US28067,37594,7072,60497,11034
"Madison County, Mississippi",0500000US28089,68171,5440,96063,6671
"Grafton County, New Hampshire",0500000US33009,60588,5072,89633,8032
"Rankin County, Mississippi",0500000US28121,67012,3902,82605,5377
"Eau Claire County, Wisconsin",0500000US55035,65662,3914,82285,5662
"Waukesha County, Wisconsin",0500000US55133,90548,3117,119042,4307
"Walworth County, Wisconsin",0500000US55127,63549,3888,85484,4869
"Washington County, Wisconsin",0500000US55131,80513,5146,94877,4577
"Dane County, Wisconsin",0500000US55025,77504,3180,100066,3064
"Ozaukee County, Wisconsin",0500000US55089,88154,5715,122526,9622
"Portage County, Wisconsin",0500000US55097,56358,3830,78508,6353
"Rock County, Wisconsin",0500000US55105,61243,3116,72840,3124
"Wood County, Wisconsin",0500000US55141,56278,4359,73613,7704
"Jefferson County, Wisconsin",0500000US55055,71708,5901,85726,4782
"Natrona County, Wyoming",0500000US56025,65034,6007,79046,6049
"Washington County, Tennessee",0500000US47179,51428,5236,73919,5905
"Maury County, Tennessee",0500000US47119,66781,2585,80635,5116
"Brown County, Wisconsin",0500000US55009,64458,3713,82270,3215
"Wyandotte County, Kansas",0500000US20209,46964,2826,58167,2571
"Butler County, Kansas",0500000US20015,61951,7983,82866,7915
"Leavenworth County, Kansas",0500000US20103,77070,6989,89525,5337
"Riley County, Kansas",0500000US20161,50920,4062,66449,7080
"Livingston County, Michigan",0500000US26093,86512,4202,108976,5430
"Kalamazoo County, Michigan",0500000US26077,56441,1702,79173,2700
"Marquette County, Michigan",0500000US26103,55148,5681,68330,4816
"Calhoun County, Michigan",0500000US26025,49055,3626,68474,4244
"Kent County, Michigan",0500000US26081,66532,1867,87827,2861
"Saginaw County, Michigan",0500000US26145,48303,2158,70446,5477
"Shiawassee County, Michigan",0500000US26155,55249,3846,70485,4039
"Bay County, Michigan",0500000US26017,49610,2890,67223,3669
"Larimer County, Colorado",0500000US08069,75186,2731,98731,3289
"Broomfield County, Colorado",0500000US08014,111400,11467,144139,16540
"Sussex County, Delaware",0500000US10005,65155,3397,88437,4449
"District of Columbia, District of Columbia",0500000US11001,92266,2497,135369,3627
"New Haven County, Connecticut",0500000US09009,69751,2834,94695,2805
"Hartford County, Connecticut",0500000US09003,75381,2126,101930,2901
"Houston County, Alabama",0500000US01069,50103,2903,69495,3569
"Tuscaloosa County, Alabama",0500000US01125,52243,3387,73432,3926
"Etowah County, Alabama",0500000US01055,41447,4256,59944,6751
"Walker County, Alabama",0500000US01127,46283,5473,60865,4859
"Pima County, Arizona",0500000US04019,56169,1608,76892,2046
"Cochise County, Arizona",0500000US04003,48484,2893,67592,5007
"Apache County, Arizona",0500000US04001,30480,4596,43748,4038
"Yuma County, Arizona",0500000US04027,46419,3800,59182,3489
"Navajo County, Arizona",0500000US04017,38897,3586,53425,3444
"Tippecanoe County, Indiana",0500000US18157,49352,3096,70167,5136
"Hamilton County, Indiana",0500000US18057,105062,6164,138826,7423
"Bartholomew County, Indiana",0500000US18005,72555,5701,87331,6732
"Clark County, Indiana",0500000US18019,59064,4622,73922,6202
"Hendricks County, Indiana",0500000US18063,85381,4807,108107,9709
"Grant County, Indiana",0500000US18053,47206,3943,60754,5272
"Dubuque County, Iowa",0500000US19061,62178,3349,80313,4996
"Polk County, Iowa",0500000US19153,66918,2399,87952,2796
"Story County, Iowa",0500000US19169,63107,6663,79726,7081
"Woodbury County, Iowa",0500000US19193,58945,4620,71578,4313
"Black Hawk County, Iowa",0500000US19013,60506,3838,83308,6864
"Linn County, Iowa",0500000US19113,63559,3472,80404,3857
"Dallas County, Iowa",0500000US19049,94885,8317,119627,7235
"Jackson County, Mississippi",0500000US28059,52476,4047,76123,9639
"Harrison County, Mississippi",0500000US28047,50119,3801,65457,3816
"Lauderdale County, Mississippi",0500000US28075,37497,5965,60357,8836
"Lee County, Mississippi",0500000US28081,49715,6250,74109,9468
"Dauphin County, Pennsylvania",0500000US42043,60733,2917,80460,4297
"Franklin County, Pennsylvania",0500000US42055,62484,4314,76869,5132
"Monroe County, Pennsylvania",0500000US42089,62413,4524,84254,6567
"Washington County, Pennsylvania",0500000US42125,65431,4078,88498,4334
"Philadelphia County, Pennsylvania",0500000US42101,47474,1609,72748,2506
"York County, Pennsylvania",0500000US42133,69172,2508,85972,3383
"Indiana County, Pennsylvania",0500000US42063,51914,3503,69974,4660
"Hidalgo County, Texas",0500000US48215,41800,1745,58371,2723
"Smith County, Texas",0500000US48423,59584,5217,79183,5228
"Hunt County, Texas",0500000US48231,58063,3781,70814,4636
"Guadalupe County, Texas",0500000US48187,79768,4653,94096,5240
"Tom Green County, Texas",0500000US48451,55988,7608,76496,6044
"Victoria County, Texas",0500000US48469,57358,7939,77910,8071
"Wichita County, Texas",0500000US48485,51749,2931,66883,4437
"Grayson County, Texas",0500000US48181,57476,3818,74491,4349
"Gregg County, Texas",0500000US48183,53793,5737,76229,7914
"Lubbock County, Texas",0500000US48303,55003,2327,75106,3326
"Kaufman County, Texas",0500000US48257,75775,5855,90256,5580
"Bell County, Texas",0500000US48027,54560,3637,73912,3992
"Cameron County, Texas",0500000US48061,41123,2705,57625,2672
"El Paso County, Texas",0500000US48141,48903,2259,62655,1998
"Nacogdoches County, Texas",0500000US48347,47572,6843,62423,7590
