Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"California-Lexington Park, MD Metro Area",310M300US15680,78195,7763,91785,4959
"Cape Girardeau, MO-IL Metro Area",310M300US16020,49059,2906,65422,5966
"Carbondale-Marion, IL Metro Area",310M300US16060,41603,3596,55799,3027
"Carson City, NV Metro Area",310M300US16180,52196,4516,63623,4060
"Casper, WY Metro Area",310M300US16220,59474,5172,73781,4967
"Cedar Rapids, IA Metro Area",310M300US16300,63385,3376,80497,3310
"Centralia, WA Micro Area",310M300US16500,45523,5044,58780,3813
"Chambersburg-Waynesboro, PA Metro Area",310M300US16540,60559,4205,77464,6982
"Champaign-Urbana, IL Metro Area",310M300US16580,50564,2362,70226,3375
"Charleston, WV Metro Area",310M300US16620,41689,3122,61337,4147
"Charleston-Mattoon, IL Micro Area",310M300US16660,40329,3042,54842,4140
"Charleston-North Charleston, SC Metro Area",310M300US16700,57659,1763,80323,2831
"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M300US16740,59979,1223,82776,1610
"Charlottesville, VA Metro Area",310M300US16820,62523,3294,85476,4461
"Chattanooga, TN-GA Metro Area",310M300US16860,46537,1724,68041,2628
"Cheyenne, WY Metro Area",310M300US16940,62221,5272,73885,4264
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M300US16980,66020,578,91509,784
"Chico, CA Metro Area",310M300US17020,45177,3768,65703,4086
"Chillicothe, OH Micro Area",310M300US17060,46422,5613,62408,5656
"Cincinnati, OH-KY-IN Metro Area",310M300US17140,60260,1049,81041,1241
"Claremont-Lebanon, NH-VT Micro Area",310M300US17200,59132,2236,81592,4142
"Clarksburg, WV Micro Area",310M300US17220,46987,4603,66404,5223
"Clarksville, TN-KY Metro Area",310M300US17300,51373,2057,61242,2542
"Clearlake, CA Micro Area",310M300US17340,42029,5116,60536,5769
"Cleveland, TN Metro Area",310M300US17420,44881,2913,60730,5172
"Cleveland-Elyria, OH Metro Area",310M300US17460,52131,631,74213,1211
"Coeur d'Alene, ID Metro Area",310M300US17660,51765,2515,66843,4158
"College Station-Bryan, TX Metro Area",310M300US17780,42233,2728,69770,3991
"Colorado Springs, CO Metro Area",310M300US17820,63651,2297,80759,2149
