Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Mobile County, Alabama",0500000US01097,37238,32040,25593,31531,18176,4833,5272
"Monroe County, Alabama",0500000US01099,3107,1920,1036,1029,250,296,90
"Montgomery County, Alabama",0500000US01101,20376,18849,14645,18724,9888,3109,2963
"Morgan County, Alabama",0500000US01103,8267,11374,7336,9808,5468,1875,1232
"Pickens County, Alabama",0500000US01107,1586,1395,1259,1479,764,55,167
"Pike County, Alabama",0500000US01109,2074,2305,1604,2120,800,440,168
"Randolph County, Alabama",0500000US01111,1782,1953,2013,1628,386,312,297
"Russell County, Alabama",0500000US01113,7682,5606,4447,3660,1718,449,369
"St. Clair County, Alabama",0500000US01115,6576,6870,6472,8227,3538,1017,541
"Shelby County, Alabama",0500000US01117,8761,10690,11974,19123,16196,5701,6221
"Talladega County, Alabama",0500000US01121,7237,8704,5712,6518,2425,644,519
"Tallapoosa County, Alabama",0500000US01123,3826,2640,3266,2897,1725,442,482
"Tuscaloosa County, Alabama",0500000US01125,13459,12537,14071,16856,9994,3276,2050
"Walker County, Alabama",0500000US01127,6328,5443,4290,5501,2480,614,575
"Winston County, Alabama",0500000US01133,2635,2343,1314,1822,563,58,243
"Anchorage Municipality, Alaska",0500000US02020,7848,14729,15529,27476,21807,10570,9414
"Fairbanks North Star Borough, Alaska",0500000US02090,2147,5717,6175,8158,7740,2717,2392
"Juneau City and Borough, Alaska",0500000US02110,1108,1051,1628,3345,2725,1154,1418
"Kenai Peninsula Borough, Alaska",0500000US02122,3339,4171,3441,4769,3454,1368,1359
"Matanuska-Susitna Borough, Alaska",0500000US02170,4146,4476,4419,6418,6043,2278,1663
"Apache County, Arizona",0500000US04001,7301,4474,3074,3765,1580,296,60
"Cochise County, Arizona",0500000US04003,8532,9871,9199,12798,5668,1288,1583
"Coconino County, Arizona",0500000US04005,9321,9362,7338,12144,4894,2027,2891
"Gila County, Arizona",0500000US04007,6472,5454,3871,3560,1323,952,420
"Graham County, Arizona",0500000US04009,2492,1759,2520,2077,1069,497,0
