Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Autauga County, Alabama",0500000US01001,3402,3621,4546,4696,3207,740,290
"Baldwin County, Alabama",0500000US01003,14049,15660,12525,15740,7946,2545,2842
"Barbour County, Alabama",0500000US01005,1766,2789,1486,1910,765,178,28
"Bibb County, Alabama",0500000US01007,1233,2768,936,1408,1029,235,34
"Blount County, Alabama",0500000US01009,4933,4230,3596,4950,1766,580,297
"Butler County, Alabama",0500000US01013,2902,1944,1451,1061,716,214,48
"Calhoun County, Alabama",0500000US01015,12300,9821,8994,8519,4557,1086,810
"Chambers County, Alabama",0500000US01017,3785,4343,2089,2322,1091,126,231
"Cherokee County, Alabama",0500000US01019,2664,3415,2089,1870,822,225,78
"Chilton County, Alabama",0500000US01021,3351,4637,2444,3124,1850,752,206
"Clarke County, Alabama",0500000US01025,2860,2231,1540,1939,645,96,225
"Coffee County, Alabama",0500000US01031,3317,4040,4395,3575,2087,842,610
"Colbert County, Alabama",0500000US01033,5115,5622,4675,4872,2012,850,0
"Covington County, Alabama",0500000US01039,3838,3880,2327,2667,1419,336,197
"Cullman County, Alabama",0500000US01043,7387,8534,6222,4655,2309,740,577
"Dale County, Alabama",0500000US01045,5272,3551,4192,3970,1316,556,281
"Dallas County, Alabama",0500000US01047,7526,3827,1720,2672,882,321,419
"DeKalb County, Alabama",0500000US01049,6786,6510,4350,4624,1456,702,292
"Elmore County, Alabama",0500000US01051,5256,5372,4814,7703,3773,611,823
"Escambia County, Alabama",0500000US01053,4149,3017,2902,2518,1055,169,0
"Etowah County, Alabama",0500000US01055,9807,9793,7068,8098,3582,873,493
"Franklin County, Alabama",0500000US01059,4520,2182,2296,1712,639,171,92
"Geneva County, Alabama",0500000US01061,3037,3221,1669,1774,960,104,168
"Houston County, Alabama",0500000US01069,10192,9369,6789,7154,3352,1059,910
"Jackson County, Alabama",0500000US01071,6052,5368,3190,2626,1736,337,145
"Jefferson County, Alabama",0500000US01073,59960,59259,42643,53901,26827,10270,9120
"Lauderdale County, Alabama",0500000US01077,9847,9048,7367,6763,3613,606,849
"Lawrence County, Alabama",0500000US01079,2622,3639,2337,3202,1206,224,105
