Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Franklin County, North Carolina",0500000US37069,3136,5190,4781,6593,4000,1376,1304
"Gaston County, North Carolina",0500000US37071,13822,18165,14962,20237,11517,3365,2931
"Granville County, North Carolina",0500000US37077,4224,3522,2483,5495,3182,1103,1208
"Greene County, North Carolina",0500000US37079,1123,1596,1346,1476,577,124,43
"Guilford County, North Carolina",0500000US37081,36547,46672,33826,43068,28096,9331,12302
"Halifax County, North Carolina",0500000US37083,5460,5575,3665,3899,951,699,230
"Harnett County, North Carolina",0500000US37085,7954,9244,9298,11379,5363,1863,914
"Haywood County, North Carolina",0500000US37087,5313,6480,3858,5827,2333,1101,1062
"Henderson County, North Carolina",0500000US37089,7577,11751,8052,10867,7493,1697,2077
"Hertford County, North Carolina",0500000US37091,2225,2267,2012,1661,670,86,0
"Hoke County, North Carolina",0500000US37093,3959,4370,2962,3704,2788,760,306
"Iredell County, North Carolina",0500000US37097,7735,12946,13836,15900,9610,3872,4429
"Jackson County, North Carolina",0500000US37099,2893,4955,3813,3538,1939,169,652
"Johnston County, North Carolina",0500000US37101,7479,14832,12547,17493,12183,2721,2746
"Lee County, North Carolina",0500000US37105,3962,4982,4363,5165,2316,1053,525
"Lenoir County, North Carolina",0500000US37107,4886,6519,4364,4339,1734,539,192
"Lincoln County, North Carolina",0500000US37109,4387,5198,6807,9233,4485,1843,2280
"McDowell County, North Carolina",0500000US37111,3313,5367,2997,3745,1723,646,332
"Macon County, North Carolina",0500000US37113,3557,2347,2957,3600,1226,272,523
"Madison County, North Carolina",0500000US37115,1758,1794,784,1938,987,227,502
"Martin County, North Carolina",0500000US37117,1925,1608,1945,2862,492,222,148
"Mecklenburg County, North Carolina",0500000US37119,47018,76402,74352,87478,63193,29009,40683
"Montgomery County, North Carolina",0500000US37123,2172,1304,2467,2338,688,291,892
"Moore County, North Carolina",0500000US37125,6483,6706,7806,9767,4643,2347,3004
"Nash County, North Carolina",0500000US37127,5901,8245,7503,8358,5002,1077,1681
"New Hanover County, North Carolina",0500000US37129,18079,17023,17691,24011,11438,4538,5371
"Northampton County, North Carolina",0500000US37131,1763,1812,1452,812,514,24,262
"Onslow County, North Carolina",0500000US37133,9889,15402,14552,16184,8237,1704,866
"Orange County, North Carolina",0500000US37135,6805,8551,7895,11098,6839,4349,8422
"Pasquotank County, North Carolina",0500000US37139,4121,3033,2542,2924,2072,488,383
"Pender County, North Carolina",0500000US37141,4119,4318,3826,4830,3359,1122,1161
"Person County, North Carolina",0500000US37145,2497,4270,2503,3828,1949,652,171
"Pitt County, North Carolina",0500000US37147,16768,15144,13139,12641,7078,3324,1194
"Polk County, North Carolina",0500000US37149,1504,1999,1911,1949,678,281,454
"Randolph County, North Carolina",0500000US37151,9875,12739,10728,11991,6191,1950,1309
"Richmond County, North Carolina",0500000US37153,4400,5152,3573,3066,1684,328,423
"Robeson County, North Carolina",0500000US37155,12579,12643,8496,7967,3145,873,323
"Rockingham County, North Carolina",0500000US37157,9737,8613,5729,7765,4143,656,833
"Rowan County, North Carolina",0500000US37159,9879,12591,10342,12680,5175,1972,1167
"Rutherford County, North Carolina",0500000US37161,6995,5450,4371,5681,2447,420,941
"Sampson County, North Carolina",0500000US37163,4247,7338,3949,5267,1735,531,410
"Scotland County, North Carolina",0500000US37165,4081,2767,2101,2360,851,133,115
"Stanly County, North Carolina",0500000US37167,2951,4961,4657,5544,3086,755,576
"Stokes County, North Carolina",0500000US37169,3728,4220,4101,4876,1876,440,357
"Surry County, North Carolina",0500000US37171,6600,6612,3891,7610,2629,1024,864
"Transylvania County, North Carolina",0500000US37175,1627,4539,2446,3761,1931,484,394
"Union County, North Carolina",0500000US37179,5154,12077,11515,17268,16253,7140,8289
"Vance County, North Carolina",0500000US37181,4917,2929,2217,4043,1618,390,442
"Wake County, North Carolina",0500000US37183,34544,57334,58515,97205,74140,37244,49491
"Warren County, North Carolina",0500000US37185,1598,2596,1202,1855,429,85,240
"Watauga County, North Carolina",0500000US37189,5245,3811,3923,4359,2515,552,907
"Wayne County, North Carolina",0500000US37191,10168,13702,9174,8284,5436,858,1397
"Wilkes County, North Carolina",0500000US37193,6771,7420,6923,5139,1945,804,1121
"Wilson County, North Carolina",0500000US37195,8540,6469,4513,6658,3504,1005,1128
"Yadkin County, North Carolina",0500000US37197,3183,2851,3125,3983,1939,71,384
"Burleigh County, North Dakota",0500000US38015,4188,6513,5813,10153,8490,3120,2459
"Cass County, North Dakota",0500000US38017,10603,11523,13795,16585,10951,4921,5965
"Grand Forks County, North Dakota",0500000US38035,5435,6106,5562,6658,4401,1555,1199
"Morton County, North Dakota",0500000US38059,742,1684,2772,3590,3218,1457,348
"Stark County, North Dakota",0500000US38089,1521,1183,2153,3724,2766,790,432
"Stutsman County, North Dakota",0500000US38093,1550,1741,1408,2254,1372,299,276
"Ward County, North Dakota",0500000US38101,4805,4443,3779,7652,4662,1375,1171
"Williams County, North Dakota",0500000US38105,909,1647,2675,4293,3832,1718,419
"Adams County, Ohio",0500000US39001,3407,2049,1293,1785,1186,365,561
"Allen County, Ohio",0500000US39003,7248,9610,7555,9248,5887,830,826
"Ashland County, Ohio",0500000US39005,2744,3985,4828,5140,2526,359,321
"Ashtabula County, Ohio",0500000US39007,8980,6676,6187,8008,3851,1337,406
"Athens County, Ohio",0500000US39009,6487,5200,3264,3993,2547,773,269
"Auglaize County, Ohio",0500000US39011,1522,3515,4497,5011,3190,739,940
"Belmont County, Ohio",0500000US39013,3807,5965,4488,6750,2333,746,653
"Brown County, Ohio",0500000US39015,2601,2679,3153,5353,3196,487,73
"Butler County, Ohio",0500000US39017,19657,26973,23909,31990,21944,10242,8325
"Carroll County, Ohio",0500000US39019,1940,2828,2380,2694,843,241,490
"Champaign County, Ohio",0500000US39021,1982,2384,3903,4276,2238,356,311
"Clark County, Ohio",0500000US39023,9056,11645,11968,13667,6443,1448,1100
"Clermont County, Ohio",0500000US39025,9361,13323,12242,20501,12778,5172,4543
"Clinton County, Ohio",0500000US39027,2719,3487,2989,3246,2634,805,500
"Columbiana County, Ohio",0500000US39029,7972,10991,6881,9197,4802,1478,563
"Coshocton County, Ohio",0500000US39031,2859,3549,2275,3748,1549,311,161
"Crawford County, Ohio",0500000US39033,4352,4553,3278,3496,1743,439,14
"Cuyahoga County, Ohio",0500000US39035,116158,107052,87664,109755,66287,23554,31652
"Darke County, Ohio",0500000US39037,2854,4450,4019,5331,2789,532,566
"Defiance County, Ohio",0500000US39039,2012,2374,3770,4151,2135,320,301
"Delaware County, Ohio",0500000US39041,3616,6343,8872,16439,13100,9252,12879
"Erie County, Ohio",0500000US39043,4412,8556,5620,7704,3381,1059,943
"Fairfield County, Ohio",0500000US39045,6294,11384,7680,12637,11033,4856,2050
"Fayette County, Ohio",0500000US39047,2147,2885,2323,2495,790,754,352
"Franklin County, Ohio",0500000US39049,72647,98933,86078,122754,79951,28901,30204
"Fulton County, Ohio",0500000US39051,1730,3043,2893,4916,2966,626,495
"Gallia County, Ohio",0500000US39053,2912,2997,2551,2255,902,283,180
"Geauga County, Ohio",0500000US39055,2377,4689,4936,8706,6489,3568,4622
"Greene County, Ohio",0500000US39057,9628,9341,9625,16829,9733,5725,5172
"Guernsey County, Ohio",0500000US39059,3893,3844,1683,4269,1589,231,466
"Hamilton County, Ohio",0500000US39061,61383,61637,55289,74306,49530,18049,24368
"Hancock County, Ohio",0500000US39063,4055,6479,4971,8094,5083,1806,1118
"Hardin County, Ohio",0500000US39065,1848,2510,2970,2638,1102,449,258
"Henry County, Ohio",0500000US39069,1879,1975,2129,2795,1442,611,127
"Highland County, Ohio",0500000US39071,3272,3570,2756,4434,1839,521,117
"Hocking County, Ohio",0500000US39073,1387,2465,1673,3683,1255,362,102
"Holmes County, Ohio",0500000US39075,1554,1994,2401,3367,1941,553,733
"Huron County, Ohio",0500000US39077,3061,4816,4604,5836,2950,983,367
"Jackson County, Ohio",0500000US39079,2684,2870,2458,2837,1708,0,68
"Jefferson County, Ohio",0500000US39081,6657,6925,4039,5579,2759,551,782
"Knox County, Ohio",0500000US39083,4290,4566,3597,6011,4381,620,546
"Lake County, Ohio",0500000US39085,9393,17182,16637,26519,16075,5663,5108
"Lawrence County, Ohio",0500000US39087,5148,5423,3931,5231,2309,259,578
"Licking County, Ohio",0500000US39089,8390,9337,10578,15343,10512,4595,3482
"Logan County, Ohio",0500000US39091,2351,3261,2604,5738,3451,1118,276
"Lorain County, Ohio",0500000US39093,19571,20846,21402,28080,17868,7037,6540
"Lucas County, Ohio",0500000US39095,38710,39442,29526,36580,21264,6162,6605
"Madison County, Ohio",0500000US39097,1577,2592,3354,4079,2835,452,368
"Mahoning County, Ohio",0500000US39099,18766,22651,16548,21427,11727,3540,2706
"Marion County, Ohio",0500000US39101,5794,5649,4321,5410,1807,889,335
"Medina County, Ohio",0500000US39103,6013,10888,9834,18454,13731,6659,5030
"Meigs County, Ohio",0500000US39105,1833,2158,1523,2129,1286,295,193
"Mercer County, Ohio",0500000US39107,1406,3191,3101,4948,2556,559,417
"Miami County, Ohio",0500000US39109,5938,6891,8230,9100,7341,2517,1131
"Montgomery County, Ohio",0500000US39113,43211,46276,37531,50679,27243,11121,8164
"Morrow County, Ohio",0500000US39117,1406,2287,2061,4186,1602,719,285
"Muskingum County, Ohio",0500000US39119,7192,7317,5766,7860,4626,997,713
"Ottawa County, Ohio",0500000US39123,2548,3069,4127,4321,2763,571,521
"Perry County, Ohio",0500000US39127,2889,2533,2019,4050,1167,583,467
"Pickaway County, Ohio",0500000US39129,3633,3325,3716,3827,3613,1578,500
"Pike County, Ohio",0500000US39131,2283,2007,1755,2332,1108,270,74
"Portage County, Ohio",0500000US39133,8869,11288,8469,13987,10234,5326,2628
"Preble County, Ohio",0500000US39135,2290,3489,3230,3691,2108,618,441
"Putnam County, Ohio",0500000US39137,972,1572,3723,3153,3044,547,523
"Richland County, Ohio",0500000US39139,9104,9565,11268,10502,5472,1239,955
"Ross County, Ohio",0500000US39141,6621,6209,5603,5967,3897,1079,403
"Sandusky County, Ohio",0500000US39143,2919,5451,4101,6399,2762,775,346
"Scioto County, Ohio",0500000US39145,8423,6292,3982,5897,2741,684,700
"Seneca County, Ohio",0500000US39147,2907,5391,4027,5103,2974,695,447
"Shelby County, Ohio",0500000US39149,2293,3148,3173,4453,4099,939,248
"Stark County, Ohio",0500000US39151,27047,33161,24936,35002,21250,6475,4339
"Summit County, Ohio",0500000US39153,34022,42597,38234,54189,33665,11835,11701
"Trumbull County, Ohio",0500000US39155,18107,18913,13799,17963,10049,2625,1847
"Tuscarawas County, Ohio",0500000US39157,6183,8497,7268,7109,4537,1957,1189
"Union County, Ohio",0500000US39159,1609,2424,2984,5466,4386,2373,1793
"Van Wert County, Ohio",0500000US39161,1672,2287,2147,3129,1687,159,200
"Warren County, Ohio",0500000US39165,5988,9838,11858,21066,16238,8202,10350
"Washington County, Ohio",0500000US39167,4581,5496,4088,6530,2669,841,608
"Wayne County, Ohio",0500000US39169,5145,8877,8275,13237,5693,1433,1248
"Williams County, Ohio",0500000US39171,1619,3841,2922,4080,1946,302,375
"Wood County, Ohio",0500000US39173,6717,9848,7676,11355,8518,3328,3252
"Wyandot County, Ohio",0500000US39175,1225,1904,1535,2445,875,499,265
"Adair County, Oklahoma",0500000US40001,2643,1907,1237,1419,609,66,40
"Bryan County, Oklahoma",0500000US40013,3918,4144,2592,3635,2057,662,639
"Caddo County, Oklahoma",0500000US40015,1801,2236,2061,2277,1335,191,221
"Canadian County, Oklahoma",0500000US40017,3748,6830,8387,13155,8491,3034,1699
"Carter County, Oklahoma",0500000US40019,2780,4466,3255,4442,1945,833,256
"Cherokee County, Oklahoma",0500000US40021,4460,3844,2666,4113,1970,492,468
"Cleveland County, Oklahoma",0500000US40027,13841,20210,18919,29007,17149,6967,4682
"Comanche County, Oklahoma",0500000US40031,7704,8463,8265,9956,5699,1371,1031
"Creek County, Oklahoma",0500000US40037,4599,5577,4386,6855,3700,1070,770
"Custer County, Oklahoma",0500000US40039,2553,1795,1714,1818,1758,297,265
"Delaware County, Oklahoma",0500000US40041,4228,4240,2705,3411,1600,193,445
"Garfield County, Oklahoma",0500000US40047,3676,5162,4013,5495,3468,476,708
"Garvin County, Oklahoma",0500000US40049,1539,2721,1790,2441,790,678,348
