Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Autauga County, Alabama",0500000US01001,3191,3558,5156,4576,3960,722,487
"Baldwin County, Alabama",0500000US01003,11724,16432,14152,17419,13141,4064,5393
"Barbour County, Alabama",0500000US01005,3292,2318,1768,989,712,417,242
"Bibb County, Alabama",0500000US01007,1980,1312,1118,2091,782,167,163
"Blount County, Alabama",0500000US01009,5241,4463,3243,4056,2472,1643,788
"Butler County, Alabama",0500000US01013,1425,2217,968,1727,823,133,255
"Calhoun County, Alabama",0500000US01015,9835,10142,6627,10066,5758,1229,979
"Chambers County, Alabama",0500000US01017,2948,3498,1585,4040,1261,158,150
"Cherokee County, Alabama",0500000US01019,2999,2437,2067,2159,948,239,164
"Chilton County, Alabama",0500000US01021,3038,4286,4083,3878,1380,379,472
"Clarke County, Alabama",0500000US01025,1700,1811,892,2322,1175,727,55
"Coffee County, Alabama",0500000US01031,3841,3227,2607,4948,3282,1217,421
"Colbert County, Alabama",0500000US01033,4038,5663,4230,4622,3100,317,106
"Covington County, Alabama",0500000US01039,3095,3108,2321,2967,1626,438,318
"Cullman County, Alabama",0500000US01043,4886,7010,7407,8327,2748,929,783
"Dale County, Alabama",0500000US01045,4745,4529,3786,4440,1285,799,456
"Dallas County, Alabama",0500000US01047,4426,3558,2309,2904,1492,523,90
"DeKalb County, Alabama",0500000US01049,5611,5883,4910,4823,2725,755,173
"Elmore County, Alabama",0500000US01051,4128,5634,4971,7206,5015,1971,1787
"Escambia County, Alabama",0500000US01053,3007,3110,2163,2543,1197,309,277
"Etowah County, Alabama",0500000US01055,10057,9400,7459,6903,4123,1190,921
"Franklin County, Alabama",0500000US01059,1854,2400,1688,3799,589,604,240
"Geneva County, Alabama",0500000US01061,2058,1741,1903,1961,1707,378,62
"Henry County, Alabama",0500000US01067,1237,1599,1128,2111,891,160,98
"Houston County, Alabama",0500000US01069,8273,8343,6812,7961,4607,2054,1711
"Jackson County, Alabama",0500000US01071,4779,4133,3488,4494,2025,931,167
