Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Marshall County, Alabama",0500000US01095,7829,8954,6144,6248,2800,850,1147
"Mobile County, Alabama",0500000US01097,36698,34764,25475,30891,16413,4724,3973
"Monroe County, Alabama",0500000US01099,4263,1163,1460,986,425,80,86
"Montgomery County, Alabama",0500000US01101,21547,21059,14424,17828,8238,3359,3648
"Morgan County, Alabama",0500000US01103,9216,10635,9032,11059,4030,1700,1318
"Pickens County, Alabama",0500000US01107,2501,1770,901,1077,621,160,68
"Pike County, Alabama",0500000US01109,4196,2750,1978,1934,842,95,148
"Randolph County, Alabama",0500000US01111,2504,2657,1780,1820,616,43,255
"Russell County, Alabama",0500000US01113,6421,5530,3581,4030,1792,503,85
"St. Clair County, Alabama",0500000US01115,4737,7475,5140,9085,4158,937,324
"Shelby County, Alabama",0500000US01117,8899,10531,12427,19761,14496,4911,5773
"Talladega County, Alabama",0500000US01121,8280,9270,4433,5841,2427,792,336
"Tallapoosa County, Alabama",0500000US01123,4723,3218,2801,2873,1534,213,399
"Tuscaloosa County, Alabama",0500000US01125,14563,15179,13157,13802,9334,2634,2526
"Walker County, Alabama",0500000US01127,6727,6567,3577,4725,2216,353,287
"Winston County, Alabama",0500000US01133,1949,2626,1704,1887,428,0,82
"Anchorage Municipality, Alaska",0500000US02020,8747,15162,14737,25149,21789,10192,9160
"Fairbanks North Star Borough, Alaska",0500000US02090,3748,3674,6807,10124,5891,3080,2151
"Juneau City and Borough, Alaska",0500000US02110,926,1759,1198,3298,2896,1396,950
"Kenai Peninsula Borough, Alaska",0500000US02122,3817,4526,2851,5073,3309,1201,1137
"Matanuska-Susitna Borough, Alaska",0500000US02170,3767,4242,4046,8358,6370,2496,1386
"Apache County, Arizona",0500000US04001,7400,4809,3285,2896,1220,97,148
"Cochise County, Arizona",0500000US04003,11475,11877,7482,11078,5042,1987,1261
"Coconino County, Arizona",0500000US04005,9520,7530,8100,10531,6102,2038,2090
"Gila County, Arizona",0500000US04007,3975,5871,4613,4473,1660,475,124
"Graham County, Arizona",0500000US04009,2678,2302,1807,2346,1200,270,25
"La Paz County, Arizona",0500000US04012,2090,2237,1520,1452,443,252,56
"Maricopa County, Arizona",0500000US04013,227934,294145,260072,337071,201636,80379,79090
"Mohave County, Arizona",0500000US04015,15757,25392,15508,16573,7583,1706,1282
"Navajo County, Arizona",0500000US04017,10052,7185,5972,6717,2511,957,378
"Pima County, Arizona",0500000US04019,79488,89196,71672,88316,40331,14306,12683
"Pinal County, Arizona",0500000US04021,24075,25559,25172,32460,14197,4249,2683
"Santa Cruz County, Arizona",0500000US04023,4477,4086,2326,2631,1039,461,138
"Yavapai County, Arizona",0500000US04025,15802,23439,19259,23196,8582,2537,2105
"Yuma County, Arizona",0500000US04027,16309,19049,13868,13862,5527,1740,1396
"Ashley County, Arkansas",0500000US05003,2522,1694,1350,1647,983,92,209
"Baxter County, Arkansas",0500000US05005,3558,6519,3124,3228,1127,317,290
"Benton County, Arkansas",0500000US05007,11574,18381,16478,22057,12378,4412,6390
"Boone County, Arkansas",0500000US05009,2464,4756,3066,2767,1655,193,456
"Carroll County, Arkansas",0500000US05015,2084,3556,2860,1860,439,142,131
"Clark County, Arkansas",0500000US05019,2199,2188,1318,1381,794,319,191
"Cleburne County, Arkansas",0500000US05023,1846,2666,2126,1651,1178,282,522
"Columbia County, Arkansas",0500000US05027,3756,1283,1022,2051,1329,0,225
"Conway County, Arkansas",0500000US05029,1504,2203,1935,1664,721,309,234
"Craighead County, Arkansas",0500000US05031,9160,10713,5619,9072,2892,1542,828
"Crawford County, Arkansas",0500000US05033,4501,4819,5587,5783,2170,174,364
"Crittenden County, Arkansas",0500000US05035,4402,5205,3937,3003,1519,445,242
"Faulkner County, Arkansas",0500000US05045,8921,8923,7343,8936,6562,1780,1546
"Garland County, Arkansas",0500000US05051,10420,11745,6149,7145,3098,559,1018
"Greene County, Arkansas",0500000US05055,3313,3912,3737,3546,1452,101,408
"Hempstead County, Arkansas",0500000US05057,2128,2649,1211,1428,443,81,0
"Hot Spring County, Arkansas",0500000US05059,3400,3343,2512,2086,511,321,24
"Independence County, Arkansas",0500000US05063,3985,4375,2036,2925,662,75,147
