Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Autauga County, Alabama",0500000US01001,4227,4584,3623,4537,3015,1057,750
"Baldwin County, Alabama",0500000US01003,12553,14405,13253,17552,12050,3414,3552
"Barbour County, Alabama",0500000US01005,3003,2303,1310,1565,868,71,34
"Bibb County, Alabama",0500000US01007,1656,1903,1821,1340,479,219,0
"Blount County, Alabama",0500000US01009,3856,4840,4479,4326,1792,705,349
"Butler County, Alabama",0500000US01013,2061,1224,1034,1411,560,205,80
"Calhoun County, Alabama",0500000US01015,9962,11102,7489,9730,3997,750,942
"Chambers County, Alabama",0500000US01017,2840,3535,2615,3259,1092,238,113
"Cherokee County, Alabama",0500000US01019,1863,3042,1556,1801,1122,96,375
"Chilton County, Alabama",0500000US01021,4609,3370,3034,3625,2213,308,114
"Clarke County, Alabama",0500000US01025,3952,2435,1190,1427,941,697,193
"Coffee County, Alabama",0500000US01031,4299,3260,4043,4615,2368,506,293
"Colbert County, Alabama",0500000US01033,5692,3726,3684,5830,2230,325,314
"Covington County, Alabama",0500000US01039,4287,4540,2412,2372,1322,558,256
"Cullman County, Alabama",0500000US01043,6457,8944,5063,5476,2885,940,534
"Dale County, Alabama",0500000US01045,5143,4026,2619,3290,1410,340,485
"Dallas County, Alabama",0500000US01047,5536,4769,2880,1568,1419,91,110
"DeKalb County, Alabama",0500000US01049,6067,8150,4672,4212,1492,375,415
"Elmore County, Alabama",0500000US01051,5186,5660,4828,6865,4471,1098,1242
"Escambia County, Alabama",0500000US01053,4767,3140,2131,1709,911,379,338
"Etowah County, Alabama",0500000US01055,8736,10071,6452,8261,3253,909,1084
"Franklin County, Alabama",0500000US01059,2932,3013,1843,1759,1049,195,220
"Geneva County, Alabama",0500000US01061,2564,2669,1246,2697,564,115,46
"Houston County, Alabama",0500000US01069,9407,9195,6460,8189,3558,1238,1120
"Jackson County, Alabama",0500000US01071,5928,4188,4586,3502,1206,471,477
"Jefferson County, Alabama",0500000US01073,54331,54610,40941,55655,30633,12198,13536
"Lauderdale County, Alabama",0500000US01077,7724,8885,6801,8950,3451,1436,628
"Lawrence County, Alabama",0500000US01079,3271,2716,2228,2725,1572,393,32
"Lee County, Alabama",0500000US01081,13602,10929,11538,11501,7304,2720,1760
"Limestone County, Alabama",0500000US01083,6082,5856,6198,7446,3333,1324,1641
"Macon County, Alabama",0500000US01087,2378,1747,1318,1027,411,343,62
"Madison County, Alabama",0500000US01089,24031,26403,20964,28029,22846,11718,9678
"Marengo County, Alabama",0500000US01091,3290,1665,724,1307,370,313,90
"Marion County, Alabama",0500000US01093,3989,2592,1617,2648,753,88,175
"Marshall County, Alabama",0500000US01095,7401,9005,7312,6076,3282,573,1077
"Mobile County, Alabama",0500000US01097,36592,33651,27033,32322,16525,6109,4909
"Monroe County, Alabama",0500000US01099,3628,1338,1080,1205,673,295,94
"Montgomery County, Alabama",0500000US01101,21407,19898,15330,16866,10621,3494,3211
"Morgan County, Alabama",0500000US01103,10504,10558,6915,10465,4174,1454,746
"Pickens County, Alabama",0500000US01107,2533,1047,892,1691,690,162,256
"Pike County, Alabama",0500000US01109,4012,3417,1729,1292,1140,484,141
"Randolph County, Alabama",0500000US01111,1793,2067,1863,1406,959,137,86
"Russell County, Alabama",0500000US01113,5725,5285,4050,4811,1191,1141,338
"St. Clair County, Alabama",0500000US01115,4773,5728,5225,9579,4667,1291,352
"Shelby County, Alabama",0500000US01117,8397,11228,10473,21646,14024,4989,5302
"Talladega County, Alabama",0500000US01121,7995,7929,6242,5752,2534,704,361
"Tallapoosa County, Alabama",0500000US01123,4461,3548,3262,3220,1096,447,226
